1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,3850.00,-11.00,0.00,-536.00,346.00,3203.00,428.00,100.00,2675.00,2669.00,-214.00,-1498.00,-108.00,766.00,-658.00
1957:Q1,-8831.00,-12.00,0.00,-370.00,366.00,-2722.00,-489.00,107.00,-2340.00,-2796.00,-3908.00,-259.00,870.00,-1243.00,373.00
1957:Q2,-3096.00,-11.00,0.00,-7.00,999.00,402.00,-172.00,167.00,407.00,233.00,-4313.00,-801.00,402.00,-1107.00,705.00
1957:Q3,-5475.00,-11.00,0.00,566.00,-2159.00,-1053.00,469.00,243.00,-1765.00,-447.00,-1053.00,-792.00,-526.00,775.00,-249.00
1957:Q4,3759.00,-10.00,0.00,-741.00,-53.00,3100.00,247.00,337.00,2516.00,4828.00,-1394.00,-1585.00,-386.00,1184.00,-798.00
1958:Q1,-10919.00,-20.00,0.00,-1003.00,118.00,-1691.00,61.00,310.00,-2062.00,-4810.00,-3024.00,-1372.00,883.00,-1200.00,317.00
1958:Q2,-194.00,-9.00,0.00,-427.00,1890.00,922.00,-50.00,161.00,811.00,1725.00,-3717.00,-603.00,25.00,-783.00,758.00
1958:Q3,-5650.00,-13.00,0.00,934.00,-1716.00,-2160.00,-126.00,36.00,-2070.00,-1336.00,-1794.00,989.00,-554.00,784.00,-230.00
1958:Q4,3204.00,-8.00,0.00,-110.00,602.00,3172.00,-42.00,-62.00,3276.00,3577.00,-1984.00,-1042.00,-1003.00,1811.00,-808.00
1959:Q1,-3154.00,-6.00,0.00,90.00,1460.00,-2867.00,-3.00,-139.00,-2725.00,-1518.00,285.00,-1039.00,442.00,-806.00,364.00
1959:Q2,-13.00,-18.00,0.00,335.00,530.00,287.00,-400.00,-196.00,883.00,287.00,-309.00,-1697.00,572.00,-1404.00,832.00
1959:Q3,-6559.00,-25.00,0.00,658.00,-1253.00,-1384.00,407.00,-312.00,-1479.00,-1196.00,-60.00,-876.00,-2423.00,2685.00,-262.00
1959:Q4,8811.00,11.00,0.00,-644.00,236.00,3413.00,-8.00,-494.00,3915.00,3691.00,-200.00,1082.00,1221.00,-327.00,-894.00
