1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,4519.00,-14283.00,19978.00,-1576.00,2100.00,-1129.00,49.00,-482.00,190.00,7.00,131.00,-139.00,852.00,48.00,47.00,0.00,-1388.00,-32.00,-20.00,-393.00,-571.00
1960:Q3,-6222.00,2015.00,-3342.00,2842.00,-1906.00,-1057.00,21.00,238.00,-262.00,19.00,104.00,92.00,-135.00,-60.00,-37.00,0.00,-597.00,-31.00,-23.00,-385.00,-4773.00
1960:Q4,5080.00,-38.00,7064.00,-102.00,2877.00,-2507.00,253.00,-1726.00,555.00,15.00,105.00,297.00,-1797.00,152.00,23.00,0.00,60.00,-31.00,-22.00,-392.00,-2214.00
1961:Q1,14890.00,-319.00,14760.00,1955.00,1583.00,1078.00,-263.00,670.00,-397.00,23.00,109.00,156.00,-32.00,120.00,-19.00,0.00,1210.00,-37.00,-31.00,-431.00,-4167.00
1961:Q2,-17192.00,-21887.00,2582.00,3307.00,958.00,-2105.00,21.00,-1461.00,155.00,35.00,108.00,27.00,234.00,8.00,69.00,0.00,-805.00,-37.00,-32.00,-427.00,-48.00
1961:Q3,3213.00,7481.00,1495.00,-3115.00,-1981.00,710.00,41.00,-67.00,-173.00,35.00,96.00,-42.00,915.00,-44.00,-7.00,0.00,453.00,-37.00,-34.00,-427.00,-1378.00
1961:Q4,7443.00,3161.00,3043.00,4167.00,2077.00,-4554.00,177.00,-1607.00,446.00,31.00,87.00,-391.00,-642.00,44.00,29.00,0.00,-2213.00,-39.00,-41.00,-435.00,-451.00
1962:Q1,13034.00,-6347.00,16893.00,223.00,1780.00,1756.00,-311.00,2146.00,-411.00,11.00,57.00,-531.00,1037.00,72.00,-54.00,0.00,239.00,-36.00,-40.00,-423.00,-1271.00
1962:Q2,-4164.00,-10735.00,10695.00,-5720.00,2274.00,427.00,9.00,-108.00,151.00,3.00,48.00,-1160.00,7.00,-32.00,126.00,0.00,1900.00,-34.00,-36.00,-447.00,-1105.00
1962:Q3,4337.00,7303.00,7154.00,-2802.00,-4203.00,2076.00,13.00,1312.00,-17.00,3.00,24.00,-1110.00,357.00,64.00,-154.00,0.00,2115.00,-35.00,-35.00,-460.00,-5192.00
1962:Q4,2593.00,1693.00,-5264.00,7629.00,4532.00,-3869.00,253.00,-2256.00,279.00,7.00,20.00,-746.00,-1376.00,212.00,-6.00,0.00,249.00,-33.00,-28.00,-444.00,-2129.00
1963:Q1,29677.00,1562.00,25344.00,2467.00,-969.00,1666.00,-328.00,1882.00,-266.00,3.00,11.00,-260.00,1199.00,88.00,-43.00,0.00,-119.00,-35.00,-35.00,-432.00,-394.00
1963:Q2,-9164.00,-14959.00,7535.00,-5203.00,3619.00,2058.00,16.00,-419.00,97.00,3.00,-14.00,445.00,473.00,44.00,-47.00,0.00,2010.00,-41.00,-42.00,-466.00,-2214.00
1963:Q3,6510.00,4765.00,8548.00,-942.00,-5438.00,3914.00,-16.00,2499.00,105.00,7.00,-17.00,741.00,-23.00,32.00,-39.00,0.00,1193.00,-43.00,-42.00,-482.00,-4337.00
1963:Q4,1833.00,-8290.00,3207.00,5918.00,3948.00,-2408.00,284.00,-872.00,121.00,11.00,-14.00,45.00,-1065.00,-64.00,-27.00,0.00,-236.00,-40.00,-48.00,-503.00,-542.00
1964:Q1,19403.00,-1984.00,25872.00,-1821.00,687.00,-1249.00,-925.00,1706.00,-133.00,-9.00,-58.00,-126.00,949.00,-204.00,-86.00,0.00,-1740.00,-49.00,-73.00,-500.00,-2102.00
1964:Q2,-14140.00,-17260.00,11945.00,-10690.00,2884.00,1486.00,-525.00,-155.00,5.00,-13.00,-51.00,119.00,252.00,-276.00,38.00,0.00,2746.00,-55.00,-75.00,-524.00,-2505.00
1964:Q3,-15500.00,-14421.00,7581.00,-337.00,-4818.00,1870.00,-517.00,3862.00,169.00,7.00,-51.00,240.00,182.00,-280.00,-50.00,0.00,-1007.00,-62.00,-78.00,-545.00,-5375.00
1964:Q4,15678.00,-3949.00,13451.00,8416.00,3423.00,-4021.00,1915.00,-5654.00,469.00,-9.00,-43.00,389.00,-1655.00,-332.00,-26.00,0.00,1618.00,-59.00,-82.00,-552.00,-1642.00
1965:Q1,37429.00,-3952.00,31849.00,2904.00,-835.00,7112.00,-455.00,8730.00,-315.00,-14.00,-46.00,51.00,561.00,-88.00,-74.00,0.00,-464.00,-87.00,-111.00,-576.00,351.00
1965:Q2,-17404.00,-17653.00,11579.00,-10421.00,2053.00,-1201.00,-19.00,-577.00,-22.00,-26.00,-43.00,-295.00,1074.00,-124.00,114.00,0.00,-454.00,-87.00,-122.00,-620.00,-1761.00
1965:Q3,-15645.00,-19570.00,10897.00,-1465.00,-7582.00,4956.00,-11.00,6429.00,262.00,-18.00,-52.00,312.00,-317.00,-180.00,-114.00,0.00,-493.00,-90.00,-129.00,-642.00,-2882.00
1965:Q4,-23001.00,-3219.00,-15632.00,7546.00,967.00,-10823.00,416.00,-8309.00,-55.00,-26.00,-37.00,873.00,-2039.00,-188.00,-34.00,0.00,-502.00,-92.00,-134.00,-697.00,-1839.00
1966:Q1,17312.00,-22918.00,26048.00,5362.00,-2001.00,9908.00,-528.00,11580.00,58.00,14.00,-34.00,1542.00,-1367.00,196.00,-74.00,0.00,-651.00,-92.00,-79.00,-657.00,913.00
1966:Q2,-30260.00,-25613.00,10164.00,-19258.00,2396.00,1285.00,-64.00,784.00,-30.00,34.00,-24.00,-179.00,1872.00,184.00,126.00,0.00,-590.00,-89.00,-71.00,-668.00,766.00
1966:Q3,-20466.00,-32559.00,14800.00,-910.00,-5295.00,7154.00,-56.00,6870.00,71.00,34.00,-47.00,-312.00,1981.00,96.00,-86.00,0.00,-560.00,-89.00,-69.00,-680.00,-3656.00
1966:Q4,-2804.00,1912.00,4992.00,6287.00,3552.00,-18085.00,564.00,-14915.00,-254.00,22.00,-24.00,-324.00,-2014.00,84.00,34.00,0.00,-431.00,-87.00,-74.00,-667.00,-1462.00
