1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,106910.00,104585.00,259.00,0.00,2066.00,106910.00,99274.00,1075.00,1075.00,0.00,374.00,2377.00,873.00,577.00,0.00,0.00,0.00,296.00,0.00,2937.00
1955:Q2,109566.00,107114.00,254.00,0.00,2198.00,109566.00,101868.00,1050.00,1050.00,0.00,370.00,2452.00,904.00,600.00,0.00,0.00,0.00,304.00,0.00,2922.00
1955:Q3,110976.00,108409.00,249.00,0.00,2318.00,110976.00,103362.00,1025.00,1025.00,0.00,352.00,2313.00,939.00,623.00,0.00,0.00,0.00,316.00,0.00,2985.00
1955:Q4,113274.00,110581.00,247.00,0.00,2446.00,113274.00,105783.00,1000.00,1000.00,0.00,357.00,2356.00,979.00,647.00,0.00,0.00,0.00,332.00,0.00,2799.00
1956:Q1,115386.00,112584.00,258.00,0.00,2544.00,115386.00,107946.00,1000.00,1000.00,0.00,351.00,2508.00,1004.00,671.00,0.00,0.00,0.00,333.00,0.00,2577.00
1956:Q2,118567.00,115633.00,277.00,0.00,2657.00,118567.00,110925.00,1000.00,1000.00,0.00,331.00,2509.00,1030.00,697.00,0.00,0.00,0.00,333.00,0.00,2772.00
1956:Q3,120060.00,117024.00,294.00,0.00,2742.00,120060.00,112516.00,1000.00,1000.00,0.00,330.00,2347.00,1056.00,724.00,0.00,0.00,0.00,332.00,0.00,2811.00
1956:Q4,122702.00,119485.00,303.00,0.00,2914.00,122702.00,115230.00,1000.00,1000.00,0.00,330.00,2400.00,1085.00,752.00,0.00,0.00,0.00,333.00,0.00,2657.00
1957:Q1,126232.00,122932.00,291.00,0.00,3009.00,126232.00,118462.00,1000.00,1000.00,0.00,340.00,2584.00,1117.00,781.00,0.00,0.00,0.00,336.00,0.00,2729.00
1957:Q2,129781.00,126390.00,272.00,0.00,3119.00,129781.00,121985.00,1000.00,1000.00,0.00,326.00,2723.00,1149.00,811.00,0.00,0.00,0.00,338.00,0.00,2598.00
1957:Q3,131736.00,128281.00,251.00,0.00,3204.00,131736.00,123872.00,1000.00,1000.00,0.00,340.00,2742.00,1183.00,842.00,0.00,0.00,0.00,341.00,0.00,2599.00
1957:Q4,135000.00,131380.00,239.00,0.00,3381.00,135000.00,127167.00,1000.00,1000.00,0.00,301.00,2783.00,1216.00,874.00,0.00,0.00,0.00,342.00,0.00,2533.00
1958:Q1,140684.00,136976.00,228.00,0.00,3480.00,140684.00,130705.00,1550.00,1550.00,0.00,270.00,3433.00,1253.00,908.00,0.00,0.00,0.00,345.00,0.00,3473.00
1958:Q2,146137.00,142319.00,226.00,0.00,3592.00,146137.00,134835.00,2100.00,2100.00,0.00,274.00,4114.00,1290.00,943.00,0.00,0.00,0.00,347.00,0.00,3524.00
1958:Q3,148605.00,144702.00,224.00,0.00,3679.00,148605.00,137708.00,2000.00,2000.00,0.00,300.00,3735.00,1328.00,979.00,0.00,0.00,0.00,349.00,0.00,3534.00
1958:Q4,151862.00,147772.00,221.00,0.00,3869.00,151862.00,141266.00,1900.00,1900.00,0.00,327.00,3589.00,1366.00,1017.00,0.00,0.00,0.00,349.00,0.00,3414.00
1959:Q1,154402.00,150200.00,226.00,0.00,3976.00,154402.00,143832.00,1800.00,1800.00,0.00,320.00,3589.00,1417.00,1056.00,0.00,0.00,0.00,361.00,0.00,3444.00
1959:Q2,157912.00,153573.00,233.00,0.00,4106.00,157912.00,147681.00,1700.00,1700.00,0.00,331.00,3647.00,1469.00,1096.00,0.00,0.00,0.00,373.00,0.00,3084.00
1959:Q3,159429.00,154979.00,240.00,0.00,4210.00,159429.00,149934.00,1600.00,1600.00,0.00,320.00,3177.00,1525.00,1138.00,0.00,0.00,0.00,387.00,0.00,2873.00
1959:Q4,161648.00,156970.00,247.00,0.00,4431.00,161648.00,152525.00,1500.00,1500.00,0.00,285.00,3179.00,1584.00,1182.00,0.00,0.00,0.00,402.00,0.00,2575.00
1960:Q1,163526.00,158733.00,256.00,0.00,4537.00,163526.00,154522.00,1268.00,1268.00,0.00,280.00,3348.00,1633.00,1227.00,0.00,0.00,0.00,406.00,0.00,2475.00
1960:Q2,167569.00,162643.00,265.00,0.00,4661.00,167569.00,158156.00,1087.00,1087.00,0.00,290.00,3748.00,1685.00,1275.00,0.00,0.00,0.00,410.00,0.00,2603.00
1960:Q3,171505.00,166487.00,276.00,0.00,4742.00,171505.00,161281.00,1346.00,1346.00,0.00,280.00,4036.00,1740.00,1324.00,0.00,0.00,0.00,416.00,0.00,2822.00
1960:Q4,176937.00,171681.00,287.00,0.00,4969.00,176937.00,164461.00,3000.00,3000.00,0.00,262.00,4557.00,1798.00,1374.00,0.00,0.00,0.00,424.00,0.00,2859.00
1961:Q1,182482.00,177090.00,298.00,0.00,5094.00,182482.00,169701.00,3272.00,3272.00,0.00,300.00,4883.00,1863.00,1427.00,0.00,0.00,0.00,436.00,0.00,2463.00
1961:Q2,189071.00,183522.00,310.00,0.00,5239.00,189071.00,175096.00,3863.00,3863.00,0.00,288.00,5266.00,1930.00,1482.00,0.00,0.00,0.00,448.00,0.00,2628.00
1961:Q3,192783.00,187108.00,323.00,0.00,5352.00,192783.00,177733.00,4606.00,4606.00,0.00,300.00,5242.00,1999.00,1539.00,0.00,0.00,0.00,460.00,0.00,2903.00
1961:Q4,197676.00,191720.00,330.00,0.00,5626.00,197676.00,182845.00,4100.00,4100.00,0.00,284.00,5465.00,2071.00,1598.00,0.00,0.00,0.00,473.00,0.00,2911.00
1962:Q1,206020.00,199897.00,334.00,0.00,5789.00,206020.00,189204.00,5395.00,5395.00,0.00,290.00,6087.00,2140.00,1660.00,0.00,0.00,0.00,480.00,0.00,2904.00
1962:Q2,213477.00,207218.00,334.00,0.00,5925.00,213477.00,196080.00,5554.00,5554.00,0.00,300.00,6341.00,2211.00,1723.00,0.00,0.00,0.00,488.00,0.00,2991.00
1962:Q3,218126.00,211759.00,333.00,0.00,6034.00,218126.00,201423.00,4903.00,4903.00,0.00,270.00,6115.00,2286.00,1790.00,0.00,0.00,0.00,496.00,0.00,3129.00
1962:Q4,226318.00,219667.00,335.00,0.00,6316.00,226318.00,208828.00,5000.00,5000.00,0.00,269.00,6450.00,2362.00,1858.00,0.00,0.00,0.00,504.00,0.00,3409.00
1963:Q1,234903.00,228052.00,348.00,0.00,6503.00,234903.00,215765.00,5344.00,5344.00,0.00,260.00,7309.00,2423.00,1930.00,0.00,0.00,0.00,493.00,0.00,3802.00
1963:Q2,242334.00,235294.00,365.00,0.00,6675.00,242334.00,223030.00,5160.00,5160.00,0.00,254.00,7466.00,2485.00,2004.00,0.00,0.00,0.00,481.00,0.00,3939.00
1963:Q3,247248.00,240051.00,382.00,0.00,6815.00,247248.00,227746.00,5117.00,5117.00,0.00,250.00,7458.00,2549.00,2081.00,0.00,0.00,0.00,468.00,0.00,4128.00
1963:Q4,255852.00,248307.00,397.00,0.00,7148.00,255852.00,234936.00,5687.00,5687.00,0.00,260.00,8093.00,2616.00,2161.00,0.00,0.00,0.00,455.00,0.00,4260.00
1964:Q1,263318.00,255573.00,405.00,0.00,7340.00,263318.00,240745.00,6724.00,6724.00,0.00,260.00,8361.00,2698.00,2244.00,0.00,0.00,0.00,454.00,0.00,4530.00
1964:Q2,271028.00,263000.00,411.00,0.00,7617.00,271028.00,247988.00,6452.00,6452.00,0.00,257.00,8680.00,2781.00,2330.00,0.00,0.00,0.00,451.00,0.00,4870.00
1964:Q3,277057.00,268829.00,418.00,0.00,7810.00,277057.00,253567.00,6309.00,6309.00,0.00,240.00,8887.00,2869.00,2419.00,0.00,0.00,0.00,450.00,0.00,5185.00
1964:Q4,286271.00,277642.00,423.00,0.00,8206.00,286271.00,261041.00,6671.00,6671.00,0.00,272.00,9812.00,2960.00,2512.00,0.00,0.00,0.00,448.00,0.00,5515.00
1965:Q1,295943.00,287122.00,442.00,0.00,8379.00,295943.00,268791.00,7704.00,7704.00,0.00,260.00,10450.00,3069.00,2609.00,0.00,0.00,0.00,460.00,0.00,5669.00
1965:Q2,303524.00,294440.00,460.00,0.00,8624.00,303524.00,275058.00,8601.00,8601.00,0.00,260.00,10573.00,3179.00,2709.00,0.00,0.00,0.00,470.00,0.00,5853.00
1965:Q3,310388.00,301135.00,477.00,0.00,8776.00,310388.00,280622.00,9212.00,9212.00,0.00,250.00,11049.00,3296.00,2813.00,0.00,0.00,0.00,483.00,0.00,5959.00
1965:Q4,319441.00,309744.00,498.00,0.00,9199.00,319441.00,288514.00,8993.00,8993.00,0.00,250.00,12186.00,3417.00,2921.00,0.00,0.00,0.00,496.00,0.00,6081.00
1966:Q1,326323.00,316438.00,516.00,0.00,9369.00,326323.00,294109.00,9886.00,9886.00,0.00,250.00,12244.00,3543.00,3034.00,0.00,0.00,0.00,509.00,0.00,6291.00
1966:Q2,332311.00,322171.00,536.00,0.00,9604.00,332311.00,299561.00,9708.00,9708.00,0.00,240.00,12634.00,3671.00,3151.00,0.00,0.00,0.00,520.00,0.00,6497.00
1966:Q3,334584.00,324352.00,535.00,0.00,9697.00,334584.00,301554.00,9774.00,9774.00,0.00,230.00,12761.00,3799.00,3271.00,0.00,0.00,0.00,528.00,0.00,6466.00
1966:Q4,339785.00,329201.00,536.00,0.00,10048.00,339785.00,307135.00,8603.00,8603.00,0.00,220.00,13462.00,3952.00,3418.00,0.00,0.00,0.00,534.00,0.00,6413.00
1967:Q1,353136.00,342349.00,562.00,0.00,10225.00,353136.00,317399.00,9556.00,9556.00,0.00,250.00,15000.00,4079.00,3539.00,0.00,0.00,0.00,540.00,0.00,6852.00
1967:Q2,364444.00,353308.00,587.00,0.00,10549.00,364444.00,328269.00,8777.00,8777.00,0.00,270.00,15651.00,4244.00,3682.00,17.00,0.00,0.00,545.00,0.00,7233.00
1967:Q3,372564.00,361247.00,615.00,0.00,10702.00,372564.00,335929.00,9099.00,9099.00,0.00,260.00,15389.00,4450.00,3829.00,69.00,0.00,0.00,552.00,0.00,7437.00
1967:Q4,380398.00,368674.00,647.00,0.00,11077.00,380398.00,342305.00,9682.00,9682.00,0.00,267.00,15731.00,4734.00,4014.00,161.00,0.00,0.00,559.00,0.00,7679.00
1968:Q1,389189.00,377180.00,687.00,0.00,11322.00,389189.00,351028.00,9375.00,9375.00,0.00,330.00,16272.00,4810.00,4136.00,108.00,0.00,0.00,566.00,0.00,7374.00
1968:Q2,393619.00,381174.00,730.00,0.00,11715.00,393619.00,356713.00,8129.00,8129.00,0.00,321.00,16447.00,4948.00,4303.00,75.00,0.00,0.00,570.00,0.00,7061.00
1968:Q3,403163.00,390575.00,763.00,0.00,11825.00,403163.00,364554.00,8539.00,8539.00,0.00,350.00,17286.00,5204.00,4485.00,146.00,0.00,0.00,573.00,0.00,7230.00
1968:Q4,413743.00,400659.00,801.00,0.00,12283.00,413743.00,372542.00,9056.00,9056.00,0.00,368.00,18880.00,5488.00,4680.00,230.00,0.00,0.00,578.00,0.00,7409.00
1969:Q1,416259.00,402550.00,856.00,211.00,12642.00,416259.00,377371.00,7692.00,7692.00,0.00,350.00,18224.00,5434.00,4799.00,52.00,0.00,0.00,583.00,0.00,7188.00
1969:Q2,416556.00,402124.00,877.00,539.00,13016.00,416556.00,382359.00,4593.00,4593.00,0.00,352.00,16547.00,5772.00,5040.00,143.00,0.00,0.00,589.00,0.00,6933.00
1969:Q3,411224.00,396218.00,955.00,844.00,13207.00,411224.00,380961.00,3525.00,3525.00,0.00,300.00,13361.00,6029.00,5220.00,211.00,0.00,0.00,598.00,0.00,7048.00
1969:Q4,413205.00,397481.00,1032.00,984.00,13708.00,413205.00,381297.00,3652.00,3652.00,0.00,211.00,13050.00,6206.00,5429.00,170.00,0.00,0.00,607.00,0.00,8789.00
1970:Q1,417227.00,400903.00,1206.00,1037.00,14081.00,417227.00,382294.00,4548.00,4348.00,200.00,180.00,14796.00,6402.00,5646.00,138.00,0.00,0.00,618.00,0.00,9007.00
