date,FU883140005.Q,FU313140003.Q,FU543140005.Q,FU883140005.Q,FU153040005.Q,FU763040005.Q,FU733040005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800.00,1165.00,2635.00,3800.00,3800.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150.00,605.00,2545.00,3150.00,3150.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843.00,213.00,2630.00,2843.00,2843.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751.00,84.00,2667.00,2751.00,2751.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945.00,309.00,2636.00,2945.00,2945.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1960:Q4,645.00,20.00,625.00,645.00,645.00,0.00,0.00
1961:Q1,688.00,21.00,667.00,688.00,688.00,0.00,0.00
1961:Q2,793.00,22.00,771.00,793.00,793.00,0.00,0.00
1961:Q3,923.00,24.00,899.00,923.00,923.00,0.00,0.00
1961:Q4,1043.00,26.00,1017.00,1043.00,1043.00,0.00,0.00
1962:Q1,1032.00,29.00,1003.00,1032.00,1032.00,0.00,0.00
1962:Q2,988.00,31.00,957.00,988.00,988.00,0.00,0.00
1962:Q3,912.00,33.00,879.00,912.00,912.00,0.00,0.00
1962:Q4,835.00,32.00,803.00,835.00,835.00,0.00,0.00
1963:Q1,957.00,33.00,924.00,957.00,957.00,0.00,0.00
1963:Q2,1023.00,34.00,989.00,1023.00,1023.00,0.00,0.00
1963:Q3,1095.00,33.00,1062.00,1095.00,1095.00,0.00,0.00
1963:Q4,1162.00,31.00,1131.00,1162.00,1162.00,0.00,0.00
1964:Q1,1084.00,28.00,1056.00,1084.00,1084.00,0.00,0.00
1964:Q2,1087.00,24.00,1063.00,1087.00,1087.00,0.00,0.00
1964:Q3,1107.00,24.00,1083.00,1107.00,1107.00,0.00,0.00
1964:Q4,1138.00,28.00,1110.00,1138.00,1138.00,0.00,0.00
1965:Q1,1098.00,31.00,1067.00,1098.00,1098.00,0.00,0.00
1965:Q2,1233.00,34.00,1199.00,1233.00,1233.00,0.00,0.00
1965:Q3,1274.00,35.00,1239.00,1274.00,1274.00,0.00,0.00
1965:Q4,1220.00,34.00,1186.00,1220.00,1220.00,0.00,0.00
1966:Q1,1174.00,29.00,1145.00,1174.00,1174.00,0.00,0.00
1966:Q2,1142.00,28.00,1114.00,1142.00,1142.00,0.00,0.00
1966:Q3,1157.00,26.00,1131.00,1157.00,1157.00,0.00,0.00
1966:Q4,1221.00,24.00,1197.00,1221.00,1221.00,0.00,0.00
1967:Q1,1265.00,24.00,1241.00,1265.00,1265.00,0.00,0.00
1967:Q2,1237.00,24.00,1213.00,1237.00,1237.00,0.00,0.00
1967:Q3,1242.00,20.00,1222.00,1242.00,1242.00,0.00,0.00
1967:Q4,1221.00,12.00,1209.00,1221.00,1221.00,0.00,0.00
1968:Q1,1202.00,2.00,1200.00,1202.00,1202.00,0.00,0.00
1968:Q2,1184.00,-8.00,1192.00,1184.00,1184.00,0.00,0.00
1968:Q3,1189.00,-8.00,1197.00,1189.00,1189.00,0.00,0.00
1968:Q4,1214.00,0.00,1214.00,1214.00,1214.00,0.00,0.00
1969:Q1,1237.00,11.00,1226.00,1237.00,1237.00,0.00,0.00
1969:Q2,1253.00,20.00,1233.00,1253.00,1253.00,0.00,0.00
1969:Q3,1269.00,22.00,1247.00,1269.00,1269.00,0.00,0.00
1969:Q4,1279.00,13.00,1266.00,1279.00,1279.00,0.00,0.00
1970:Q1,1341.00,69.00,1272.00,1341.00,1341.00,0.00,0.00
1970:Q2,1276.00,12.00,1264.00,1276.00,1276.00,0.00,0.00
1970:Q3,1316.00,11.00,1305.00,1316.00,1316.00,0.00,0.00
1970:Q4,1408.00,14.00,1394.00,1408.00,1408.00,0.00,0.00
1971:Q1,1499.00,17.00,1482.00,1499.00,1499.00,0.00,0.00
1971:Q2,1584.00,18.00,1566.00,1584.00,1584.00,0.00,0.00
1971:Q3,1631.00,19.00,1612.00,1631.00,1631.00,0.00,0.00
1971:Q4,1638.00,17.00,1621.00,1638.00,1638.00,0.00,0.00
1972:Q1,1669.00,30.00,1639.00,1669.00,1669.00,0.00,0.00
1972:Q2,1706.00,39.00,1667.00,1706.00,1706.00,0.00,0.00
1972:Q3,1736.00,42.00,1694.00,1736.00,1736.00,0.00,0.00
1972:Q4,1764.00,41.00,1723.00,1764.00,1764.00,0.00,0.00
1973:Q1,1804.00,43.00,1761.00,1804.00,1804.00,0.00,0.00
1973:Q2,1855.00,47.00,1808.00,1855.00,1855.00,0.00,0.00
1973:Q3,1863.00,46.00,1817.00,1863.00,1863.00,0.00,0.00
1973:Q4,1826.00,39.00,1787.00,1826.00,1826.00,0.00,0.00
1974:Q1,1783.00,33.00,1750.00,1783.00,1783.00,0.00,0.00
1974:Q2,1732.00,27.00,1705.00,1732.00,1732.00,0.00,0.00
1974:Q3,1755.00,26.00,1729.00,1755.00,1755.00,0.00,0.00
1974:Q4,1851.00,29.00,1822.00,1851.00,1851.00,0.00,0.00
1975:Q1,3047.00,1144.00,1903.00,3047.00,3047.00,0.00,0.00
1975:Q2,2350.00,379.00,1971.00,2350.00,2350.00,0.00,0.00
1975:Q3,2059.00,39.00,2020.00,2059.00,2059.00,0.00,0.00
1975:Q4,2771.00,719.00,2052.00,2771.00,2771.00,0.00,0.00
1976:Q1,1989.00,-99.00,2088.00,1989.00,1989.00,0.00,0.00
1976:Q2,2460.00,334.00,2126.00,2460.00,2460.00,0.00,0.00
1976:Q3,2222.00,53.00,2169.00,2222.00,2222.00,0.00,0.00
1976:Q4,2527.00,311.00,2216.00,2527.00,2527.00,0.00,0.00
1977:Q1,2300.00,52.00,2248.00,2300.00,2300.00,0.00,0.00
1977:Q2,2433.00,167.00,2266.00,2433.00,2433.00,0.00,0.00
1977:Q3,2436.00,99.00,2337.00,2436.00,2436.00,0.00,0.00
1977:Q4,2815.00,353.00,2462.00,2815.00,2815.00,0.00,0.00
1978:Q1,2656.00,53.00,2603.00,2656.00,2656.00,0.00,0.00
1978:Q2,3069.00,306.00,2763.00,3069.00,3069.00,0.00,0.00
1978:Q3,2865.00,67.00,2798.00,2865.00,2865.00,0.00,0.00
1978:Q4,2971.00,264.00,2707.00,2971.00,2971.00,0.00,0.00
1979:Q1,2633.00,-18.00,2651.00,2633.00,2633.00,0.00,0.00
1979:Q2,2895.00,263.00,2632.00,2895.00,2895.00,0.00,0.00
1979:Q3,2597.00,2.00,2595.00,2597.00,2597.00,0.00,0.00
1979:Q4,2811.00,271.00,2540.00,2811.00,2811.00,0.00,0.00
1980:Q1,2459.00,-32.00,2491.00,2459.00,2459.00,0.00,0.00
1980:Q2,2690.00,244.00,2446.00,2690.00,2690.00,0.00,0.00
1980:Q3,2418.00,18.00,2400.00,2418.00,2418.00,0.00,0.00
1980:Q4,2687.00,335.00,2352.00,2687.00,2687.00,0.00,0.00
1981:Q1,2293.00,-32.00,2325.00,2293.00,2293.00,0.00,0.00
1981:Q2,2651.00,334.00,2317.00,2651.00,2651.00,0.00,0.00
1981:Q3,2208.00,-24.00,2232.00,2208.00,2208.00,0.00,0.00
1981:Q4,2430.00,360.00,2070.00,2430.00,2430.00,0.00,0.00
1982:Q1,1919.00,35.00,1884.00,1919.00,1919.00,0.00,0.00
1982:Q2,2036.00,364.00,1672.00,2036.00,2036.00,0.00,0.00
1982:Q3,1647.00,10.00,1637.00,1647.00,1647.00,0.00,0.00
1982:Q4,2215.00,437.00,1778.00,2215.00,2215.00,0.00,0.00
1983:Q1,1916.00,28.00,1888.00,1916.00,1916.00,0.00,0.00
1983:Q2,2370.00,405.00,1965.00,2370.00,2370.00,0.00,0.00
1983:Q3,2046.00,52.00,1994.00,2046.00,2046.00,0.00,0.00
1983:Q4,2447.00,473.00,1974.00,2447.00,2447.00,0.00,0.00
1984:Q1,1261.00,86.00,1175.00,1261.00,1261.00,0.00,0.00
1984:Q2,1523.00,454.00,1069.00,1523.00,1523.00,0.00,0.00
1984:Q3,1359.00,53.00,1306.00,1359.00,1359.00,0.00,0.00
1984:Q4,1907.00,491.00,1416.00,1907.00,1907.00,0.00,0.00
1985:Q1,2113.00,36.00,2077.00,2113.00,2113.00,0.00,0.00
1985:Q2,2847.00,469.00,2378.00,2847.00,2847.00,0.00,0.00
1985:Q3,2817.00,56.00,2761.00,2817.00,2817.00,0.00,0.00
1985:Q4,3772.00,547.00,3225.00,3772.00,3772.00,0.00,0.00
1986:Q1,3930.00,30.00,3900.00,3930.00,3930.00,0.00,0.00
1986:Q2,4596.00,496.00,4100.00,4596.00,4596.00,0.00,0.00
1986:Q3,4573.00,73.00,4500.00,4573.00,4573.00,0.00,0.00
1986:Q4,5164.00,443.00,4721.00,5164.00,5164.00,0.00,0.00
1987:Q1,7005.00,127.00,6878.00,7005.00,7005.00,0.00,0.00
1987:Q2,6386.00,489.00,5897.00,6386.00,6386.00,0.00,0.00
1987:Q3,7314.00,1031.00,6283.00,7314.00,7314.00,0.00,0.00
1987:Q4,4236.00,-442.00,4678.00,4236.00,4236.00,0.00,0.00
1988:Q1,5975.00,21.00,5954.00,5975.00,5975.00,0.00,0.00
1988:Q2,7201.00,520.00,6681.00,7201.00,7201.00,0.00,0.00
1988:Q3,6108.00,37.00,6071.00,6108.00,6108.00,0.00,0.00
1988:Q4,8488.00,595.00,7893.00,8488.00,8488.00,0.00,0.00
1989:Q1,3824.00,22.00,3802.00,3824.00,3824.00,0.00,0.00
1989:Q2,8527.00,527.00,8000.00,8527.00,8527.00,0.00,0.00
1989:Q3,5640.00,-8.00,5648.00,5640.00,5640.00,0.00,0.00
1989:Q4,11344.00,616.00,10728.00,11344.00,11344.00,0.00,0.00
1990:Q1,6394.00,-4.00,6398.00,6394.00,6394.00,0.00,0.00
1990:Q2,7537.00,548.00,6989.00,7537.00,7537.00,0.00,0.00
1990:Q3,6918.00,35.00,6883.00,6918.00,6918.00,0.00,0.00
1990:Q4,6174.00,609.00,5565.00,6174.00,6174.00,0.00,0.00
1991:Q1,6029.00,61.00,5968.00,6029.00,6029.00,0.00,0.00
1991:Q2,8537.00,572.00,7965.00,8537.00,8537.00,0.00,0.00
1991:Q3,4400.00,-109.00,4509.00,4400.00,4400.00,0.00,0.00
1991:Q4,6206.00,672.00,5534.00,6206.00,6206.00,0.00,0.00
1992:Q1,7199.00,-116.00,7315.00,7199.00,7199.00,0.00,0.00
1992:Q2,4422.00,613.00,3809.00,4422.00,4422.00,0.00,0.00
1992:Q3,9181.00,167.00,9014.00,9181.00,9181.00,0.00,0.00
1992:Q4,7810.00,775.00,7035.00,7810.00,7810.00,0.00,0.00
1993:Q1,7879.00,3.00,7876.00,7879.00,7879.00,0.00,0.00
1993:Q2,9126.00,640.00,8486.00,9126.00,9126.00,0.00,0.00
1993:Q3,9310.00,69.00,9241.00,9310.00,9310.00,0.00,0.00
1993:Q4,9564.00,681.00,8883.00,9564.00,9564.00,0.00,0.00
1994:Q1,6618.00,6.00,6612.00,6618.00,6618.00,0.00,0.00
1994:Q2,6676.00,679.00,5997.00,6676.00,6676.00,0.00,0.00
1994:Q3,16779.00,98.00,16681.00,16779.00,16779.00,0.00,0.00
1994:Q4,5812.00,485.00,5327.00,5812.00,5812.00,0.00,0.00
1995:Q1,11148.00,50.00,11098.00,11148.00,11148.00,0.00,0.00
1995:Q2,13212.00,431.00,12781.00,13212.00,13212.00,0.00,0.00
1995:Q3,7137.00,74.00,7063.00,7137.00,7137.00,0.00,0.00
1995:Q4,8686.00,464.00,8222.00,8686.00,8686.00,0.00,0.00
1996:Q1,4054.00,92.00,3962.00,4054.00,4054.00,0.00,0.00
1996:Q2,7596.00,608.00,6988.00,7596.00,7596.00,0.00,0.00
1996:Q3,14024.00,39.00,13985.00,14024.00,14024.00,0.00,0.00
1996:Q4,14463.00,-122.00,14585.00,14463.00,14463.00,0.00,0.00
1997:Q1,11815.00,710.00,11105.00,11815.00,11815.00,0.00,0.00
1997:Q2,12881.00,551.00,12330.00,12881.00,12881.00,0.00,0.00
1997:Q3,13645.00,-24.00,13669.00,13645.00,13645.00,0.00,0.00
1997:Q4,8002.00,500.00,7502.00,8002.00,8002.00,0.00,0.00
1998:Q1,6821.00,180.00,6641.00,6821.00,6821.00,0.00,0.00
1998:Q2,9778.00,653.00,9125.00,9778.00,9778.00,0.00,0.00
1998:Q3,8186.00,3.00,8183.00,8186.00,8186.00,0.00,0.00
1998:Q4,19597.00,456.00,19141.00,19597.00,19597.00,0.00,0.00
1999:Q1,10882.00,169.00,10713.00,10882.00,10882.00,0.00,0.00
1999:Q2,14602.00,674.00,13928.00,14602.00,14602.00,0.00,0.00
1999:Q3,6965.00,57.00,6908.00,6965.00,6965.00,0.00,0.00
1999:Q4,16564.00,501.00,16063.00,16564.00,16564.00,0.00,0.00
2000:Q1,12263.00,292.00,11971.00,12263.00,12263.00,0.00,0.00
2000:Q2,7795.00,656.00,7139.00,7795.00,7795.00,0.00,0.00
2000:Q3,11512.00,54.00,11458.00,11512.00,11512.00,0.00,0.00
2000:Q4,11288.00,438.00,10850.00,11288.00,11288.00,0.00,0.00
2001:Q1,25205.00,159.00,25046.00,25205.00,25205.00,0.00,0.00
2001:Q2,25443.00,593.00,24850.00,25443.00,25443.00,0.00,0.00
2001:Q3,3165.00,7.00,3158.00,3165.00,3165.00,0.00,0.00
2001:Q4,20280.00,626.00,19654.00,20280.00,20280.00,0.00,0.00
2002:Q1,22638.00,-68.00,22706.00,22638.00,22638.00,0.00,0.00
2002:Q2,23527.00,1000.00,22527.00,23527.00,23527.00,0.00,0.00
2002:Q3,14862.00,-29.00,14891.00,14862.00,14862.00,0.00,0.00
2002:Q4,-1498.00,670.00,-2168.00,-1498.00,-1498.00,0.00,0.00
2003:Q1,17652.00,19.00,17633.00,17652.00,17652.00,0.00,0.00
2003:Q2,17933.00,420.00,17513.00,17933.00,17933.00,0.00,0.00
2003:Q3,19613.00,137.00,19476.00,19613.00,19613.00,0.00,0.00
2003:Q4,9768.00,550.00,9218.00,9768.00,9768.00,0.00,0.00
2004:Q1,-348.00,-12.00,-336.00,-348.00,-348.00,0.00,0.00
2004:Q2,10828.00,472.00,10356.00,10828.00,10828.00,0.00,0.00
2004:Q3,9194.00,54.00,9140.00,9194.00,9194.00,0.00,0.00
2004:Q4,10236.00,572.00,9664.00,10236.00,10236.00,0.00,0.00
2005:Q1,2819.00,1.00,2818.00,2819.00,2819.00,0.00,0.00
2005:Q2,217.00,418.00,-201.00,217.00,217.00,0.00,0.00
2005:Q3,8186.00,70.00,8116.00,8186.00,8186.00,0.00,0.00
2005:Q4,1260.00,647.00,613.00,1260.00,1260.00,0.00,0.00
2006:Q1,21367.00,76.00,21291.00,21367.00,21367.00,0.00,0.00
2006:Q2,2823.00,555.00,2268.00,2823.00,1712.00,1830.00,-719.00
2006:Q3,15551.00,137.00,15414.00,15551.00,12422.00,2806.00,323.00
2006:Q4,18444.00,734.00,17710.00,18444.00,14829.00,3576.00,39.00
2007:Q1,4901.00,361.00,4540.00,4901.00,1716.00,3216.00,-31.00
2007:Q2,8527.00,567.00,7960.00,8527.00,6677.00,1382.00,468.00
2007:Q3,3229.00,-16.00,3245.00,3229.00,-3234.00,2287.00,4176.00
2007:Q4,9503.00,653.00,8850.00,9503.00,4812.00,4014.00,677.00
2008:Q1,7030.00,-87.00,7117.00,7030.00,6279.00,1038.00,-287.00
2008:Q2,9341.00,488.00,8853.00,9341.00,9770.00,3014.00,-3443.00
2008:Q3,24642.00,-116.00,24758.00,24642.00,17505.00,6580.00,557.00
2008:Q4,21273.00,693.00,20580.00,21273.00,23444.00,-4183.00,2012.00
2009:Q1,16086.00,-58.00,16144.00,16086.00,14666.00,-265.00,1685.00
2009:Q2,-563.00,515.00,-1078.00,-563.00,-900.00,681.00,-344.00
2009:Q3,-1526.00,35.00,-1561.00,-1526.00,-1560.00,-740.00,774.00
2009:Q4,9419.00,606.00,8813.00,9419.00,8391.00,1080.00,-52.00
2010:Q1,328.00,-95.00,423.00,328.00,-970.00,615.00,683.00
2010:Q2,2779.00,177.00,2602.00,2779.00,-248.00,715.00,2312.00
2010:Q3,12571.00,165.00,12406.00,12571.00,10697.00,1531.00,343.00
2010:Q4,-121.00,615.00,-736.00,-121.00,-2164.00,1628.00,415.00
2011:Q1,12716.00,70.00,12646.00,12716.00,11332.00,1340.00,44.00
2011:Q2,14522.00,432.00,14090.00,14522.00,13659.00,988.00,-125.00
2011:Q3,30924.00,289.00,30635.00,30924.00,28428.00,1028.00,1468.00
2011:Q4,19459.00,472.00,18987.00,19459.00,16511.00,1889.00,1060.00
2012:Q1,-4287.00,106.00,-4393.00,-4287.00,-13526.00,3105.00,6134.00
2012:Q2,-16521.00,360.00,-16881.00,-16521.00,-18788.00,1201.00,1066.00
2012:Q3,1881.00,-55.00,1936.00,1881.00,-1055.00,1485.00,1451.00
2012:Q4,3146.00,-124.00,3270.00,3146.00,2883.00,1589.00,-1326.00
2013:Q1,1299.00,41.00,1258.00,1299.00,-1121.00,1182.00,1238.00
2013:Q2,5148.00,183.00,4965.00,5148.00,3688.00,1173.00,287.00
2013:Q3,8158.00,-124.00,8282.00,8158.00,5814.00,1215.00,1129.00
2013:Q4,8150.00,130.00,8020.00,8150.00,3571.00,2176.00,2403.00
2014:Q1,7986.00,-20.00,8006.00,7986.00,5392.00,1411.00,1183.00
2014:Q2,10500.00,138.00,10362.00,10500.00,7697.00,1490.00,1313.00
2014:Q3,11632.00,306.00,11326.00,11632.00,9190.00,1241.00,1201.00
2014:Q4,15912.00,346.00,15566.00,15912.00,12850.00,1729.00,1333.00
2015:Q1,14975.00,-521.00,15496.00,14975.00,12629.00,1296.00,1050.00
2015:Q2,8700.00,231.00,8469.00,8700.00,5544.00,2156.00,1000.00
2015:Q3,14657.00,-145.00,14802.00,14657.00,12248.00,1409.00,1000.00
2015:Q4,7849.00,327.00,7522.00,7849.00,5187.00,1662.00,1000.00
2016:Q1,5684.00,-99.00,5783.00,5684.00,3301.00,1383.00,1000.00
2016:Q2,20954.00,195.00,20759.00,20954.00,18531.00,1423.00,1000.00
2016:Q3,9692.00,16.00,9676.00,9692.00,7204.00,1488.00,1000.00
2016:Q4,12998.00,2.00,12996.00,12998.00,10676.00,1322.00,1000.00
