1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,925123.00,0.00,63347.00,72177.00,0.00,77532.00,65426.00,79.00,5740.00,6287.00,19516.00,893.00,18623.00,0.00,184698.00,3482.00,0.00,57777.00,108809.00,82023.00,26786.00,328509.00,9276.00,85567.00,0.00,83447.00,51792.00,25350.00,550.00,4186.00,1569.00,1034.00,1086.00
1952:Q1,937450.00,0.00,62451.00,73469.00,0.00,80001.00,66245.00,123.00,7499.00,6134.00,19400.00,748.00,18652.00,0.00,186383.00,3612.00,0.00,58445.00,112851.00,83268.00,29583.00,331382.00,9456.00,86307.00,0.00,84144.00,53149.00,24597.00,550.00,4229.00,1619.00,1058.00,1105.00
1952:Q2,951848.00,0.00,60701.00,75744.00,0.00,82094.00,65904.00,0.00,9835.00,6355.00,19608.00,695.00,18913.00,0.00,192556.00,3696.00,0.00,59153.00,116622.00,85762.00,30860.00,332041.00,9633.00,90493.00,0.00,88286.00,54880.00,26878.00,533.00,4300.00,1695.00,1084.00,1123.00
1952:Q3,963302.00,0.00,63517.00,77273.00,0.00,83781.00,67045.00,0.00,10606.00,6130.00,19803.00,677.00,19126.00,0.00,192065.00,3837.00,0.00,59892.00,120444.00,88152.00,32292.00,332879.00,9811.00,93522.00,0.00,91270.00,56721.00,27965.00,466.00,4347.00,1771.00,1110.00,1142.00
1952:Q4,960924.00,0.00,65505.00,79651.00,0.00,84342.00,67389.00,-1.00,10957.00,5997.00,20003.00,714.00,19289.00,0.00,181107.00,3932.00,0.00,60665.00,124409.00,90933.00,33476.00,330662.00,10648.00,97960.00,0.00,95665.00,58486.00,30522.00,417.00,4404.00,1836.00,1133.00,1162.00
1953:Q1,964234.00,0.00,66259.00,81545.00,0.00,84729.00,66956.00,52.00,11875.00,5846.00,20356.00,737.00,19619.00,0.00,177857.00,3867.00,0.00,61439.00,128324.00,93738.00,34586.00,329029.00,10829.00,100274.00,0.00,97936.00,60073.00,30901.00,431.00,4618.00,1913.00,1154.00,1184.00
1953:Q2,961642.00,0.00,63030.00,84177.00,0.00,88303.00,69312.00,135.00,12743.00,6113.00,20525.00,639.00,19886.00,0.00,168582.00,3778.00,0.00,62199.00,132392.00,96268.00,36124.00,327660.00,10996.00,104767.00,0.00,102387.00,62293.00,32672.00,571.00,4864.00,1987.00,1173.00,1207.00
1953:Q3,967456.00,0.00,65669.00,85755.00,0.00,88627.00,69128.00,209.00,13542.00,5748.00,20683.00,663.00,20020.00,0.00,163848.00,3753.00,0.00,62937.00,136525.00,99136.00,37389.00,328513.00,11146.00,107296.00,0.00,104873.00,64272.00,33354.00,347.00,4850.00,2050.00,1192.00,1231.00
1953:Q4,991239.00,0.00,66817.00,87886.00,0.00,88052.00,68038.00,154.00,13873.00,5987.00,20993.00,708.00,20285.00,0.00,177572.00,4146.00,0.00,63647.00,140617.00,102112.00,38505.00,330216.00,11293.00,110689.00,0.00,108223.00,66003.00,34614.00,478.00,4996.00,2132.00,1212.00,1254.00
1954:Q1,1008777.00,0.00,65248.00,89888.00,0.00,88441.00,68196.00,140.00,14386.00,5719.00,21278.00,786.00,20492.00,0.00,188593.00,4512.00,0.00,64339.00,144626.00,104862.00,39764.00,330444.00,11408.00,110561.00,0.00,108053.00,67416.00,32744.00,583.00,5086.00,2224.00,1233.00,1275.00
