date,FL504090005.Q,FL503034003.Q,FL502051003.Q,FL504022005.Q,FL503069105.Q,FL503063005.Q,FL503069805.Q,FL503064105.Q,FL503094505.Q,FL753194503.Q,FL663194505.Q,FL504190005.Q,FL504122005.Q,FL503169105.Q,FL503163005.Q,FL504123005.Q,FL713068505.Q,FL503169205.Q,FL503192003.Q,FL503190005.Q,FL663097005.Q,FL503194305.Q,FL503193005.Q
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,862.00,0.00,0.00,862.00,862.00,0.00,0.00,0.00,0.00,0.00,0.00,862.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,862.00,0.00,0.00,862.00
1952:Q1,1054.00,0.00,0.00,1054.00,1054.00,0.00,0.00,0.00,0.00,0.00,0.00,1054.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1054.00,0.00,0.00,1054.00
1952:Q2,958.00,0.00,0.00,958.00,958.00,0.00,0.00,0.00,0.00,0.00,0.00,958.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,958.00,0.00,0.00,958.00
1952:Q3,1107.00,0.00,0.00,1107.00,1107.00,0.00,0.00,0.00,0.00,0.00,0.00,1107.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1107.00,0.00,0.00,1107.00
1952:Q4,1106.00,0.00,0.00,1106.00,1106.00,0.00,0.00,0.00,0.00,0.00,0.00,1106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1106.00,0.00,0.00,1106.00
1953:Q1,1340.00,0.00,0.00,1340.00,1340.00,0.00,0.00,0.00,0.00,0.00,0.00,1340.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1340.00,0.00,0.00,1340.00
1953:Q2,1273.00,0.00,0.00,1273.00,1273.00,0.00,0.00,0.00,0.00,0.00,0.00,1273.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1273.00,0.00,0.00,1273.00
1953:Q3,1447.00,0.00,0.00,1447.00,1447.00,0.00,0.00,0.00,0.00,0.00,0.00,1447.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1447.00,0.00,0.00,1447.00
1953:Q4,1374.00,0.00,0.00,1374.00,1374.00,0.00,0.00,0.00,0.00,0.00,0.00,1374.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1374.00,0.00,0.00,1374.00
1954:Q1,1498.00,0.00,0.00,1498.00,1498.00,0.00,0.00,0.00,0.00,0.00,0.00,1498.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1498.00,0.00,0.00,1498.00
1954:Q2,1368.00,0.00,0.00,1368.00,1368.00,0.00,0.00,0.00,0.00,0.00,0.00,1368.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1368.00,0.00,0.00,1368.00
1954:Q3,1372.00,0.00,0.00,1372.00,1372.00,0.00,0.00,0.00,0.00,0.00,0.00,1372.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1372.00,0.00,0.00,1372.00
1954:Q4,1149.00,0.00,0.00,1149.00,1149.00,0.00,0.00,0.00,0.00,0.00,0.00,1149.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1149.00,0.00,0.00,1149.00
1955:Q1,1456.00,0.00,0.00,1456.00,1456.00,0.00,0.00,0.00,0.00,0.00,0.00,1456.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1456.00,0.00,0.00,1456.00
1955:Q2,1548.00,0.00,0.00,1548.00,1548.00,0.00,0.00,0.00,0.00,0.00,0.00,1548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1548.00,0.00,0.00,1548.00
1955:Q3,1607.00,0.00,0.00,1607.00,1607.00,0.00,0.00,0.00,0.00,0.00,0.00,1607.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1607.00,0.00,0.00,1607.00
1955:Q4,1445.00,0.00,0.00,1445.00,1445.00,0.00,0.00,0.00,0.00,0.00,0.00,1445.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1445.00,0.00,0.00,1445.00
1956:Q1,1967.00,0.00,0.00,1967.00,1967.00,0.00,0.00,0.00,0.00,0.00,0.00,1967.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1967.00,0.00,0.00,1967.00
1956:Q2,1780.00,0.00,0.00,1780.00,1780.00,0.00,0.00,0.00,0.00,0.00,0.00,1780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1780.00,0.00,0.00,1780.00
1956:Q3,1721.00,0.00,0.00,1721.00,1721.00,0.00,0.00,0.00,0.00,0.00,0.00,1721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1721.00,0.00,0.00,1721.00
1956:Q4,1528.00,0.00,0.00,1528.00,1528.00,0.00,0.00,0.00,0.00,0.00,0.00,1528.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1528.00,0.00,0.00,1528.00
1957:Q1,1956.00,0.00,0.00,1956.00,1956.00,0.00,0.00,0.00,0.00,0.00,0.00,1956.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1956.00,0.00,0.00,1956.00
1957:Q2,1743.00,0.00,0.00,1743.00,1743.00,0.00,0.00,0.00,0.00,0.00,0.00,1743.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1743.00,0.00,0.00,1743.00
1957:Q3,1832.00,0.00,0.00,1832.00,1832.00,0.00,0.00,0.00,0.00,0.00,0.00,1832.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1832.00,0.00,0.00,1832.00
1957:Q4,1838.00,0.00,0.00,1838.00,1838.00,0.00,0.00,0.00,0.00,0.00,0.00,1838.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1838.00,0.00,0.00,1838.00
1958:Q1,2132.00,0.00,0.00,2132.00,2132.00,0.00,0.00,0.00,0.00,0.00,0.00,2132.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2132.00,0.00,0.00,2132.00
1958:Q2,2217.00,0.00,0.00,2217.00,2217.00,0.00,0.00,0.00,0.00,0.00,0.00,2217.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2217.00,0.00,0.00,2217.00
1958:Q3,2235.00,0.00,0.00,2235.00,2235.00,0.00,0.00,0.00,0.00,0.00,0.00,2235.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2235.00,0.00,0.00,2235.00
1958:Q4,1933.00,0.00,0.00,1933.00,1933.00,0.00,0.00,0.00,0.00,0.00,0.00,1933.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1933.00,0.00,0.00,1933.00
1959:Q1,2015.00,0.00,0.00,2015.00,2015.00,0.00,0.00,0.00,0.00,0.00,0.00,2015.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015.00,0.00,0.00,2015.00
1959:Q2,2033.00,0.00,0.00,2033.00,2033.00,0.00,0.00,0.00,0.00,0.00,0.00,2033.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2033.00,0.00,0.00,2033.00
1959:Q3,2250.00,0.00,0.00,2250.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2250.00,0.00,0.00,2250.00
1959:Q4,1759.00,0.00,0.00,1759.00,1759.00,0.00,0.00,0.00,0.00,0.00,0.00,1759.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1759.00,0.00,0.00,1759.00
1960:Q1,2920.00,0.00,0.00,2920.00,2920.00,0.00,0.00,0.00,0.00,0.00,0.00,2920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2920.00,0.00,0.00,2920.00
1960:Q2,2968.00,0.00,0.00,2968.00,2968.00,0.00,0.00,0.00,0.00,0.00,0.00,2968.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2968.00,0.00,0.00,2968.00
1960:Q3,3051.00,0.00,0.00,3051.00,3051.00,0.00,0.00,0.00,0.00,0.00,0.00,3051.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3051.00,0.00,0.00,3051.00
1960:Q4,2727.00,0.00,0.00,2727.00,2727.00,0.00,0.00,0.00,0.00,0.00,0.00,2727.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2727.00,0.00,0.00,2727.00
1961:Q1,3288.00,0.00,0.00,3288.00,3288.00,0.00,0.00,0.00,0.00,0.00,0.00,3288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3288.00,0.00,0.00,3288.00
1961:Q2,3162.00,0.00,0.00,3162.00,3162.00,0.00,0.00,0.00,0.00,0.00,0.00,3162.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3162.00,0.00,0.00,3162.00
1961:Q3,3167.00,0.00,0.00,3167.00,3167.00,0.00,0.00,0.00,0.00,0.00,0.00,3167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3167.00,0.00,0.00,3167.00
1961:Q4,2362.00,0.00,0.00,2362.00,2362.00,0.00,0.00,0.00,0.00,0.00,0.00,2362.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2362.00,0.00,0.00,2362.00
1962:Q1,3406.00,0.00,0.00,3406.00,3406.00,0.00,0.00,0.00,0.00,0.00,0.00,3406.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3406.00,0.00,0.00,3406.00
1962:Q2,3359.00,0.00,0.00,3359.00,3359.00,0.00,0.00,0.00,0.00,0.00,0.00,3359.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3359.00,0.00,0.00,3359.00
1962:Q3,3614.00,0.00,0.00,3614.00,3614.00,0.00,0.00,0.00,0.00,0.00,0.00,3614.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3614.00,0.00,0.00,3614.00
1962:Q4,3282.00,0.00,0.00,3282.00,3282.00,0.00,0.00,0.00,0.00,0.00,0.00,3282.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3282.00,0.00,0.00,3282.00
1963:Q1,4165.00,0.00,0.00,4165.00,4165.00,0.00,0.00,0.00,0.00,0.00,0.00,4165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4165.00,0.00,0.00,4165.00
1963:Q2,4650.00,0.00,0.00,4650.00,4650.00,0.00,0.00,0.00,0.00,0.00,0.00,4650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4650.00,0.00,0.00,4650.00
1963:Q3,5040.00,0.00,0.00,5040.00,5040.00,0.00,0.00,0.00,0.00,0.00,0.00,5040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5040.00,0.00,0.00,5040.00
1963:Q4,4502.00,0.00,0.00,4502.00,4502.00,0.00,0.00,0.00,0.00,0.00,0.00,4502.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4502.00,0.00,0.00,4502.00
1964:Q1,4939.00,0.00,0.00,4939.00,4939.00,0.00,0.00,0.00,0.00,0.00,0.00,4939.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4939.00,0.00,0.00,4939.00
1964:Q2,5737.00,0.00,0.00,5737.00,5737.00,0.00,0.00,0.00,0.00,0.00,0.00,5737.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5737.00,0.00,0.00,5737.00
1964:Q3,5304.00,0.00,0.00,5304.00,5304.00,0.00,0.00,0.00,0.00,0.00,0.00,5304.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5304.00,0.00,0.00,5304.00
1964:Q4,5454.00,0.00,0.00,5454.00,5454.00,0.00,0.00,0.00,0.00,0.00,0.00,5454.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5454.00,0.00,0.00,5454.00
1965:Q1,6617.00,0.00,0.00,6617.00,6617.00,0.00,0.00,0.00,0.00,0.00,0.00,6617.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6617.00,0.00,0.00,6617.00
1965:Q2,7114.00,0.00,0.00,7114.00,7114.00,0.00,0.00,0.00,0.00,0.00,0.00,7114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7114.00,0.00,0.00,7114.00
1965:Q3,6859.00,0.00,0.00,6859.00,6859.00,0.00,0.00,0.00,0.00,0.00,0.00,6859.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6859.00,0.00,0.00,6859.00
1965:Q4,6540.00,0.00,0.00,6540.00,6540.00,0.00,0.00,0.00,0.00,0.00,0.00,6540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6540.00,0.00,0.00,6540.00
1966:Q1,7245.00,0.00,0.00,7245.00,7245.00,0.00,0.00,0.00,0.00,0.00,0.00,7245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7245.00,0.00,0.00,7245.00
1966:Q2,7311.00,0.00,0.00,7311.00,7311.00,0.00,0.00,0.00,0.00,0.00,0.00,7311.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7311.00,0.00,0.00,7311.00
1966:Q3,8256.00,0.00,0.00,8256.00,8256.00,0.00,0.00,0.00,0.00,0.00,0.00,8256.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8256.00,0.00,0.00,8256.00
1966:Q4,9061.00,0.00,0.00,9061.00,9061.00,0.00,0.00,0.00,0.00,0.00,0.00,9061.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9061.00,0.00,0.00,9061.00
1967:Q1,10587.00,0.00,0.00,10587.00,10587.00,0.00,0.00,0.00,0.00,0.00,0.00,10587.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10587.00,0.00,0.00,10587.00
1967:Q2,10607.00,0.00,0.00,10607.00,10607.00,0.00,0.00,0.00,0.00,0.00,0.00,10607.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10607.00,0.00,0.00,10607.00
1967:Q3,9806.00,0.00,0.00,9806.00,9806.00,0.00,0.00,0.00,0.00,0.00,0.00,9806.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9806.00,0.00,0.00,9806.00
1967:Q4,10957.00,0.00,0.00,10957.00,10957.00,0.00,0.00,0.00,0.00,0.00,0.00,10957.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10957.00,0.00,0.00,10957.00
1968:Q1,11952.00,0.00,0.00,11952.00,11952.00,0.00,0.00,0.00,0.00,0.00,0.00,11952.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11952.00,0.00,0.00,11952.00
1968:Q2,11922.00,0.00,0.00,11922.00,11922.00,0.00,0.00,0.00,0.00,0.00,0.00,11922.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11922.00,0.00,0.00,11922.00
1968:Q3,12379.00,0.00,0.00,12379.00,12379.00,0.00,0.00,0.00,0.00,0.00,0.00,12379.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12379.00,0.00,0.00,12379.00
1968:Q4,13190.00,0.00,0.00,13190.00,13190.00,0.00,0.00,0.00,0.00,0.00,0.00,13190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13190.00,0.00,0.00,13190.00
1969:Q1,14269.00,0.00,0.00,14269.00,14269.00,0.00,0.00,0.00,0.00,0.00,0.00,14269.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14269.00,0.00,0.00,14269.00
1969:Q2,15811.00,0.00,0.00,15811.00,15811.00,0.00,0.00,0.00,0.00,0.00,0.00,15811.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15811.00,0.00,0.00,15811.00
1969:Q3,18346.00,0.00,0.00,18346.00,18346.00,0.00,0.00,0.00,0.00,0.00,0.00,18346.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18346.00,0.00,0.00,18346.00
1969:Q4,20119.00,0.00,0.00,20119.00,20119.00,0.00,0.00,0.00,0.00,0.00,0.00,20119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20119.00,0.00,0.00,20119.00
1970:Q1,24448.00,0.00,0.00,24448.00,24448.00,0.00,0.00,0.00,0.00,0.00,0.00,24448.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24448.00,0.00,0.00,24448.00
1970:Q2,25738.00,0.00,0.00,25738.00,25738.00,0.00,0.00,0.00,0.00,0.00,0.00,25738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25738.00,0.00,0.00,25738.00
1970:Q3,19444.00,0.00,0.00,19444.00,19444.00,0.00,0.00,0.00,0.00,0.00,0.00,19444.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19444.00,0.00,0.00,19444.00
1970:Q4,17968.00,0.00,0.00,17968.00,17968.00,0.00,0.00,0.00,0.00,0.00,0.00,17968.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17968.00,0.00,0.00,17968.00
1971:Q1,16102.00,0.00,0.00,16102.00,16102.00,0.00,0.00,0.00,0.00,0.00,0.00,16102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16102.00,0.00,0.00,16102.00
1971:Q2,14861.00,0.00,0.00,14861.00,14861.00,0.00,0.00,0.00,0.00,0.00,0.00,14861.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14861.00,0.00,0.00,14861.00
1971:Q3,14755.00,0.00,0.00,14755.00,14755.00,0.00,0.00,0.00,0.00,0.00,0.00,14755.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14755.00,0.00,0.00,14755.00
1971:Q4,15070.00,0.00,0.00,15070.00,15070.00,0.00,0.00,0.00,0.00,0.00,0.00,15070.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15070.00,0.00,0.00,15070.00
1972:Q1,14346.00,0.00,0.00,14346.00,14346.00,0.00,0.00,0.00,0.00,0.00,0.00,14346.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14346.00,0.00,0.00,14346.00
1972:Q2,13295.00,0.00,0.00,13295.00,13295.00,0.00,0.00,0.00,0.00,0.00,0.00,13295.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13295.00,0.00,0.00,13295.00
1972:Q3,10805.00,0.00,0.00,10805.00,10805.00,0.00,0.00,0.00,0.00,0.00,0.00,10805.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10805.00,0.00,0.00,10805.00
1972:Q4,10506.00,0.00,0.00,10506.00,10506.00,0.00,0.00,0.00,0.00,0.00,0.00,10506.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10506.00,0.00,0.00,10506.00
1973:Q1,8710.00,0.00,0.00,8710.00,8710.00,0.00,0.00,0.00,0.00,0.00,0.00,8710.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8710.00,0.00,0.00,8710.00
1973:Q2,10720.00,0.00,0.00,10720.00,10720.00,0.00,0.00,0.00,0.00,0.00,0.00,10720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10720.00,0.00,0.00,10720.00
1973:Q3,11639.00,0.00,0.00,11639.00,11639.00,0.00,0.00,0.00,0.00,0.00,0.00,11639.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11639.00,0.00,0.00,11639.00
1973:Q4,15782.00,0.00,0.00,15782.00,15782.00,0.00,0.00,0.00,0.00,0.00,0.00,15782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15782.00,0.00,0.00,15782.00
1974:Q1,16425.00,0.00,0.00,16425.00,16425.00,0.00,0.00,0.00,0.00,0.00,0.00,16425.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16425.00,0.00,0.00,16425.00
1974:Q2,19556.00,0.00,0.00,19556.00,19556.00,0.00,0.00,0.00,0.00,0.00,0.00,19556.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19556.00,0.00,0.00,19556.00
1974:Q3,23716.00,0.00,0.00,23716.00,23716.00,0.00,0.00,0.00,0.00,0.00,0.00,23716.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23716.00,0.00,0.00,23716.00
1974:Q4,23901.00,0.00,0.00,23901.00,23901.00,0.00,0.00,0.00,0.00,0.00,0.00,23901.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23901.00,0.00,0.00,23901.00
1975:Q1,31889.00,0.00,0.00,31889.00,31889.00,0.00,0.00,0.00,0.00,0.00,0.00,31889.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31889.00,0.00,0.00,31889.00
1975:Q2,27782.00,0.00,0.00,27782.00,27782.00,0.00,0.00,0.00,0.00,0.00,0.00,27782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27782.00,0.00,0.00,27782.00
1975:Q3,22991.00,0.00,0.00,22991.00,22991.00,0.00,0.00,0.00,0.00,0.00,0.00,22991.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22991.00,0.00,0.00,22991.00
1975:Q4,21087.00,0.00,0.00,21087.00,21087.00,0.00,0.00,0.00,0.00,0.00,0.00,21087.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21087.00,0.00,0.00,21087.00
1976:Q1,21674.00,155.00,0.00,21519.00,21519.00,0.00,0.00,0.00,0.00,0.00,0.00,21674.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21674.00,310.00,0.00,21364.00
1976:Q2,22169.00,89.00,0.00,22080.00,22080.00,0.00,0.00,0.00,0.00,0.00,0.00,22169.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22169.00,178.00,0.00,21991.00
1976:Q3,19723.00,99.00,0.00,19624.00,19624.00,0.00,0.00,0.00,0.00,0.00,0.00,19723.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19723.00,198.00,0.00,19525.00
1976:Q4,18284.00,305.00,0.00,17979.00,17979.00,0.00,0.00,0.00,0.00,0.00,0.00,18284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18284.00,610.00,0.00,17674.00
1977:Q1,25743.00,466.00,0.00,25277.00,25277.00,0.00,0.00,0.00,0.00,0.00,0.00,25743.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25743.00,931.00,0.00,24812.00
1977:Q2,29977.00,270.00,0.00,29707.00,29707.00,0.00,0.00,0.00,0.00,0.00,0.00,29977.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29977.00,540.00,0.00,29437.00
1977:Q3,30350.00,222.00,0.00,30128.00,30128.00,0.00,0.00,0.00,0.00,0.00,0.00,30350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30350.00,443.00,0.00,29907.00
1977:Q4,33364.00,246.00,0.00,33118.00,33118.00,0.00,0.00,0.00,0.00,0.00,0.00,33364.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33364.00,491.00,0.00,32873.00
1978:Q1,33915.00,281.00,0.00,33634.00,33634.00,0.00,0.00,0.00,0.00,0.00,0.00,33915.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33915.00,561.00,0.00,33354.00
1978:Q2,40736.00,180.00,0.00,40556.00,40556.00,0.00,0.00,0.00,0.00,0.00,0.00,40736.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40736.00,360.00,0.00,40376.00
1978:Q3,40213.00,259.00,0.00,39954.00,39954.00,0.00,0.00,0.00,0.00,0.00,0.00,40213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40213.00,517.00,0.00,39696.00
1978:Q4,49128.00,508.00,0.00,48620.00,48620.00,0.00,0.00,0.00,0.00,0.00,0.00,49128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49128.00,1016.00,0.00,48112.00
1979:Q1,53196.00,278.00,0.00,52918.00,52918.00,0.00,0.00,0.00,0.00,0.00,0.00,53196.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53196.00,555.00,0.00,52641.00
