date,FL152090205.Q,FL112090205.Q,FL662090205.Q
1945:Q4,197384.93,197384.93,0.00
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,234183.00,234183.00,0.00
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,267381.00,267381.00,0.00
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,283078.00,283078.00,0.00
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,284821.00,284821.00,0.00
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,301716.00,301716.00,0.00
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1983:Q2,2411547.00,2408655.00,2892.00
1983:Q3,2420015.00,2417121.00,2894.00
1983:Q4,2445038.00,2441957.00,3081.00
1984:Q1,2455065.00,2452032.00,3033.00
1984:Q2,2445148.00,2442456.00,2692.00
1984:Q3,2440124.00,2437002.00,3122.00
1984:Q4,2442558.00,2439490.00,3068.00
1985:Q1,2446602.00,2443201.00,3401.00
1985:Q2,2431379.00,2427729.00,3650.00
1985:Q3,2444525.00,2440689.00,3836.00
1985:Q4,2506899.00,2503038.00,3861.00
1986:Q1,2543411.00,2539017.00,4394.00
1986:Q2,2563387.00,2558224.00,5163.00
1986:Q3,2597813.00,2592644.00,5169.00
1986:Q4,2625715.00,2620170.00,5545.00
1987:Q1,2657043.00,2651047.00,5996.00
1987:Q2,2675706.00,2669959.00,5747.00
1987:Q3,2694771.00,2688876.00,5895.00
1987:Q4,2739223.00,2733949.00,5274.00
1988:Q1,2785490.00,2779885.00,5605.00
1988:Q2,2820877.00,2814788.00,6089.00
1988:Q3,2849671.00,2843782.00,5889.00
1988:Q4,2881666.00,2876034.00,5632.00
1989:Q1,2923952.00,2918173.00,5779.00
1989:Q2,2959104.00,2953794.00,5310.00
1989:Q3,2971984.00,2966391.00,5593.00
1989:Q4,3000525.00,2995813.00,4712.00
1990:Q1,3016386.00,3011762.00,4624.00
1990:Q2,3026236.00,3021812.00,4424.00
1990:Q3,3044461.00,3040312.00,4149.00
1990:Q4,3056631.00,3052669.00,3962.00
1991:Q1,3066122.00,3061925.00,4197.00
1991:Q2,3053342.00,3049048.00,4294.00
1991:Q3,3029072.00,3024443.00,4629.00
1991:Q4,3015600.00,3010909.00,4691.00
1992:Q1,3026397.00,3021697.00,4700.00
1992:Q2,3004581.00,3000005.00,4576.00
1992:Q3,3007817.00,3002775.00,5042.00
1992:Q4,2997542.00,2992480.00,5062.00
1993:Q1,3035823.00,3029864.00,5959.00
1993:Q2,3066714.00,3061053.00,5661.00
1993:Q3,3100597.00,3094201.00,6396.00
1993:Q4,3137129.00,3130934.00,6195.00
1994:Q1,3200019.00,3193844.00,6175.00
1994:Q2,3261607.00,3256042.00,5565.00
1994:Q3,3296276.00,3290671.00,5605.00
1994:Q4,3342078.00,3337002.00,5076.00
1995:Q1,3386969.00,3381648.00,5321.00
1995:Q2,3420257.00,3415156.00,5101.00
1995:Q3,3471633.00,3465834.00,5799.00
1995:Q4,3517127.00,3511752.00,5375.00
1996:Q1,3556258.00,3550301.00,5957.00
1996:Q2,3558263.00,3552436.00,5827.00
1996:Q3,3573774.00,3567580.00,6194.00
1996:Q4,3636144.00,3629637.00,6507.00
1997:Q1,3768860.00,3761409.00,7451.00
1997:Q2,3822055.00,3813522.00,8533.00
1997:Q3,3894272.00,3884752.00,9520.00
1997:Q4,4018320.00,4008868.00,9452.00
1998:Q1,4135738.00,4125715.00,10023.00
1998:Q2,4139221.00,4129427.00,9794.00
1998:Q3,4205517.00,4195992.00,9525.00
1998:Q4,4257969.00,4248408.00,9561.00
1999:Q1,4308390.00,4298976.00,9414.00
1999:Q2,4307336.00,4297425.00,9911.00
1999:Q3,4394829.00,4384753.00,10076.00
1999:Q4,4491679.00,4480133.00,11546.00
2000:Q1,4557116.00,4545596.00,11520.00
2000:Q2,4599752.00,4587550.00,12202.00
2000:Q3,4822262.00,4810417.00,11845.00
2000:Q4,4958930.00,4947275.00,11655.00
2001:Q1,5011545.00,4998104.00,13441.00
2001:Q2,5065438.00,5050725.00,14713.00
2001:Q3,5144904.00,5129820.00,15084.00
2001:Q4,5141552.00,5135374.00,6178.00
2002:Q1,5213337.00,5208100.00,5237.00
2002:Q2,5255316.00,5249351.00,5965.00
2002:Q3,5340382.00,5334332.00,6050.00
2002:Q4,5460946.00,5455996.00,4950.00
2003:Q1,5658990.00,5647084.00,11906.00
2003:Q2,5794640.00,5782084.00,12556.00
2003:Q3,5916681.00,5904001.00,12680.00
2003:Q4,6033565.00,6020614.00,12951.00
2004:Q1,6291138.00,6279240.00,11898.00
2004:Q2,6618138.00,6606483.00,11655.00
2004:Q3,6968251.00,6955984.00,12267.00
2004:Q4,7233082.00,7221888.00,11194.00
2005:Q1,7451761.00,7440223.00,11538.00
2005:Q2,7736565.00,7724967.00,11598.00
2005:Q3,8026616.00,8014891.00,11725.00
2005:Q4,8336409.00,8324694.00,11715.00
2006:Q1,8481467.00,8468342.00,13125.00
2006:Q2,8587373.00,8574360.00,13013.00
2006:Q3,8710987.00,8697849.00,13138.00
2006:Q4,8753279.00,8743599.00,9680.00
2007:Q1,8908662.00,8897561.00,11101.00
2007:Q2,8936574.00,8925187.00,11387.00
2007:Q3,8938438.00,8927051.00,11387.00
2007:Q4,8816446.00,8803816.00,12630.00
2008:Q1,8416436.00,8405365.00,11071.00
2008:Q2,7966424.00,7956346.00,10078.00
2008:Q3,7773132.00,7766555.00,6577.00
2008:Q4,7336778.00,7326109.00,10669.00
2009:Q1,6944765.00,6931751.00,13014.00
2009:Q2,6476345.00,6464108.00,12237.00
2009:Q3,6136960.00,6124467.00,12493.00
2009:Q4,6131540.00,6116738.00,14802.00
2010:Q1,6171059.00,6155707.00,15352.00
2010:Q2,6437292.00,6422156.00,15136.00
2010:Q3,6576279.00,6560752.00,15527.00
2010:Q4,6764083.00,6748139.00,15944.00
2011:Q1,6951066.00,6936525.00,14541.00
2011:Q2,7019791.00,7005876.00,13915.00
2011:Q3,7175972.00,7163955.00,12017.00
2011:Q4,7419124.00,7407265.00,11859.00
2012:Q1,7517706.00,7501176.00,16530.00
2012:Q2,7690901.00,7674491.00,16410.00
2012:Q3,7995610.00,7978698.00,16912.00
2012:Q4,8177691.00,8160445.00,17246.00
2013:Q1,8391297.00,8373351.00,17946.00
2013:Q2,8701463.00,8683602.00,17861.00
2013:Q3,9056841.00,9040770.00,16071.00
2013:Q4,9329935.00,9313680.00,16255.00
2014:Q1,9448296.00,9431095.00,17201.00
2014:Q2,9641917.00,9624638.00,17279.00
2014:Q3,9843591.00,9825731.00,17860.00
2014:Q4,10103023.00,10085149.00,17874.00
2015:Q1,10361693.00,10344057.00,17636.00
2015:Q2,10507669.00,10490881.00,16788.00
2015:Q3,10671712.00,10654255.00,17457.00
2015:Q4,10834224.00,10819551.00,14673.00
2016:Q1,10884436.00,10873249.00,11187.00
2016:Q2,11009559.00,10999230.00,10329.00
2016:Q3,11156522.00,11142751.00,13771.00
2016:Q4,11249262.00,11234454.00,14808.00
