1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q2,-22311.00,-6003.00,0.00,-8918.00,-15785.00,6867.00,-1098.00,0.00,-6292.00,-844.00,-5448.00,-22311.00,-5162.00,381.00,-5543.00,-110.00,0.00,-110.00,0.00,150.00,-17189.00,74570.00,-480.00,-91279.00
2013:Q3,-1333.00,18156.00,0.00,-4241.00,-3150.00,-1091.00,-1452.00,0.00,-13796.00,-23403.00,9607.00,-1333.00,-7666.00,-23031.00,15365.00,0.00,0.00,0.00,0.00,150.00,6183.00,-10903.00,0.00,17086.00
2013:Q4,-72729.00,-28938.00,0.00,-44997.00,-42126.00,-2871.00,212.00,0.00,994.00,4812.00,-3818.00,-72729.00,8301.00,16159.00,-7858.00,0.00,0.00,0.00,0.00,150.00,-81180.00,-28710.00,0.00,-52470.00
2014:Q1,28670.00,-7798.00,0.00,32956.00,20856.00,12100.00,753.00,0.00,2759.00,371.00,2388.00,28670.00,15276.00,17184.00,-1908.00,0.00,0.00,0.00,0.00,150.00,13244.00,120992.00,0.00,-107748.00
2014:Q2,-17025.00,-39793.00,0.00,10821.00,15620.00,-4799.00,-1279.00,0.00,13226.00,-3051.00,16277.00,-17025.00,11812.00,-5953.00,17765.00,0.00,0.00,0.00,0.00,150.00,-28987.00,-47990.00,0.00,19003.00
2014:Q3,21919.00,3440.00,0.00,9517.00,10637.00,-1120.00,242.00,0.00,8720.00,7028.00,1692.00,21919.00,13077.00,15179.00,-2102.00,0.00,0.00,0.00,0.00,150.00,8692.00,-11194.00,0.00,19886.00
2014:Q4,-17817.00,57600.00,0.00,-55313.00,-53840.00,-1473.00,1780.00,0.00,-21884.00,-24633.00,2749.00,-17817.00,-14330.00,-22771.00,8441.00,0.00,0.00,0.00,0.00,150.00,-3637.00,-14730.00,0.00,11093.00
2015:Q1,62085.00,36906.00,0.00,7355.00,3878.00,3477.00,-467.00,0.00,18291.00,-6975.00,25266.00,62085.00,26411.00,1526.00,24885.00,0.00,0.00,0.00,0.00,150.00,35524.00,34767.00,0.00,757.00
2015:Q2,25826.00,-16661.00,0.00,43298.00,48529.00,-5231.00,521.00,0.00,-1332.00,12889.00,-14221.00,25826.00,3003.00,22966.00,-19963.00,0.00,0.00,0.00,0.00,150.00,22673.00,-52313.00,0.00,74986.00
2015:Q3,61690.00,13043.00,0.00,34161.00,29719.00,4442.00,994.00,0.00,13492.00,-769.00,14261.00,61690.00,30566.00,21740.00,8826.00,0.00,0.00,0.00,0.00,150.00,30974.00,44422.00,0.00,-13448.00
2015:Q4,-1495.00,1789.00,0.00,-11018.00,-6952.00,-4066.00,-215.00,0.00,7949.00,-2975.00,10924.00,-1495.00,6171.00,-6338.00,12509.00,0.00,0.00,0.00,0.00,150.00,-7816.00,-40662.00,0.00,32846.00
2016:Q1,142212.00,35582.00,0.00,52383.00,44500.00,7883.00,4346.00,0.00,49901.00,21723.00,28178.00,142212.00,51953.00,31700.00,20253.00,0.00,0.00,0.00,0.00,150.00,90109.00,78822.00,0.00,11287.00
2016:Q2,28254.00,-17268.00,0.00,40564.00,47226.00,-6662.00,2207.00,0.00,2751.00,-12207.00,14958.00,28254.00,9213.00,-7660.00,16873.00,0.00,0.00,0.00,0.00,150.00,18891.00,-66614.00,0.00,85505.00
2016:Q3,-3792.00,-6368.00,0.00,25327.00,27993.00,-2666.00,-2904.00,0.00,-19847.00,-9125.00,-10722.00,-3792.00,-24254.00,-18043.00,-6211.00,0.00,0.00,0.00,0.00,150.00,20312.00,-26660.00,0.00,46972.00
2016:Q4,-48561.00,-12445.00,0.00,-32269.00,-29660.00,-2609.00,-608.00,0.00,-3239.00,-6332.00,3093.00,-48561.00,-2382.00,-7299.00,4917.00,0.00,0.00,0.00,0.00,150.00,-46329.00,-26088.00,0.00,-20241.00
