1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7091.00,509.00,409.00,101.00,2115.00,3957.00,7091.00,5743.00,0.00,3356.00,272.00,2115.00,1071.00,78.00,19.00,227.00,11.00,0.00,736.00,0.00,0.00,0.00,0.00,277.00,7091.00,1072.00,-564.00,922.00,0.00,5.00,709.00,5944.00,2879.00,-336.00,131.00,-44.00,10.00,572.00,257.00,755.00,710.00,699.00,0.00,64.00,40.00,0.00,55.00,0.00,0.00,0.00,-219.00,0.00,371.00,75.00
1952:Q1,2121.00,281.00,-1268.00,-149.00,2246.00,1011.00,2121.00,2081.00,0.00,1140.00,-1305.00,2246.00,1.00,-26.00,-6.00,-114.00,2.00,0.00,145.00,0.00,0.00,0.00,0.00,39.00,2121.00,2016.00,2469.00,-762.00,0.00,9.00,300.00,202.00,-1376.00,79.00,55.00,1.00,2.00,242.00,545.00,243.00,99.00,241.00,0.00,39.00,13.00,0.00,137.00,0.00,0.00,0.00,-310.00,0.00,192.00,-97.00
1952:Q2,4113.00,118.00,-14.00,-56.00,2464.00,1601.00,4113.00,3741.00,0.00,1446.00,-169.00,2464.00,323.00,-34.00,-9.00,97.00,2.00,0.00,267.00,0.00,0.00,0.00,0.00,49.00,4113.00,1490.00,2093.00,-1270.00,0.00,-10.00,677.00,2513.00,278.00,253.00,61.00,7.00,1.00,134.00,288.00,243.00,386.00,177.00,0.00,9.00,16.00,0.00,-69.00,0.00,0.00,0.00,825.00,0.00,-96.00,110.00
1952:Q3,6154.00,209.00,3273.00,441.00,1215.00,1016.00,6154.00,6005.00,0.00,1169.00,3621.00,1215.00,232.00,31.00,8.00,90.00,3.00,0.00,100.00,0.00,0.00,0.00,0.00,-83.00,6154.00,2288.00,1687.00,452.00,0.00,-2.00,151.00,3468.00,709.00,1365.00,-82.00,8.00,1.00,295.00,837.00,277.00,425.00,340.00,0.00,6.00,16.00,0.00,-13.00,0.00,0.00,0.00,-865.00,0.00,149.00,398.00
1952:Q4,6044.00,-190.00,3951.00,202.00,962.00,1119.00,6044.00,6150.00,0.00,1012.00,4176.00,962.00,-128.00,31.00,7.00,-26.00,3.00,0.00,-143.00,0.00,0.00,0.00,0.00,22.00,6044.00,1504.00,562.00,648.00,0.00,0.00,294.00,4709.00,819.00,1641.00,50.00,5.00,2.00,252.00,657.00,336.00,48.00,198.00,0.00,23.00,15.00,0.00,12.00,0.00,0.00,0.00,652.00,0.00,-1.00,-169.00
1953:Q1,-60.00,194.00,-3020.00,-2.00,1564.00,1204.00,-60.00,-555.00,0.00,799.00,-2918.00,1564.00,444.00,-30.00,-7.00,-106.00,2.00,0.00,585.00,0.00,0.00,0.00,0.00,51.00,-60.00,1254.00,387.00,586.00,0.00,52.00,229.00,-1435.00,-765.00,-2208.00,-40.00,2.00,1.00,296.00,717.00,348.00,60.00,274.00,0.00,3.00,15.00,0.00,200.00,0.00,0.00,0.00,-572.00,0.00,234.00,121.00
1953:Q2,2433.00,-192.00,460.00,-430.00,1158.00,1437.00,2433.00,2113.00,0.00,940.00,15.00,1158.00,445.00,-22.00,-6.00,14.00,1.00,0.00,458.00,0.00,0.00,0.00,0.00,-125.00,2433.00,2029.00,3574.00,-1660.00,0.00,-34.00,149.00,173.00,877.00,-2275.00,27.00,0.00,1.00,221.00,564.00,342.00,333.00,371.00,0.00,-22.00,15.00,0.00,-121.00,0.00,0.00,0.00,-93.00,0.00,-67.00,231.00
1953:Q3,9317.00,328.00,6540.00,261.00,1416.00,772.00,9317.00,8678.00,0.00,580.00,6682.00,1416.00,684.00,70.00,18.00,117.00,2.00,0.00,477.00,0.00,0.00,0.00,0.00,-45.00,9317.00,2374.00,324.00,1886.00,0.00,-19.00,183.00,6644.00,489.00,4072.00,-9.00,-1.00,1.00,302.00,491.00,312.00,98.00,359.00,0.00,4.00,15.00,0.00,18.00,0.00,0.00,0.00,319.00,0.00,174.00,299.00
1953:Q4,6375.00,48.00,1943.00,1802.00,1217.00,1365.00,6375.00,6255.00,0.00,1267.00,3771.00,1217.00,113.00,47.00,12.00,-28.00,2.00,0.00,80.00,0.00,0.00,0.00,0.00,7.00,6375.00,747.00,-575.00,982.00,0.00,-1.00,341.00,5605.00,682.00,2938.00,58.00,-1.00,3.00,305.00,656.00,272.00,39.00,223.00,0.00,23.00,15.00,0.00,-3.00,0.00,0.00,0.00,468.00,0.00,-73.00,23.00
1954:Q1,-1271.00,355.00,-4544.00,431.00,1504.00,983.00,-1271.00,-1482.00,0.00,900.00,-3886.00,1504.00,40.00,6.00,1.00,-228.00,1.00,0.00,260.00,0.00,0.00,0.00,0.00,171.00,-1271.00,-698.00,389.00,-1287.00,0.00,18.00,182.00,-818.00,-1085.00,-1386.00,-29.00,3.00,2.00,191.00,695.00,277.00,20.00,384.00,0.00,48.00,15.00,0.00,312.00,0.00,0.00,0.00,-389.00,0.00,124.00,245.00
1954:Q2,1453.00,-140.00,151.00,-812.00,1350.00,904.00,1453.00,1486.00,0.00,894.00,-758.00,1350.00,30.00,7.00,2.00,96.00,1.00,0.00,-76.00,0.00,0.00,0.00,0.00,-63.00,1453.00,-3342.00,-446.00,-3028.00,0.00,-10.00,142.00,4930.00,505.00,2379.00,-1.00,7.00,2.00,224.00,416.00,292.00,312.00,407.00,0.00,13.00,14.00,0.00,-29.00,0.00,0.00,0.00,519.00,0.00,-130.00,-135.00
1954:Q3,4533.00,76.00,3296.00,-1332.00,1510.00,983.00,4533.00,4716.00,0.00,1375.00,1831.00,1510.00,-85.00,16.00,4.00,125.00,8.00,0.00,-238.00,0.00,0.00,0.00,0.00,-98.00,4533.00,835.00,-923.00,1529.00,0.00,-2.00,231.00,3350.00,-791.00,2880.00,-12.00,7.00,2.00,266.00,386.00,333.00,8.00,301.00,0.00,40.00,14.00,0.00,24.00,0.00,0.00,0.00,-112.00,0.00,4.00,348.00
1954:Q4,7202.00,-11.00,3828.00,1781.00,1287.00,317.00,7202.00,7411.00,0.00,495.00,5629.00,1287.00,-149.00,214.00,53.00,-28.00,8.00,0.00,-396.00,0.00,0.00,0.00,0.00,-60.00,7202.00,1305.00,-22.00,1123.00,0.00,-5.00,209.00,5735.00,942.00,3495.00,82.00,0.00,2.00,270.00,395.00,386.00,78.00,306.00,0.00,23.00,17.00,0.00,-47.00,0.00,0.00,0.00,9.00,0.00,-223.00,162.00
1955:Q1,-1919.00,208.00,-4372.00,246.00,1492.00,507.00,-1919.00,-2146.00,0.00,477.00,-4115.00,1492.00,321.00,-54.00,-13.00,-19.00,8.00,0.00,399.00,0.00,0.00,0.00,0.00,-94.00,-1919.00,2373.00,1863.00,253.00,0.00,6.00,251.00,-4291.00,-1383.00,-4157.00,-17.00,-1.00,3.00,79.00,567.00,375.00,-12.00,276.00,0.00,6.00,18.00,0.00,133.00,0.00,0.00,0.00,-485.00,0.00,307.00,-1.00
1955:Q2,314.00,-65.00,-602.00,-720.00,1112.00,589.00,314.00,69.00,0.00,604.00,-1647.00,1112.00,303.00,-122.00,-31.00,316.00,9.00,0.00,131.00,0.00,0.00,0.00,0.00,-58.00,314.00,1167.00,1505.00,-640.00,0.00,1.00,301.00,-835.00,-82.00,-2369.00,95.00,-5.00,4.00,145.00,306.00,362.00,355.00,271.00,0.00,51.00,21.00,0.00,-113.00,0.00,0.00,0.00,32.00,0.00,92.00,-18.00
1955:Q3,4047.00,-27.00,2461.00,-391.00,1401.00,603.00,4047.00,3685.00,0.00,465.00,1819.00,1401.00,402.00,12.00,4.00,241.00,10.00,0.00,135.00,0.00,0.00,0.00,0.00,-40.00,4047.00,4249.00,2036.00,1924.00,0.00,-4.00,293.00,-402.00,-2.00,-1912.00,27.00,-5.00,4.00,293.00,489.00,302.00,273.00,329.00,0.00,67.00,21.00,0.00,-232.00,0.00,0.00,0.00,-115.00,0.00,59.00,200.00
1955:Q4,6519.00,-271.00,3122.00,1117.00,1029.00,1522.00,6519.00,6156.00,0.00,1302.00,3825.00,1029.00,364.00,-24.00,-6.00,403.00,11.00,0.00,-20.00,0.00,0.00,0.00,0.00,-1.00,6519.00,4184.00,1143.00,2694.00,0.00,16.00,331.00,2270.00,994.00,-187.00,60.00,-3.00,4.00,175.00,85.00,216.00,73.00,351.00,0.00,25.00,20.00,0.00,299.00,0.00,0.00,0.00,320.00,0.00,-162.00,65.00
1956:Q1,-1269.00,577.00,-4284.00,123.00,1235.00,1080.00,-1269.00,-2621.00,0.00,422.00,-4278.00,1235.00,1262.00,16.00,3.00,106.00,11.00,0.00,1126.00,0.00,0.00,0.00,0.00,90.00,-1269.00,397.00,2334.00,-2149.00,0.00,-5.00,217.00,-2105.00,-1097.00,-2679.00,-69.00,3.00,4.00,42.00,317.00,244.00,13.00,455.00,0.00,96.00,20.00,0.00,320.00,0.00,0.00,0.00,-296.00,0.00,522.00,439.00
1956:Q2,-3146.00,-105.00,-4983.00,-250.00,921.00,1271.00,-3146.00,-3641.00,0.00,887.00,-5449.00,921.00,414.00,19.00,5.00,205.00,11.00,0.00,174.00,0.00,0.00,0.00,0.00,81.00,-3146.00,-1579.00,1261.00,-3193.00,0.00,-1.00,354.00,-1652.00,157.00,-2667.00,-6.00,7.00,4.00,42.00,272.00,300.00,316.00,246.00,0.00,-90.00,19.00,0.00,11.00,0.00,0.00,0.00,-76.00,0.00,-187.00,85.00
1956:Q3,4191.00,180.00,1433.00,14.00,1185.00,1379.00,4191.00,3563.00,0.00,1179.00,1199.00,1185.00,554.00,97.00,25.00,243.00,5.00,0.00,184.00,0.00,0.00,0.00,0.00,74.00,4191.00,1882.00,1648.00,-59.00,0.00,-8.00,301.00,1943.00,-165.00,327.00,-22.00,8.00,4.00,151.00,522.00,393.00,541.00,233.00,0.00,199.00,19.00,0.00,-10.00,0.00,0.00,0.00,-198.00,0.00,-59.00,366.00
1956:Q4,5394.00,-174.00,3051.00,334.00,824.00,1359.00,5394.00,5318.00,0.00,1004.00,3490.00,824.00,11.00,132.00,32.00,-111.00,6.00,0.00,-48.00,0.00,0.00,0.00,0.00,65.00,5394.00,1770.00,355.00,1149.00,0.00,3.00,263.00,3929.00,1334.00,1501.00,-11.00,7.00,3.00,170.00,255.00,492.00,-7.00,213.00,0.00,26.00,22.00,0.00,-31.00,0.00,0.00,0.00,148.00,0.00,-193.00,-305.00
1957:Q1,2507.00,566.00,-1670.00,427.00,1063.00,2121.00,2507.00,860.00,0.00,1445.00,-1648.00,1063.00,1430.00,41.00,11.00,397.00,8.00,0.00,973.00,0.00,0.00,0.00,0.00,217.00,2507.00,1764.00,2007.00,-325.00,0.00,11.00,71.00,656.00,-1955.00,941.00,-24.00,5.00,4.00,53.00,568.00,491.00,13.00,345.00,0.00,43.00,23.00,0.00,116.00,0.00,0.00,0.00,-395.00,0.00,428.00,87.00
1957:Q2,-2996.00,-278.00,-5592.00,158.00,911.00,1805.00,-2996.00,-3701.00,0.00,1432.00,-6044.00,911.00,579.00,-32.00,-8.00,601.00,9.00,0.00,9.00,0.00,0.00,0.00,0.00,126.00,-2996.00,-1303.00,548.00,-1861.00,0.00,-2.00,12.00,-1607.00,-31.00,-3193.00,16.00,3.00,4.00,92.00,498.00,436.00,300.00,343.00,0.00,97.00,25.00,0.00,-73.00,0.00,0.00,0.00,89.00,0.00,-213.00,-86.00
