date,FL384090005.Q,FL313011005.Q,FL383091005.Q,FL383020005.Q,FL383030005.Q,FL383034005.Q,FL382051005.Q,FL384022005.Q,FL383069105.Q,FL383061105.Q,FL383061705.Q,FL383062005.Q,FL383063005.Q,FL384023005.Q,FL383069005.Q,FL383065005.Q,FL383066005.Q,LM383064105.Q,LM383064205.Q,FL383070005.Q,FL153040005.Q,FL153050005.Q,FL383078005.Q,FL152090205.Q,FL103092005.Q,FL383090005.Q,FL384190005.Q,FL313111303.Q,FL713014003.Q,FL313112003.Q,FL384122005.Q,FL103169100.Q,FL313161105.Q,FL313161705.Q,FL383162005.Q,FL103163003.Q,FL384123005.Q,FL383168005.Q,FL383169005.Q,FL383165005.Q,FL153166000.Q,FL383170005.Q,FL313140003.Q,FL143178005.Q,FL143192005.Q,FL383190005.Q
1961:Q3,1965727.00,2214.00,238.00,139747.00,187881.00,0.00,556.00,150830.00,245.00,99378.00,3003.00,37178.00,11026.00,76492.00,21174.00,43931.00,11387.00,412628.00,21007.00,105238.00,87588.00,301097.00,5601.00,410146.00,32846.00,31618.00,1058996.00,0.00,0.00,2723.00,408124.00,1017.00,252416.00,436.00,75018.00,79237.00,362451.00,49254.00,29324.00,222791.00,61082.00,93793.00,6493.00,11557.00,5557.00,168298.00
1961:Q4,2021053.00,1911.00,236.00,142254.00,192694.00,0.00,-55.00,153030.00,1089.00,100042.00,3395.00,37664.00,10840.00,79063.00,21351.00,44965.00,12747.00,443217.00,22875.00,103454.00,88631.00,306733.00,5680.00,415782.00,33387.00,32161.00,1084380.00,0.00,0.00,2740.00,414756.00,1094.00,255707.00,995.00,76349.00,80611.00,373840.00,51036.00,30400.00,228969.00,63435.00,95595.00,6519.00,13274.00,5446.00,172210.00
1962:Q1,2027134.00,1686.00,234.00,137260.00,200976.00,0.00,41.00,153743.00,562.00,101274.00,3377.00,37557.00,10973.00,78574.00,21637.00,45629.00,11308.00,433050.00,23012.00,105359.00,89663.00,309318.00,6277.00,420786.00,33854.00,33301.00,1090883.00,0.00,0.00,2748.00,417983.00,1131.00,256084.00,1294.00,78037.00,81437.00,376958.00,50908.00,30710.00,233302.00,62038.00,95032.00,6548.00,12916.00,5491.00,173207.00
1962:Q2,1938745.00,1665.00,296.00,140088.00,208275.00,0.00,0.00,152601.00,907.00,100389.00,3219.00,37132.00,10954.00,81594.00,22875.00,46293.00,12426.00,329789.00,18339.00,106029.00,90651.00,310998.00,6300.00,423966.00,34525.00,33629.00,1107688.00,0.00,0.00,2757.00,421278.00,1092.00,256655.00,1347.00,79203.00,82981.00,388620.00,52705.00,31048.00,239432.00,65435.00,95842.00,6579.00,13001.00,5579.00,174032.00
1962:Q3,1980597.00,1238.00,788.00,141836.00,212711.00,0.00,912.00,153191.00,1079.00,101062.00,3307.00,37550.00,10193.00,82375.00,23130.00,46792.00,12453.00,348408.00,18930.00,110294.00,91563.00,313957.00,6312.00,428807.00,35133.00,34142.00,1124666.00,0.00,0.00,2749.00,423933.00,1363.00,257712.00,748.00,80552.00,83558.00,397276.00,53636.00,31223.00,245791.00,66626.00,98974.00,6612.00,13996.00,5636.00,175490.00
1962:Q4,2086490.00,1209.00,790.00,146503.00,220547.00,0.00,466.00,153431.00,1304.00,101182.00,3377.00,37357.00,10211.00,84324.00,23138.00,47481.00,13705.00,431230.00,21077.00,108083.00,92398.00,317344.00,6331.00,432851.00,35793.00,34113.00,1148987.00,0.00,0.00,2760.00,431951.00,1198.00,262772.00,1538.00,81800.00,84643.00,410383.00,56249.00,32352.00,252438.00,69344.00,100053.00,6644.00,14355.00,5837.00,177004.00
1963:Q1,2129942.00,1265.00,828.00,141311.00,228678.00,0.00,-1.00,154832.00,1092.00,103041.00,2519.00,37524.00,10656.00,83392.00,23270.00,47806.00,12316.00,455641.00,22343.00,110935.00,93355.00,322748.00,7495.00,435115.00,36685.00,35320.00,1160163.00,0.00,0.00,2769.00,434780.00,1214.00,263272.00,1739.00,82976.00,85579.00,415499.00,55534.00,33587.00,257443.00,68935.00,100203.00,6677.00,13596.00,5899.00,180740.00
1963:Q2,2177195.00,1312.00,1065.00,145655.00,235910.00,0.00,0.00,154451.00,1008.00,102214.00,2998.00,37842.00,10389.00,85816.00,24279.00,48280.00,13257.00,477302.00,23499.00,112492.00,94378.00,328362.00,7533.00,435407.00,37577.00,36436.00,1181808.00,0.00,0.00,2779.00,437943.00,987.00,264048.00,1489.00,84724.00,86695.00,429677.00,57746.00,35068.00,264646.00,72217.00,101510.00,6711.00,13743.00,6035.00,183410.00
1963:Q3,2216192.00,1237.00,1000.00,145840.00,240571.00,0.00,1004.00,154841.00,445.00,103544.00,2890.00,38085.00,9877.00,86398.00,24427.00,48491.00,13480.00,497411.00,24313.00,115717.00,95473.00,334218.00,7550.00,435270.00,38183.00,37166.00,1200842.00,0.00,0.00,2788.00,439556.00,1111.00,264385.00,936.00,85899.00,87225.00,439619.00,57723.00,35470.00,272064.00,74362.00,104014.00,6744.00,14713.00,6159.00,187249.00
1963:Q4,2215633.00,1229.00,731.00,150559.00,248976.00,0.00,-745.00,157700.00,969.00,104334.00,4039.00,38215.00,10143.00,88485.00,24780.00,48807.00,14898.00,469895.00,25022.00,114839.00,96635.00,340285.00,7598.00,438467.00,39081.00,36876.00,1231140.00,0.00,0.00,2806.00,445634.00,968.00,267845.00,1367.00,87040.00,88414.00,454984.00,61148.00,36710.00,279256.00,77870.00,107838.00,6775.00,15744.00,6024.00,191335.00
1964:Q1,2264162.00,1173.00,867.00,145011.00,256090.00,0.00,-875.00,160401.00,1341.00,106891.00,3628.00,38580.00,9961.00,89464.00,26467.00,49232.00,13765.00,499442.00,26647.00,116535.00,97719.00,346742.00,7701.00,439582.00,39821.00,37842.00,1240597.00,0.00,0.00,2825.00,447681.00,948.00,268229.00,1236.00,88177.00,89091.00,461463.00,60508.00,38037.00,284877.00,78041.00,105521.00,6803.00,15109.00,6112.00,195083.00
1964:Q2,2310155.00,1053.00,978.00,149349.00,263377.00,0.00,169.00,160397.00,1058.00,106183.00,3954.00,39693.00,9509.00,89899.00,25942.00,49520.00,14437.00,515081.00,27381.00,118230.00,98806.00,353281.00,7782.00,445036.00,40774.00,38562.00,1262672.00,0.00,0.00,2841.00,450219.00,889.00,267656.00,1364.00,89948.00,90362.00,476692.00,63447.00,39230.00,292203.00,81812.00,107099.00,6827.00,14675.00,6221.00,198098.00
1964:Q3,2361731.00,940.00,1243.00,153680.00,269003.00,0.00,479.00,161110.00,1729.00,105679.00,3920.00,40154.00,9628.00,92195.00,27540.00,50037.00,14618.00,532323.00,28761.00,124154.00,99913.00,360086.00,7743.00,449319.00,41684.00,39098.00,1286870.00,0.00,0.00,2855.00,455790.00,1081.00,270714.00,1177.00,91760.00,91058.00,486909.00,63687.00,39307.00,299773.00,84142.00,110613.00,6851.00,15338.00,6276.00,202238.00
1964:Q4,2403085.00,1034.00,1097.00,154535.00,277796.00,0.00,-1449.00,162315.00,1694.00,105385.00,4189.00,40757.00,10290.00,94576.00,27937.00,50579.00,16060.00,544127.00,28700.00,124302.00,101051.00,367066.00,7715.00,458152.00,42632.00,39436.00,1319967.00,0.00,0.00,2830.00,463176.00,1125.00,274261.00,2222.00,93160.00,92408.00,502079.00,67875.00,39818.00,307034.00,87352.00,115852.00,6879.00,16211.00,6213.00,206727.00
1965:Q1,2445203.00,939.00,1033.00,150005.00,287205.00,0.00,-568.00,164348.00,995.00,108244.00,4115.00,40881.00,10113.00,94367.00,28791.00,50674.00,14902.00,557830.00,30021.00,127718.00,102149.00,374249.00,7494.00,463552.00,44164.00,40697.00,1336125.00,0.00,0.00,2864.00,465254.00,847.00,274096.00,2308.00,94661.00,93342.00,511329.00,69738.00,41215.00,312731.00,87645.00,116707.00,6910.00,15891.00,6388.00,210782.00
1965:Q2,2453846.00,1677.00,822.00,154025.00,294492.00,0.00,198.00,163032.00,678.00,106451.00,4780.00,41454.00,9669.00,96273.00,29658.00,50914.00,15701.00,534567.00,29580.00,130860.00,103382.00,381287.00,7604.00,468733.00,45578.00,41736.00,1360177.00,0.00,0.00,2901.00,466480.00,727.00,271988.00,1966.00,96858.00,94941.00,528172.00,73358.00,42561.00,320010.00,92243.00,119568.00,6944.00,15316.00,6393.00,214403.00
1965:Q3,2533995.00,1306.00,892.00,154536.00,301133.00,0.00,875.00,164970.00,893.00,106573.00,5249.00,42290.00,9965.00,96857.00,30241.00,50901.00,15715.00,581085.00,32359.00,137067.00,104656.00,389515.00,7593.00,472429.00,46527.00,42195.00,1383564.00,0.00,0.00,2949.00,469617.00,926.00,270884.00,2268.00,98905.00,96634.00,538530.00,74390.00,42354.00,327395.00,94391.00,123672.00,6979.00,16329.00,6558.00,218930.00
1965:Q4,2618927.00,1396.00,781.00,159697.00,309943.00,0.00,-115.00,166018.00,1370.00,106834.00,5515.00,43298.00,9001.00,99908.00,31376.00,51266.00,17266.00,616096.00,34740.00,138547.00,105876.00,397864.00,7625.00,485043.00,53344.00,42164.00,1422481.00,0.00,0.00,3064.00,477861.00,797.00,276737.00,2670.00,100397.00,97260.00,556215.00,79894.00,44322.00,334510.00,97489.00,129598.00,7013.00,18294.00,6624.00,223812.00
1966:Q1,2626256.00,1233.00,884.00,153308.00,316489.00,0.00,247.00,173932.00,2375.00,111737.00,6224.00,43875.00,9721.00,99409.00,32016.00,51520.00,15873.00,596561.00,35677.00,142719.00,107050.00,406395.00,5366.00,487835.00,54309.00,44842.00,1440682.00,0.00,0.00,3242.00,482859.00,820.00,276864.00,3110.00,101842.00,100223.00,565059.00,80333.00,46371.00,341259.00,97096.00,129005.00,7042.00,18132.00,6762.00,228581.00
1966:Q2,2645222.00,1103.00,917.00,159623.00,322143.00,0.00,439.00,174606.00,2473.00,108164.00,9297.00,44957.00,9715.00,102024.00,32790.00,52613.00,16621.00,571128.00,34917.00,146948.00,108192.00,415048.00,5414.00,501666.00,55794.00,45260.00,1465185.00,0.00,0.00,3543.00,484532.00,861.00,272111.00,4629.00,104141.00,102790.00,583942.00,87497.00,47816.00,348424.00,100205.00,131215.00,7070.00,15594.00,6862.00,232427.00
1966:Q3,2614192.00,1070.00,932.00,156003.00,324319.00,0.00,2189.00,179132.00,1952.00,110260.00,9985.00,45676.00,11259.00,103912.00,34215.00,53520.00,16177.00,512747.00,31694.00,153648.00,109349.00,423648.00,5323.00,507680.00,56929.00,45617.00,1488293.00,0.00,0.00,3740.00,490343.00,1466.00,274208.00,3922.00,105524.00,105223.00,590721.00,88116.00,47544.00,354072.00,100989.00,135337.00,7096.00,16562.00,6827.00,237667.00
1966:Q4,2687359.00,905.00,885.00,160998.00,329420.00,0.00,1700.00,181690.00,2852.00,110231.00,10593.00,46915.00,11099.00,106387.00,34492.00,54510.00,17385.00,548264.00,34275.00,153374.00,110570.00,433633.00,5358.00,518538.00,56731.00,44631.00,1521751.00,0.00,0.00,3963.00,500047.00,1622.00,280293.00,4025.00,106633.00,107474.00,602686.00,91389.00,49338.00,358537.00,103422.00,140298.00,7120.00,17414.00,7143.00,243080.00
1967:Q1,2788249.00,620.00,951.00,158320.00,342205.00,0.00,588.00,179573.00,3495.00,108376.00,10473.00,45165.00,12064.00,107823.00,36726.00,55049.00,16048.00,617507.00,38695.00,154890.00,111835.00,443332.00,5704.00,522659.00,58053.00,45494.00,1532898.00,0.00,0.00,4176.00,507972.00,2677.00,281315.00,5489.00,107874.00,110617.00,605660.00,91134.00,51316.00,361862.00,101348.00,136571.00,7144.00,16730.00,7341.00,247304.00
1967:Q2,2823980.00,645.00,843.00,162252.00,352967.00,0.00,667.00,172292.00,3418.00,102673.00,10265.00,43788.00,12148.00,110168.00,37988.00,55557.00,16623.00,622982.00,39807.00,157232.00,113072.00,452431.00,5775.00,528075.00,58881.00,45891.00,1547052.00,0.00,0.00,4394.00,507529.00,3242.00,272756.00,7100.00,110195.00,114236.00,619392.00,95600.00,52214.00,367447.00,104131.00,138816.00,7168.00,11296.00,7560.00,250897.00
1967:Q3,2907427.00,926.00,827.00,167077.00,360677.00,0.00,1564.00,176245.00,3916.00,104610.00,9960.00,44495.00,13264.00,112144.00,39394.00,56428.00,16322.00,659985.00,42587.00,162477.00,114314.00,462338.00,5712.00,533661.00,60053.00,46840.00,1578692.00,0.00,0.00,4560.00,522598.00,3264.00,281351.00,6919.00,112319.00,118745.00,626597.00,93235.00,53053.00,374765.00,105544.00,142498.00,7188.00,11866.00,7702.00,255683.00
1967:Q4,2981281.00,1304.00,1055.00,175844.00,367985.00,0.00,926.00,181396.00,3952.00,107448.00,11288.00,43633.00,15075.00,115450.00,40358.00,57539.00,17553.00,682128.00,43608.00,164281.00,115535.00,471818.00,5824.00,543205.00,63037.00,47885.00,1635980.00,0.00,0.00,4646.00,537601.00,3034.00,290462.00,8180.00,113793.00,122132.00,653311.00,107330.00,55359.00,382055.00,108567.00,149100.00,7200.00,13225.00,7810.00,263087.00
1968:Q1,2970126.00,1959.00,1357.00,168975.00,377005.00,0.00,1972.00,187415.00,3819.00,112891.00,11947.00,43512.00,15246.00,115819.00,40923.00,58680.00,16216.00,632831.00,41215.00,166109.00,116737.00,482156.00,6786.00,556094.00,64147.00,49549.00,1650734.00,0.00,0.00,4870.00,547876.00,3482.00,295845.00,8537.00,115278.00,124734.00,650827.00,98836.00,56738.00,387981.00,107272.00,146193.00,7202.00,17667.00,8165.00,267934.00
1968:Q2,3106429.00,2748.00,1749.00,173046.00,381610.00,0.00,1267.00,189227.00,4603.00,110262.00,13944.00,43951.00,16467.00,119842.00,43605.00,59520.00,16717.00,718675.00,46731.00,171706.00,117921.00,494770.00,6867.00,564614.00,65433.00,50223.00,1680558.00,0.00,0.00,4930.00,550969.00,3400.00,292526.00,9458.00,117323.00,128262.00,671707.00,104742.00,60223.00,395338.00,111404.00,151354.00,7194.00,13031.00,8302.00,273071.00
1968:Q3,3167939.00,3058.00,1832.00,178569.00,390729.00,0.00,2390.00,190264.00,5071.00,111125.00,14383.00,42971.00,16714.00,123084.00,46054.00,60914.00,16116.00,727875.00,49116.00,179454.00,119110.00,506925.00,6801.00,571784.00,67032.00,49916.00,1719461.00,0.00,0.00,4976.00,565546.00,4928.00,299259.00,10477.00,119319.00,131563.00,681976.00,104388.00,60501.00,402927.00,114160.00,158527.00,7186.00,12930.00,8424.00,279896.00
1968:Q4,3313865.00,3340.00,1587.00,184574.00,400846.00,0.00,-152.00,191576.00,5099.00,110920.00,15112.00,42443.00,18002.00,125737.00,46451.00,61638.00,17648.00,815334.00,50374.00,182961.00,120324.00,520069.00,6904.00,588302.00,70780.00,51309.00,1767492.00,0.00,0.00,5062.00,573971.00,4249.00,301225.00,11340.00,122132.00,135025.00,705721.00,112034.00,63182.00,411181.00,119324.00,165847.00,7186.00,14330.00,8484.00,286891.00
1969:Q1,3306365.00,3371.00,1856.00,176901.00,403637.00,0.00,2042.00,205613.00,6207.00,119225.00,16059.00,45830.00,18292.00,120470.00,43944.00,60194.00,16332.00,770526.00,49399.00,189090.00,121561.00,532200.00,4455.00,599620.00,72317.00,53307.00,1789154.00,0.00,0.00,5108.00,581891.00,4880.00,301194.00,11552.00,125803.00,138462.00,710472.00,112133.00,63745.00,415710.00,118884.00,166346.00,7197.00,15517.00,8797.00,293826.00
1969:Q2,3310002.00,3915.00,1809.00,183620.00,403851.00,0.00,3246.00,203051.00,6806.00,111647.00,17664.00,47818.00,19116.00,123604.00,46489.00,60382.00,16733.00,733883.00,47006.00,196129.00,122814.00,545291.00,4547.00,608469.00,74151.00,54616.00,1817293.00,0.00,0.00,5166.00,577369.00,4914.00,290326.00,11043.00,129343.00,141743.00,734067.00,118683.00,67853.00,423856.00,123675.00,172471.00,7217.00,12220.00,9019.00,299764.00
1969:Q3,3329254.00,4076.00,1618.00,183099.00,398147.00,0.00,7726.00,216357.00,7206.00,118859.00,18739.00,50607.00,20946.00,122106.00,44329.00,61242.00,16535.00,713075.00,46781.00,205387.00,124083.00,558892.00,4434.00,612359.00,75781.00,55333.00,1855294.00,0.00,0.00,5198.00,588502.00,5778.00,296824.00,9379.00,132054.00,144467.00,746083.00,117846.00,70755.00,431669.00,125813.00,179717.00,7239.00,12507.00,9267.00,306781.00
1969:Q4,3340761.00,4691.00,1173.00,192185.00,398210.00,0.00,5910.00,224826.00,7628.00,122319.00,20593.00,52280.00,22006.00,129085.00,47690.00,63656.00,17739.00,667356.00,46323.00,208397.00,125362.00,573465.00,4448.00,623262.00,79799.00,56269.00,1903271.00,0.00,0.00,5334.00,596884.00,5356.00,301974.00,9036.00,133518.00,147000.00,768012.00,125086.00,74214.00,439481.00,129231.00,188609.00,7252.00,12628.00,9846.00,314706.00
1970:Q1,3354124.00,4872.00,1172.00,186210.00,401818.00,0.00,5772.00,233423.00,8156.00,128039.00,22846.00,52962.00,21420.00,125847.00,47329.00,62099.00,16419.00,643541.00,46998.00,212431.00,126703.00,591398.00,2134.00,632072.00,81920.00,57813.00,1915804.00,867.00,400.00,5397.00,605753.00,7044.00,304398.00,8584.00,135658.00,150069.00,767905.00,120558.00,78137.00,442547.00,126663.00,186889.00,7321.00,12846.00,10443.00,317983.00
1970:Q2,3259178.00,4340.00,1220.00,193513.00,413538.00,0.00,1259.00,227652.00,8432.00,119767.00,23218.00,53571.00,22664.00,127853.00,47774.00,63306.00,16773.00,509525.00,37715.00,214690.00,127979.00,603849.00,2237.00,649554.00,84423.00,59831.00,1947176.00,867.00,400.00,5421.00,610266.00,6895.00,300478.00,8098.00,138998.00,155797.00,785781.00,125039.00,81174.00,450147.00,129421.00,190083.00,7333.00,10054.00,10672.00,326299.00
1970:Q3,3395508.00,3785.00,1141.00,196866.00,434731.00,0.00,1136.00,228160.00,8433.00,117395.00,23170.00,52763.00,26399.00,131666.00,48920.00,65487.00,17259.00,593764.00,42581.00,217146.00,129295.00,621870.00,2177.00,644886.00,86057.00,60247.00,1985245.00,867.00,400.00,5492.00,626186.00,7361.00,308087.00,7999.00,141582.00,161157.00,796992.00,126791.00,78982.00,459795.00,131424.00,192607.00,7344.00,10159.00,11043.00,334155.00
1970:Q4,3511224.00,3573.00,798.00,202733.00,453747.00,0.00,-1182.00,226129.00,9389.00,112964.00,22335.00,51703.00,29738.00,135800.00,51185.00,66124.00,18491.00,650213.00,45146.00,215198.00,130703.00,639470.00,2202.00,654582.00,90606.00,61506.00,2032348.00,867.00,400.00,5556.00,644919.00,7133.00,317451.00,8078.00,145501.00,166756.00,811529.00,131477.00,77574.00,468818.00,133660.00,197586.00,7358.00,9996.00,11362.00,342775.00
1971:Q1,3650822.00,3672.00,1082.00,195967.00,482977.00,0.00,-501.00,221289.00,9954.00,108433.00,20040.00,50885.00,31977.00,135633.00,50636.00,65873.00,19124.00,712824.00,50974.00,218401.00,132202.00,658349.00,5412.00,674989.00,89150.00,68402.00,2064794.00,1584.00,400.00,5654.00,657909.00,8333.00,320237.00,7371.00,149746.00,172222.00,817978.00,127676.00,79628.00,476602.00,134072.00,198091.00,7375.00,11698.00,11571.00,352534.00
1971:Q2,3716392.00,3149.00,1102.00,206918.00,500315.00,0.00,6.00,219233.00,9791.00,105975.00,17342.00,51381.00,34744.00,137772.00,51351.00,66700.00,19721.00,708482.00,51230.00,220843.00,133786.00,675866.00,5908.00,690100.00,91419.00,70263.00,2113648.00,1584.00,400.00,5797.00,669620.00,6856.00,324021.00,7136.00,153986.00,177621.00,844447.00,133266.00,82751.00,489518.00,138912.00,199999.00,7393.00,11110.00,11726.00,361572.00
1971:Q3,3772974.00,2053.00,1239.00,209348.00,515034.00,0.00,2964.00,224755.00,10510.00,107276.00,17989.00,51774.00,37206.00,137205.00,51163.00,66122.00,19920.00,693654.00,50475.00,226587.00,135417.00,694721.00,6232.00,705591.00,93658.00,74041.00,2168370.00,1584.00,400.00,5911.00,686861.00,7434.00,333600.00,6695.00,157928.00,181204.00,864771.00,134289.00,83430.00,503587.00,143465.00,203960.00,7412.00,12805.00,11414.00,373252.00
1971:Q4,3904519.00,2192.00,1234.00,219139.00,534300.00,0.00,214.00,225208.00,11275.00,106744.00,18555.00,51277.00,37357.00,140005.00,53723.00,65256.00,21026.00,743724.00,53696.00,228335.00,137055.00,714615.00,6625.00,720893.00,99578.00,77706.00,2235722.00,1720.00,400.00,6046.00,706781.00,6247.00,346291.00,7028.00,161652.00,185563.00,889419.00,138712.00,84275.00,517189.00,149243.00,213604.00,7429.00,14123.00,11483.00,384717.00
1972:Q1,4030686.00,2897.00,1421.00,211696.00,558615.00,0.00,2502.00,227297.00,12388.00,108309.00,16893.00,51988.00,37719.00,138671.00,52959.00,66294.00,19418.00,785993.00,55785.00,235292.00,138724.00,736650.00,7649.00,743209.00,96557.00,87728.00,2278432.00,2491.00,400.00,6219.00,718988.00,7538.00,350191.00,7114.00,165807.00,188338.00,906372.00,138032.00,88659.00,530834.00,148847.00,213165.00,7459.00,15798.00,11256.00,396284.00
1972:Q2,4099182.00,2989.00,1626.00,214746.00,578903.00,0.00,3111.00,225445.00,13219.00,105073.00,16676.00,52308.00,38169.00,140774.00,53357.00,67405.00,20012.00,781697.00,54891.00,241024.00,140430.00,758252.00,8186.00,757526.00,98126.00,91456.00,2329859.00,2491.00,400.00,6372.00,723051.00,8126.00,346318.00,7099.00,169358.00,192150.00,941609.00,145396.00,90735.00,549256.00,156222.00,216845.00,7498.00,14020.00,11499.00,406074.00
1972:Q3,4207010.00,2785.00,1820.00,220819.00,598045.00,0.00,4417.00,228673.00,13513.00,106528.00,16806.00,53043.00,38783.00,141086.00,52622.00,68136.00,20328.00,801771.00,54433.00,249363.00,142166.00,780812.00,8467.00,777909.00,100132.00,94312.00,2390838.00,2491.00,400.00,6483.00,734517.00,7761.00,351066.00,7561.00,172942.00,195187.00,967170.00,145925.00,91393.00,568323.00,161529.00,227084.00,7540.00,15950.00,11876.00,417327.00
1972:Q4,4449750.00,2627.00,2172.00,234745.00,618293.00,0.00,1736.00,232934.00,14235.00,110234.00,16267.00,53692.00,38506.00,144986.00,55377.00,67981.00,21628.00,921384.00,57115.00,256023.00,143930.00,804205.00,8995.00,802068.00,120465.00,98072.00,2475659.00,2491.00,400.00,6579.00,751946.00,6968.00,363483.00,7927.00,175818.00,197750.00,1007146.00,155012.00,94742.00,588635.00,168757.00,241500.00,7581.00,18010.00,12269.00,427737.00
1973:Q1,4471860.00,2814.00,2722.00,228835.00,648730.00,0.00,6168.00,239845.00,13258.00,113402.00,17338.00,57090.00,38757.00,142318.00,54124.00,67877.00,20317.00,853489.00,50967.00,267050.00,145734.00,815640.00,10466.00,830403.00,104576.00,122103.00,2538182.00,2767.00,400.00,6667.00,764767.00,5871.00,371244.00,8188.00,180262.00,199202.00,1040639.00,167432.00,97662.00,604017.00,171528.00,246411.00,7624.00,20487.00,13240.00,435180.00
1973:Q2,4494106.00,2810.00,3005.00,233867.00,666923.00,0.00,6345.00,243432.00,13437.00,113661.00,19143.00,58624.00,38567.00,144658.00,55666.00,67639.00,21353.00,786769.00,46044.00,279660.00,147589.00,826434.00,11032.00,863698.00,107275.00,124565.00,2603424.00,2767.00,400.00,6860.00,767317.00,6032.00,367336.00,7771.00,183929.00,202249.00,1084068.00,178213.00,98919.00,626538.00,180398.00,262031.00,7671.00,18982.00,14419.00,438909.00
1973:Q3,4647152.00,2810.00,2729.00,229436.00,680947.00,0.00,11207.00,253624.00,13633.00,116315.00,22339.00,60811.00,40526.00,145755.00,55925.00,68480.00,21350.00,833421.00,49855.00,293551.00,149452.00,841684.00,11293.00,905171.00,109121.00,127096.00,2666374.00,2767.00,400.00,6924.00,772921.00,6335.00,365479.00,8213.00,187988.00,204906.00,1121288.00,185187.00,101815.00,647591.00,186695.00,275072.00,7717.00,21164.00,14920.00,443201.00
1973:Q4,4611734.00,2887.00,3329.00,248176.00,691710.00,0.00,11759.00,259122.00,14876.00,118210.00,23331.00,61236.00,41469.00,150545.00,59506.00,68446.00,22593.00,693870.00,44470.00,300550.00,151278.00,852551.00,11732.00,938109.00,120302.00,131344.00,2747428.00,2767.00,400.00,7001.00,788544.00,8382.00,372203.00,8357.00,192693.00,206909.00,1152319.00,190907.00,103340.00,665092.00,192980.00,297256.00,7756.00,23290.00,15025.00,453070.00
1974:Q1,4664498.00,3101.00,3729.00,236749.00,717500.00,263.00,15220.00,269497.00,16212.00,124247.00,22669.00,63242.00,43127.00,146686.00,55523.00,69907.00,21256.00,664408.00,42275.00,315101.00,153061.00,872832.00,13062.00,957070.00,119192.00,134752.00,2799424.00,2767.00,400.00,6988.00,800581.00,9235.00,374816.00,8714.00,197202.00,210614.00,1172432.00,195505.00,106572.00,679895.00,190460.00,300134.00,7789.00,26744.00,16870.00,464719.00
1974:Q2,4671761.00,3371.00,3529.00,239822.00,737230.00,570.00,10046.00,270561.00,15131.00,119348.00,25411.00,64905.00,45766.00,152883.00,58234.00,72151.00,22498.00,591895.00,38351.00,332592.00,154793.00,890827.00,13841.00,977047.00,121047.00,133356.00,2875774.00,2767.00,400.00,7085.00,809186.00,9967.00,372699.00,8685.00,201835.00,216000.00,1216675.00,211067.00,109604.00,699227.00,196777.00,313871.00,7816.00,26144.00,17418.00,474412.00
1974:Q3,4622567.00,4159.00,3129.00,241164.00,743335.00,1386.00,11961.00,290168.00,16933.00,124713.00,31002.00,69522.00,47998.00,157455.00,59540.00,75157.00,22758.00,440798.00,29927.00,341660.00,156548.00,906445.00,14267.00,1018869.00,125217.00,136079.00,2957971.00,2723.00,400.00,7188.00,823633.00,12569.00,376391.00,8477.00,206004.00,220192.00,1246902.00,217336.00,113306.00,715019.00,201241.00,325391.00,7842.00,30652.00,19038.00,494202.00
1974:Q4,4716506.00,4312.00,4946.00,250452.00,758308.00,2379.00,4226.00,299627.00,16520.00,126627.00,32666.00,69404.00,54410.00,164950.00,63019.00,78572.00,23359.00,445034.00,32629.00,277914.00,158399.00,930197.00,14340.00,1051048.00,128224.00,189521.00,2935071.00,2809.00,400.00,7333.00,842385.00,12513.00,387067.00,8227.00,207999.00,226579.00,1273272.00,225922.00,118578.00,726846.00,201926.00,242613.00,7871.00,30061.00,19883.00,508444.00
1975:Q1,5022909.00,4655.00,2170.00,241715.00,784026.00,3620.00,2406.00,295842.00,6255.00,128579.00,31855.00,71394.00,57759.00,167833.00,64379.00,81883.00,21571.00,547842.00,38268.00,295260.00,161446.00,959276.00,12678.00,1079654.00,132008.00,294210.00,3245139.00,2862.00,400.00,7500.00,874912.00,14009.00,406793.00,7934.00,210167.00,236009.00,1269916.00,217302.00,120547.00,736155.00,195912.00,235801.00,9015.00,28748.00,19992.00,795993.00
1975:Q2,5226295.00,4625.00,1739.00,257130.00,804330.00,3661.00,794.00,298059.00,6685.00,132773.00,29934.00,72823.00,55844.00,176461.00,67174.00,86925.00,22362.00,625664.00,43134.00,302828.00,163796.00,987986.00,13364.00,1109867.00,135936.00,296921.00,3310402.00,2836.00,500.00,7711.00,906813.00,11658.00,428741.00,7885.00,214248.00,244281.00,1289281.00,217984.00,123393.00,751971.00,195933.00,238250.00,9394.00,24716.00,20756.00,810145.00
1975:Q3,5229208.00,4662.00,1760.00,258898.00,821110.00,3708.00,2759.00,314022.00,7267.00,143229.00,29671.00,73795.00,60060.00,181140.00,66782.00,91743.00,22615.00,544752.00,37706.00,320114.00,165855.00,1010295.00,13902.00,1128559.00,137066.00,282900.00,3401916.00,2671.00,500.00,7910.00,935694.00,11780.00,451163.00,7876.00,216917.00,247958.00,1310466.00,215620.00,125433.00,768230.00,201183.00,250879.00,9433.00,27300.00,20736.00,836327.00
