date,FU893193005.Q,FU103193005.Q,FU113193003.Q,FU313193005.Q,FU713193005.Q,FU763193005.Q,FU753193005.Q,FU743193005.Q,FU473193005.Q,FU513193005.Q,FU543193005.Q,FU403193005.Q,FU613193005.Q,FU643193005.Q,FU663193005.Q,FU733193005.Q,FU503193005.Q,FU893093005.Q,FU103093005.Q,FU113093005.Q,FU313093003.Q,FU213093003.Q,FU713093005.Q,FU763093005.Q,FU753093005.Q,FU743093005.Q,FU473093005.Q,FU513093005.Q,FU543093005.Q,FU573093005.Q,FU223093005.Q,FU633093005.Q,FU653093005.Q,FU563093003.Q,FU403093005.Q,FU613093005.Q,FU643093005.Q,FU663093005.Q,FU733093005.Q,FU903090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-737.00,-737.00,0.00,-400.00,-84.00,374.00,0.00,-21.00,8.00,0.00,83.00,-202.00,159.00,0.00,-11.00,0.00,94.00,-2630.00,-306.00,0.00,0.00,0.00,-19.00,-2324.00,0.00,44.00,-1.00,0.00,7.00,-91.00,0.00,0.00,0.00,0.00,-26.00,90.00,0.00,-4.00,0.00,1893.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,34.00,-466.00,0.00,-400.00,240.00,126.00,0.00,-2.00,7.00,0.00,278.00,25.00,225.00,0.00,-18.00,0.00,19.00,261.00,378.00,0.00,0.00,0.00,69.00,-445.00,0.00,53.00,-2.00,0.00,-15.00,200.00,0.00,0.00,0.00,0.00,-25.00,54.00,0.00,-6.00,0.00,-227.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
