1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q4,8998372.00,3408005.00,5590367.00,1257951.00,300369.00,73592.00,721923.00,640129.00,81794.00,11466.00,42086.00,0.00,0.00,28242.00,3236532.00,1146972.00,7851400.00,8.02,12.91
1979:Q1,9335836.00,3561983.00,5773853.00,1280615.00,312416.00,69082.00,768879.00,678821.00,90058.00,12197.00,48762.00,0.00,0.00,29099.00,3342861.00,1173597.00,8162239.00,8.24,13.32
1979:Q2,9651195.00,3717561.00,5933634.00,1310051.00,322334.00,74717.00,783358.00,692151.00,91207.00,12337.00,49791.00,0.00,0.00,29079.00,3443174.00,1220253.00,8430942.00,8.12,13.20
1979:Q3,9984822.00,3845333.00,6139489.00,1351660.00,328668.00,79654.00,833141.00,736043.00,97098.00,13174.00,53555.00,0.00,0.00,30369.00,3546366.00,1269760.00,8715062.00,8.34,13.57
1979:Q4,10306390.00,3962029.00,6344361.00,1375876.00,367277.00,86010.00,864934.00,767889.00,97045.00,12811.00,55139.00,0.00,2828.00,26267.00,3650265.00,1314583.00,8991807.00,8.39,13.63
1980:Q1,10521246.00,4113215.00,6408031.00,1405586.00,373207.00,89737.00,796561.00,705845.00,90716.00,11954.00,48189.00,0.00,2965.00,27608.00,3742940.00,1342943.00,9178303.00,7.57,12.43
1980:Q2,10892696.00,4223790.00,6668906.00,1444047.00,367437.00,95007.00,909566.00,807631.00,101935.00,13310.00,54914.00,0.00,3106.00,30605.00,3852850.00,1362789.00,9529907.00,8.35,13.64
1980:Q3,11333902.00,4369674.00,6964228.00,1493209.00,373807.00,102933.00,1023164.00,909904.00,113260.00,14419.00,60584.00,0.00,3470.00,34787.00,3971115.00,1398505.00,9935397.00,9.03,14.69
1980:Q4,11714847.00,4451151.00,7263696.00,1539778.00,390063.00,109476.00,1133976.00,1010470.00,123506.00,17582.00,64395.00,0.00,3789.00,37740.00,4090402.00,1440572.00,10274275.00,9.68,15.61
1981:Q1,11919753.00,4514660.00,7405093.00,1582576.00,387945.00,104005.00,1139839.00,1014946.00,124893.00,17894.00,65064.00,0.00,3980.00,37955.00,4190728.00,1452620.00,10467133.00,9.56,15.39
1981:Q2,12228503.00,4715711.00,7512792.00,1616936.00,391046.00,108699.00,1115984.00,992933.00,123051.00,17863.00,63568.00,0.00,4011.00,37609.00,4280127.00,1489394.00,10739109.00,9.13,14.85
1981:Q3,12341919.00,4841960.00,7499959.00,1677852.00,408468.00,111927.00,947864.00,836812.00,111052.00,16392.00,58169.00,0.00,3646.00,32845.00,4353849.00,1519857.00,10822062.00,7.68,12.64
1981:Q4,12661733.00,4916756.00,7744977.00,1744317.00,418750.00,119766.00,1024146.00,905145.00,119001.00,16759.00,62777.00,0.00,3968.00,35497.00,4437998.00,1550692.00,11111041.00,8.09,13.22
1982:Q1,12761218.00,5030334.00,7730884.00,1773262.00,434677.00,119980.00,891541.00,775113.00,116428.00,15505.00,64699.00,0.00,3754.00,32470.00,4511424.00,1554941.00,11206277.00,6.99,11.53
1982:Q2,12894113.00,5075104.00,7819009.00,1806790.00,450017.00,125915.00,862036.00,745219.00,116817.00,14966.00,66169.00,0.00,3776.00,31906.00,4574250.00,1579816.00,11314297.00,6.69,11.02
1982:Q3,13124573.00,5096936.00,8027637.00,1864782.00,480668.00,122082.00,930818.00,796027.00,134791.00,16739.00,77133.00,0.00,4237.00,36682.00,4629287.00,1589863.00,11534710.00,7.09,11.60
1982:Q4,13488918.00,5148110.00,8340808.00,1924243.00,468336.00,134201.00,1117889.00,966318.00,151571.00,20262.00,81341.00,0.00,5075.00,44893.00,4696139.00,1624369.00,11864549.00,8.29,13.40
1983:Q1,13822973.00,5214003.00,8608970.00,1978275.00,482527.00,127671.00,1230916.00,1058391.00,172525.00,21955.00,92031.00,0.00,5684.00,52855.00,4789581.00,1616648.00,12206325.00,8.90,14.30
1983:Q2,14166817.00,5274275.00,8892542.00,2005103.00,513015.00,130213.00,1379869.00,1179666.00,200203.00,24360.00,104200.00,0.00,6365.00,65278.00,4864343.00,1666798.00,12500019.00,9.74,15.52
1983:Q3,14367585.00,5340978.00,9026607.00,2055065.00,557040.00,130445.00,1346197.00,1146214.00,199983.00,24327.00,101865.00,0.00,6449.00,67342.00,4937860.00,1725156.00,12642429.00,9.37,14.91
1983:Q4,14518799.00,5410790.00,9108009.00,2104006.00,553406.00,133886.00,1289253.00,1088573.00,200680.00,24771.00,100688.00,0.00,6554.00,68667.00,5027458.00,1788160.00,12730639.00,8.88,14.16
1984:Q1,14775881.00,5608263.00,9167618.00,2160739.00,556197.00,129801.00,1226688.00,1023778.00,202910.00,23606.00,106341.00,0.00,6587.00,66376.00,5094193.00,1822137.00,12953744.00,8.30,13.38
1984:Q2,15042235.00,5771742.00,9270493.00,2232964.00,610643.00,131162.00,1153744.00,959429.00,194315.00,22673.00,101137.00,0.00,6344.00,64161.00,5141980.00,1887385.00,13154850.00,7.67,12.45
1984:Q3,15416420.00,5923355.00,9493065.00,2279069.00,643691.00,135305.00,1223918.00,1008919.00,214999.00,24466.00,111438.00,0.00,6945.00,72150.00,5211082.00,1941817.00,13474603.00,7.94,12.89
1984:Q4,15736180.00,6067092.00,9669088.00,2381442.00,633626.00,130906.00,1234437.00,1009964.00,224473.00,23848.00,118096.00,0.00,7153.00,75376.00,5288677.00,2007932.00,13728248.00,7.84,12.77
1985:Q1,16200012.00,6228726.00,9971286.00,2421688.00,702850.00,147256.00,1331366.00,1069654.00,261712.00,25860.00,145691.00,0.00,7786.00,82375.00,5368126.00,2082856.00,14117156.00,8.22,13.35
1985:Q2,16600937.00,6407423.00,10193514.00,2467775.00,721236.00,157818.00,1399970.00,1131477.00,268493.00,27184.00,137841.00,0.00,8281.00,95187.00,5446715.00,2159299.00,14441638.00,8.43,13.73
1985:Q3,16866951.00,6595969.00,10270982.00,2511241.00,752566.00,151605.00,1312939.00,1050818.00,262121.00,25449.00,131000.00,0.00,8076.00,97596.00,5542632.00,2250661.00,14616290.00,7.78,12.78
1985:Q4,17583989.00,6784061.00,10799928.00,2644945.00,777698.00,165942.00,1551584.00,1226872.00,324712.00,33327.00,171689.00,0.00,9434.00,110262.00,5659758.00,2362188.00,15221801.00,8.82,14.37
1986:Q1,18114912.00,6911029.00,11203883.00,2702893.00,772900.00,167507.00,1757718.00,1390552.00,367166.00,36439.00,184041.00,0.00,11348.00,135338.00,5802865.00,2386674.00,15728238.00,9.70,15.69
1986:Q2,18547666.00,7079927.00,11467739.00,2760642.00,787678.00,161641.00,1834500.00,1452430.00,382070.00,38532.00,185750.00,0.00,11879.00,145909.00,5923278.00,2454187.00,16093479.00,9.89,16.00
1986:Q3,18771787.00,7257929.00,11513858.00,2827155.00,789176.00,162446.00,1671687.00,1317074.00,354613.00,35222.00,165791.00,0.00,11343.00,142257.00,6063394.00,2538893.00,16232894.00,8.91,14.52
1986:Q4,19412190.00,7422348.00,11989842.00,2920511.00,820897.00,171599.00,1866642.00,1495169.00,371473.00,38285.00,167486.00,0.00,11848.00,153854.00,6210193.00,2627366.00,16784824.00,9.62,15.57
1987:Q1,20078376.00,7585710.00,12492666.00,2901806.00,843852.00,172468.00,2219283.00,1768928.00,450355.00,47209.00,197539.00,0.00,14596.00,191011.00,6355257.00,2634844.00,17443532.00,11.05,17.76
1987:Q2,20457151.00,7755342.00,12701809.00,2946155.00,910442.00,170858.00,2242416.00,1756493.00,485923.00,49449.00,218473.00,0.00,15184.00,202817.00,6431937.00,2725924.00,17731227.00,10.96,17.65
1987:Q3,20950018.00,7919103.00,13030915.00,2991263.00,978023.00,171409.00,2357421.00,1837446.00,519974.00,53345.00,241144.00,0.00,15939.00,209546.00,6532800.00,2802776.00,18147242.00,11.25,18.09
1987:Q4,20848956.00,8040295.00,12808661.00,3081110.00,1001565.00,158917.00,1897044.00,1472855.00,424189.00,43188.00,206163.00,0.00,12527.00,162311.00,6670024.00,2851383.00,17997573.00,9.10,14.81
1988:Q1,21365297.00,8208166.00,13157131.00,3159647.00,1004330.00,160915.00,2024363.00,1573991.00,450372.00,45906.00,219749.00,0.00,13317.00,171400.00,6807875.00,2892852.00,18472445.00,9.48,15.39
1988:Q2,21853916.00,8425281.00,13428635.00,3178670.00,1044831.00,163831.00,2115366.00,1651625.00,463742.00,47150.00,225774.00,0.00,13801.00,177017.00,6925936.00,2979644.00,18874272.00,9.68,15.75
1988:Q3,22223852.00,8597051.00,13626801.00,3219050.00,1098745.00,164300.00,2106021.00,1661135.00,444886.00,48598.00,213536.00,5.00,13714.00,169033.00,7038685.00,3058591.00,19165261.00,9.48,15.45
1988:Q4,22785622.00,8763201.00,14022421.00,3285045.00,1204559.00,165390.00,2206841.00,1766266.00,440575.00,46288.00,212284.00,7.00,13978.00,168018.00,7160586.00,3136762.00,19648860.00,9.69,15.74
1989:Q1,23262865.00,8925252.00,14337613.00,3318095.00,1247704.00,167247.00,2312035.00,1843660.00,468375.00,48684.00,230730.00,18.00,14639.00,174304.00,7292532.00,3173479.00,20089386.00,9.94,16.13
1989:Q2,23754624.00,9092804.00,14661820.00,3334406.00,1256114.00,175460.00,2452868.00,1942620.00,510247.00,53059.00,247975.00,27.00,15530.00,193656.00,7442972.00,3259199.00,20495425.00,10.33,16.73
1989:Q3,24386469.00,9325873.00,15060596.00,3393472.00,1290345.00,169662.00,2651358.00,2098103.00,553255.00,58433.00,266760.00,42.00,16911.00,211109.00,7555759.00,3338894.00,21047575.00,10.87,17.60
1989:Q4,24834722.00,9464624.00,15370098.00,3447725.00,1297514.00,183580.00,2735053.00,2177525.00,557528.00,51354.00,277692.00,55.00,17105.00,211322.00,7706227.00,3421964.00,21412758.00,11.01,17.79
