1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,-3867.00,3577.00,-446.00,-6873.00,342.00,-371.00,7.00,-149.00,1.00,-2.00,18.00,-121.00,75.00,0.00,3.00,0.00,-146.00,-5.00,0.00,-53.00,-96.00
1954:Q3,-3355.00,-3759.00,329.00,1053.00,-335.00,-294.00,6.00,106.00,2.00,0.00,18.00,-54.00,150.00,-8.00,-2.00,0.00,-453.00,-5.00,0.00,-53.00,-349.00
1954:Q4,2448.00,-307.00,3138.00,143.00,96.00,-823.00,61.00,-50.00,2.00,-4.00,21.00,-88.00,-216.00,-94.00,3.00,0.00,-401.00,-5.00,0.00,-52.00,201.00
1955:Q1,-10678.00,-5559.00,-1161.00,-5696.00,975.00,662.00,-48.00,133.00,1.00,1.00,13.00,83.00,62.00,-25.00,1.00,0.00,517.00,-11.00,-2.00,-62.00,101.00
1955:Q2,-1719.00,2817.00,421.00,-5359.00,25.00,115.00,-6.00,110.00,2.00,2.00,17.00,-26.00,223.00,-8.00,2.00,0.00,-118.00,-12.00,-3.00,-67.00,263.00
1955:Q3,-3499.00,-3898.00,1591.00,75.00,-510.00,-360.00,-15.00,112.00,1.00,3.00,17.00,-105.00,24.00,-26.00,-4.00,0.00,-277.00,-13.00,-4.00,-73.00,-397.00
1955:Q4,5699.00,-759.00,5509.00,677.00,-225.00,-132.00,64.00,214.00,2.00,3.00,19.00,-52.00,-12.00,-149.00,3.00,0.00,-128.00,-13.00,-4.00,-78.00,628.00
1956:Q1,-9202.00,-6143.00,158.00,-4654.00,1063.00,604.00,-89.00,256.00,3.00,3.00,22.00,82.00,263.00,-54.00,-2.00,0.00,235.00,-10.00,2.00,-106.00,-230.00
1956:Q2,-4153.00,785.00,574.00,-5453.00,90.00,10.00,-10.00,-3.00,2.00,6.00,22.00,2.00,57.00,-10.00,6.00,0.00,54.00,-10.00,2.00,-109.00,-158.00
1956:Q3,-3585.00,-3694.00,645.00,354.00,-381.00,-83.00,-13.00,155.00,3.00,5.00,23.00,-124.00,-44.00,-23.00,-3.00,0.00,58.00,-11.00,2.00,-113.00,-427.00
1956:Q4,3850.00,-601.00,3452.00,413.00,-91.00,-91.00,101.00,600.00,0.00,6.00,25.00,-105.00,-63.00,-175.00,7.00,0.00,-366.00,-11.00,3.00,-113.00,769.00
1957:Q1,-8831.00,-6571.00,347.00,-4782.00,1322.00,950.00,-123.00,328.00,2.00,7.00,24.00,75.00,180.00,-76.00,-20.00,0.00,640.00,-7.00,2.00,-82.00,-97.00
1957:Q2,-3096.00,-226.00,551.00,-4118.00,379.00,97.00,-8.00,137.00,3.00,8.00,27.00,80.00,116.00,-9.00,9.00,0.00,-179.00,-7.00,2.00,-81.00,221.00
1957:Q3,-5475.00,-4332.00,6.00,-966.00,-121.00,38.00,74.00,134.00,1.00,8.00,28.00,-76.00,-18.00,-8.00,-3.00,0.00,-13.00,-7.00,-1.00,-82.00,-100.00
1957:Q4,3759.00,-326.00,5213.00,-851.00,30.00,-181.00,48.00,167.00,1.00,4.00,35.00,-144.00,63.00,-142.00,3.00,0.00,-132.00,-6.00,0.00,-77.00,-127.00
1958:Q1,-10919.00,-7288.00,-757.00,-4240.00,1449.00,187.00,-50.00,-77.00,1.00,5.00,36.00,69.00,185.00,-69.00,0.00,0.00,161.00,-6.00,5.00,-72.00,-270.00
1958:Q2,-194.00,1899.00,1494.00,-3568.00,279.00,-78.00,1.00,-63.00,2.00,6.00,35.00,76.00,294.00,20.00,7.00,0.00,-392.00,-5.00,5.00,-65.00,-220.00
1958:Q3,-5650.00,-4786.00,741.00,-460.00,-584.00,-80.00,36.00,-77.00,2.00,4.00,34.00,-118.00,66.00,12.00,-8.00,0.00,28.00,-5.00,6.00,-61.00,-481.00
1958:Q4,3204.00,-267.00,4293.00,-715.00,64.00,-22.00,53.00,428.00,1.00,0.00,37.00,-119.00,-243.00,-152.00,-2.00,0.00,40.00,-5.00,5.00,-64.00,-149.00
1959:Q1,-3154.00,-4861.00,1036.00,-649.00,949.00,637.00,-17.00,302.00,1.00,-3.00,29.00,37.00,156.00,30.00,-6.00,0.00,179.00,-11.00,-3.00,-58.00,-265.00
1959:Q2,-13.00,645.00,717.00,-1122.00,731.00,-102.00,-158.00,49.00,1.00,-8.00,29.00,16.00,11.00,27.00,13.00,0.00,-7.00,-12.00,-1.00,-63.00,-882.00
1959:Q3,-6559.00,-3305.00,-1195.00,-962.00,-790.00,539.00,-94.00,81.00,1.00,-9.00,28.00,-99.00,323.00,33.00,-8.00,0.00,364.00,-12.00,-1.00,-68.00,-845.00
