date,FA893170005.Q,FA163170005.Q,FA103170005.Q,FA113170005.Q,FA313170005.Q,FA213170003.Q,FA663170003.Q,FA263170003.Q,FA893070005.Q,FA163070005.Q,FA103070005.Q,FA113070003.Q,FA313070000.Q,FA213070003.Q,FA513070003.Q,FA673070003.Q,FA263070003.Q,FA903070005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6121.00,167.00,6351.00,1498.00,-2013.00,146.00,15.00,-43.00,3204.00,0.00,2758.00,1005.00,-800.00,123.00,117.00,0.00,1.00,2917.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3774.00,100.00,3364.00,1016.00,-666.00,-132.00,15.00,77.00,5474.00,0.00,4975.00,311.00,-100.00,211.00,100.00,0.00,-23.00,-1700.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2974.00,80.00,1591.00,1131.00,0.00,143.00,10.00,19.00,2220.00,0.00,2046.00,70.00,0.00,86.00,74.00,0.00,-56.00,754.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,206.00,33.00,-260.00,260.00,0.00,161.00,15.00,-3.00,-904.00,0.00,-960.00,61.00,0.00,-35.00,71.00,0.00,-41.00,1110.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,10528.00,67.00,7978.00,1258.00,1100.00,114.00,15.00,-4.00,11961.00,0.00,9943.00,1096.00,400.00,460.00,17.00,0.00,45.00,-1433.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1781.00,83.00,-368.00,325.00,1600.00,86.00,10.00,45.00,4533.00,0.00,3381.00,-117.00,900.00,238.00,110.00,0.00,21.00,-2752.00
1952:Q1,5052.00,96.00,2746.00,2598.00,-800.00,484.00,40.00,-112.00,8206.00,0.00,4274.00,2912.00,1200.00,-272.00,104.00,0.00,-12.00,-3154.00
1952:Q2,-8956.00,104.00,-9532.00,340.00,-400.00,504.00,0.00,28.00,-1542.00,0.00,-2226.00,-652.00,1600.00,-372.00,100.00,0.00,8.00,-7414.00
1952:Q3,8788.00,104.00,6900.00,772.00,400.00,480.00,160.00,-28.00,10054.00,0.00,6894.00,1624.00,800.00,512.00,96.00,0.00,128.00,-1266.00
1952:Q4,3512.00,92.00,2948.00,-1384.00,1100.00,492.00,40.00,224.00,6994.00,0.00,6666.00,-428.00,204.00,428.00,92.00,0.00,32.00,-3482.00
1953:Q1,8160.00,84.00,2540.00,4652.00,432.00,512.00,40.00,-100.00,6883.00,0.00,1423.00,4212.00,1304.00,-120.00,76.00,0.00,-12.00,1277.00
1953:Q2,720.00,76.00,384.00,392.00,-816.00,500.00,40.00,144.00,-541.00,0.00,391.00,-592.00,-348.00,48.00,64.00,0.00,-104.00,1261.00
1953:Q3,1884.00,76.00,128.00,1208.00,-48.00,524.00,40.00,-44.00,-1777.00,0.00,-2569.00,428.00,96.00,212.00,52.00,0.00,4.00,3661.00
1953:Q4,-8696.00,80.00,-4180.00,-4788.00,-268.00,536.00,0.00,-76.00,-6489.00,0.00,-2625.00,-2468.00,-1200.00,-124.00,40.00,0.00,-112.00,-2207.00
1954:Q1,6220.00,84.00,-548.00,5440.00,652.00,560.00,40.00,-8.00,3051.00,0.00,-1505.00,3456.00,1252.00,-192.00,44.00,0.00,-4.00,3169.00
1954:Q2,464.00,88.00,-304.00,1420.00,-1404.00,572.00,0.00,92.00,1311.00,0.00,3059.00,-1280.00,-444.00,24.00,52.00,0.00,-100.00,-847.00
1954:Q3,5900.00,88.00,2080.00,3400.00,-416.00,592.00,40.00,116.00,2699.00,0.00,939.00,556.00,768.00,392.00,60.00,0.00,-16.00,3201.00
1954:Q4,4724.00,84.00,6924.00,-3308.00,232.00,596.00,0.00,196.00,8047.00,0.00,11047.00,-2968.00,-652.00,476.00,76.00,0.00,68.00,-3323.00
1955:Q1,10100.00,80.00,6120.00,3756.00,-584.00,632.00,0.00,96.00,10203.00,0.00,6719.00,3124.00,108.00,32.00,80.00,0.00,140.00,-103.00
1955:Q2,8920.00,72.00,6704.00,1716.00,-300.00,644.00,0.00,84.00,6995.00,0.00,9107.00,-1916.00,-556.00,368.00,88.00,0.00,-96.00,1925.00
1955:Q3,15684.00,80.00,12772.00,2160.00,84.00,652.00,0.00,-64.00,10503.00,0.00,9683.00,180.00,-416.00,832.00,96.00,0.00,128.00,5181.00
1955:Q4,10056.00,100.00,10616.00,-1924.00,468.00,656.00,40.00,100.00,11379.00,0.00,12903.00,-2456.00,180.00,708.00,104.00,0.00,-60.00,-1323.00
1956:Q1,5884.00,128.00,580.00,4188.00,24.00,676.00,40.00,248.00,4783.00,0.00,771.00,4020.00,-32.00,-124.00,116.00,0.00,32.00,1101.00
1956:Q2,9920.00,156.00,7920.00,992.00,52.00,692.00,40.00,68.00,9467.00,0.00,7475.00,324.00,1000.00,384.00,128.00,0.00,156.00,453.00
1956:Q3,6848.00,164.00,3620.00,2004.00,260.00,696.00,0.00,104.00,9639.00,0.00,7087.00,1924.00,-92.00,428.00,140.00,0.00,152.00,-2791.00
1956:Q4,2820.00,148.00,4372.00,-3492.00,964.00,704.00,0.00,124.00,5751.00,0.00,7395.00,-1692.00,-572.00,368.00,156.00,0.00,96.00,-2931.00
1957:Q1,5004.00,132.00,636.00,3832.00,-296.00,744.00,40.00,-84.00,4889.00,0.00,861.00,3504.00,420.00,-128.00,156.00,0.00,76.00,115.00
1957:Q2,864.00,124.00,1356.00,-1312.00,-220.00,756.00,0.00,160.00,1197.00,0.00,3189.00,-3072.00,732.00,-48.00,160.00,0.00,236.00,-333.00
1957:Q3,2552.00,124.00,1524.00,324.00,-208.00,764.00,0.00,24.00,1393.00,0.00,1885.00,-648.00,-280.00,220.00,160.00,0.00,56.00,1159.00
1957:Q4,3760.00,132.00,2880.00,-1700.00,1368.00,788.00,40.00,252.00,-2571.00,0.00,573.00,-2476.00,-1228.00,400.00,164.00,0.00,-4.00,6331.00
1958:Q1,-3876.00,144.00,-9272.00,5052.00,-408.00,812.00,0.00,-204.00,4943.00,0.00,1023.00,4956.00,-552.00,-520.00,156.00,0.00,-120.00,-8819.00
1958:Q2,8224.00,148.00,6840.00,500.00,-244.00,828.00,0.00,152.00,2003.00,0.00,2679.00,-404.00,-708.00,280.00,148.00,0.00,8.00,6221.00
1958:Q3,12760.00,152.00,10292.00,1156.00,272.00,860.00,40.00,-12.00,15459.00,0.00,13683.00,1432.00,-520.00,668.00,144.00,0.00,52.00,-2699.00
1958:Q4,8456.00,160.00,9148.00,-2412.00,632.00,884.00,0.00,44.00,6535.00,0.00,8231.00,-1988.00,-372.00,616.00,144.00,0.00,-96.00,1921.00
1959:Q1,10876.00,1004.00,6472.00,2696.00,-120.00,908.00,40.00,-124.00,7149.00,0.00,3809.00,2808.00,-124.00,280.00,160.00,0.00,216.00,3727.00
1959:Q2,9612.00,160.00,8732.00,24.00,-492.00,908.00,0.00,280.00,8705.00,0.00,9929.00,-2092.00,-20.00,468.00,176.00,0.00,244.00,907.00
1959:Q3,2028.00,200.00,-352.00,1268.00,-40.00,896.00,40.00,16.00,3701.00,0.00,2777.00,368.00,60.00,248.00,192.00,0.00,56.00,-1673.00
1959:Q4,2992.00,200.00,6412.00,-5628.00,936.00,872.00,0.00,200.00,897.00,0.00,5669.00,-5656.00,80.00,508.00,204.00,0.00,92.00,2095.00
1960:Q1,13920.00,160.00,5800.00,6212.00,820.00,888.00,40.00,0.00,15548.00,0.00,7832.00,6084.00,400.00,344.00,192.00,0.00,696.00,-1628.00
1960:Q2,4360.00,200.00,4576.00,-1436.00,-444.00,920.00,0.00,544.00,544.00,0.00,3708.00,-2980.00,-204.00,244.00,168.00,0.00,-392.00,3816.00
