1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,29243.00,0.00,4949.00,4970.00,0.00,-564.00,-1074.00,-42.00,275.00,277.00,965.00,1545.00,266.00,0.00,2728.00,13708.00,676.00,60470.00,18564.00,10521.00,29961.00,0.00,1424.00,35159.00,5608.00,6831.00,22720.00,25311.00,12956.00,3690.00,7241.00,0.00,1424.00,12289.00,6444.00,2328.00,1403.00,123.00,1992.00,940.00,43204.00,7241.00,291.00,18.00,35690.00,25948.00,9742.00,237400.00,18.20,15.03,10.93,4.10
1952:Q1,9689.00,0.00,-883.00,1292.00,0.00,2469.00,819.00,44.00,1759.00,-153.00,726.00,293.00,144.00,0.00,668.00,4006.00,974.00,14593.00,4544.00,2522.00,7242.00,0.00,285.00,8937.00,1474.00,1785.00,5679.00,5656.00,3071.00,738.00,1563.00,0.00,285.00,1918.00,1357.00,410.00,-753.00,43.00,861.00,259.00,13685.00,1563.00,77.00,287.00,12333.00,3153.00,9180.00,57199.00,23.93,21.56,5.51,16.05
1952:Q2,7700.00,0.00,-1909.00,2275.00,0.00,2093.00,-341.00,-123.00,2336.00,221.00,394.00,194.00,128.00,0.00,708.00,3728.00,89.00,14866.00,4667.00,2486.00,7296.00,0.00,417.00,9125.00,1491.00,1804.00,5830.00,5741.00,3176.00,682.00,1466.00,0.00,417.00,5411.00,1731.00,764.00,2281.00,71.00,564.00,270.00,8300.00,1466.00,186.00,100.00,6748.00,7929.00,-1181.00,63037.00,13.17,10.70,12.58,-1.87
1952:Q3,11552.00,0.00,2614.00,1529.00,0.00,1687.00,1141.00,0.00,771.00,-225.00,260.00,142.00,125.00,0.00,739.00,3796.00,660.00,14416.00,4665.00,2234.00,6934.00,0.00,584.00,9204.00,1511.00,1822.00,5872.00,5212.00,3154.00,412.00,1062.00,0.00,584.00,3785.00,1841.00,595.00,1087.00,47.00,215.00,276.00,13255.00,1062.00,84.00,-69.00,12040.00,8285.00,3755.00,64071.00,20.69,18.79,12.93,5.86
1952:Q4,10445.00,0.00,1867.00,2378.00,0.00,562.00,344.00,0.00,351.00,-133.00,521.00,161.00,108.00,0.00,773.00,3909.00,166.00,15466.00,4886.00,2473.00,7935.00,0.00,172.00,9395.00,1534.00,1838.00,6023.00,6072.00,3352.00,635.00,1912.00,0.00,172.00,4369.00,1765.00,331.00,2557.00,57.00,-341.00,251.00,12399.00,1912.00,41.00,-296.00,10150.00,8474.00,1676.00,66343.00,18.69,15.30,12.77,2.53
1953:Q1,9465.00,0.00,670.00,1894.00,0.00,387.00,-433.00,53.00,918.00,-151.00,132.00,208.00,137.00,0.00,774.00,3962.00,1301.00,16202.00,4969.00,2591.00,8415.00,0.00,228.00,9303.00,1544.00,1869.00,5891.00,6899.00,3425.00,722.00,2524.00,0.00,228.00,3641.00,1587.00,237.00,379.00,214.00,1224.00,306.00,13030.00,2524.00,51.00,348.00,10803.00,3509.00,7293.00,62331.00,20.90,17.33,5.63,11.70
1953:Q2,8564.00,0.00,-3302.00,2632.00,0.00,3574.00,2356.00,83.00,868.00,267.00,280.00,347.00,83.00,0.00,760.00,4107.00,83.00,15917.00,4992.00,2665.00,8375.00,0.00,-114.00,9501.00,1568.00,1883.00,6051.00,6416.00,3424.00,782.00,2324.00,0.00,-114.00,5445.00,2220.00,709.00,1771.00,246.00,499.00,263.00,9799.00,2324.00,137.00,115.00,7453.00,9283.00,-1830.00,68600.00,14.28,10.86,13.53,-2.67
1953:Q3,10001.00,0.00,2598.00,1578.00,0.00,324.00,-184.00,74.00,799.00,-365.00,150.00,36.00,77.00,0.00,738.00,4176.00,324.00,16079.00,4847.00,2776.00,8270.00,0.00,188.00,9639.00,1590.00,1897.00,6153.00,6440.00,3257.00,879.00,2117.00,0.00,188.00,3367.00,1979.00,456.00,682.00,-14.00,264.00,278.00,13353.00,2117.00,82.00,-63.00,11091.00,7640.00,3451.00,67171.00,19.88,16.51,11.37,5.14
1953:Q4,7764.00,0.00,1150.00,2131.00,0.00,-575.00,-1090.00,-55.00,331.00,239.00,556.00,-18.00,86.00,0.00,710.00,4128.00,-404.00,16070.00,4788.00,2759.00,8056.00,0.00,468.00,9720.00,1611.00,1910.00,6200.00,6350.00,3177.00,849.00,1856.00,0.00,468.00,1568.00,1731.00,229.00,1260.00,146.00,-1798.00,301.00,12847.00,1856.00,58.00,-377.00,10556.00,8811.00,1745.00,68224.00,18.83,15.47,12.91,2.56
1954:Q1,6680.00,0.00,-1510.00,2002.00,0.00,389.00,158.00,-14.00,513.00,-268.00,-24.00,12.00,100.00,0.00,692.00,3974.00,1045.00,15571.00,4813.00,2629.00,7958.00,0.00,172.00,10071.00,1626.00,1927.00,6518.00,5501.00,3188.00,702.00,1440.00,0.00,172.00,1678.00,1413.00,271.00,-1870.00,90.00,1774.00,299.00,10801.00,1440.00,5.00,400.00,9757.00,4135.00,5622.00,64050.00,16.86,15.23,6.46,8.78
1954:Q2,6746.00,0.00,-860.00,2941.00,0.00,-446.00,-641.00,0.00,292.00,-97.00,445.00,172.00,53.00,0.00,679.00,3936.00,-174.00,15823.00,5141.00,2638.00,8135.00,0.00,-91.00,10269.00,1645.00,1943.00,6682.00,5554.00,3496.00,696.00,1454.00,0.00,-91.00,5832.00,2818.00,915.00,1262.00,225.00,612.00,286.00,6754.00,1454.00,47.00,183.00,5436.00,9013.00,-3577.00,69618.00,9.70,7.81,12.95,-5.14
1954:Q3,10415.00,0.00,4366.00,1611.00,0.00,-923.00,-1354.00,12.00,568.00,-149.00,326.00,-2.00,114.00,0.00,669.00,3963.00,291.00,16430.00,5518.00,2741.00,8036.00,0.00,136.00,10258.00,1665.00,1962.00,6631.00,6172.00,3853.00,779.00,1404.00,0.00,136.00,4659.00,2102.00,738.00,236.00,304.00,1279.00,286.00,12213.00,1404.00,-123.00,-82.00,10850.00,7091.00,3759.00,68374.00,17.86,15.87,10.37,5.50
1954:Q4,8008.00,0.00,507.00,2742.00,0.00,-22.00,-114.00,-5.00,718.00,-621.00,704.00,-186.00,154.00,0.00,662.00,4029.00,-582.00,17025.00,5862.00,2813.00,8479.00,0.00,-128.00,10304.00,1685.00,1983.00,6636.00,6721.00,4177.00,830.00,1842.00,0.00,-128.00,4534.00,3020.00,383.00,1721.00,432.00,-1022.00,293.00,10488.00,1842.00,-81.00,-475.00,8252.00,7945.00,307.00,70392.00,14.90,11.72,11.29,0.44
1955:Q1,9840.00,0.00,-243.00,2092.00,0.00,1863.00,1553.00,-108.00,520.00,-102.00,78.00,188.00,142.00,0.00,682.00,4052.00,986.00,18332.00,6324.00,2839.00,9150.00,0.00,19.00,10614.00,1719.00,1996.00,6900.00,7718.00,4605.00,843.00,2251.00,0.00,19.00,4850.00,2881.00,496.00,-261.00,395.00,1339.00,311.00,13019.00,2251.00,-109.00,158.00,11035.00,5476.00,5559.00,69539.00,18.72,15.87,7.87,7.99
1955:Q2,6591.00,0.00,-2334.00,2594.00,0.00,1505.00,600.00,78.00,1025.00,-198.00,301.00,-201.00,121.00,0.00,709.00,4204.00,-308.00,19078.00,6469.00,3119.00,9691.00,0.00,-201.00,10781.00,1748.00,2023.00,7010.00,8297.00,4721.00,1095.00,2681.00,0.00,-201.00,9246.00,3460.00,747.00,3053.00,110.00,1876.00,279.00,5921.00,2681.00,50.00,483.00,3673.00,6490.00,-2817.00,71884.00,8.24,5.11,9.03,-3.92
1955:Q3,12770.00,0.00,3551.00,1494.00,0.00,2036.00,941.00,115.00,851.00,129.00,292.00,-33.00,169.00,0.00,758.00,4303.00,200.00,19523.00,6376.00,3301.00,10099.00,0.00,-252.00,10972.00,1786.00,2055.00,7132.00,8551.00,4590.00,1246.00,2967.00,0.00,-252.00,7091.00,3335.00,678.00,1788.00,149.00,1141.00,311.00,14541.00,2967.00,10.00,-103.00,11460.00,7562.00,3898.00,74065.00,19.63,15.47,10.21,5.26
1955:Q4,9453.00,0.00,450.00,2421.00,0.00,1143.00,-338.00,373.00,814.00,294.00,616.00,16.00,140.00,0.00,756.00,4297.00,-386.00,19429.00,6111.00,3297.00,9859.00,0.00,162.00,11220.00,1833.00,2088.00,7299.00,8209.00,4278.00,1209.00,2560.00,0.00,162.00,5503.00,2904.00,183.00,2406.00,12.00,-2.00,352.00,12510.00,2560.00,-7.00,-512.00,9445.00,8686.00,759.00,76239.00,16.41,12.39,11.39,1.00
1956:Q1,10787.00,0.00,-636.00,2163.00,0.00,2334.00,1631.00,116.00,395.00,192.00,273.00,57.00,314.00,0.00,850.00,4301.00,1131.00,18672.00,6003.00,3201.00,9393.00,0.00,76.00,11829.00,1834.00,2179.00,7816.00,6843.00,4169.00,1022.00,1577.00,0.00,76.00,3423.00,2420.00,782.00,-698.00,57.00,862.00,368.00,14575.00,1577.00,65.00,271.00,13204.00,7061.00,6143.00,75062.00,19.42,17.59,9.41,8.18
1956:Q2,8387.00,0.00,-1404.00,2979.00,0.00,1261.00,-291.00,237.00,867.00,448.00,439.00,-477.00,35.00,0.00,909.00,4406.00,239.00,18305.00,6064.00,3106.00,9427.00,0.00,-292.00,12023.00,1886.00,2211.00,7927.00,6282.00,4178.00,895.00,1501.00,0.00,-292.00,6967.00,2971.00,993.00,2030.00,86.00,887.00,431.00,8133.00,1501.00,194.00,641.00,7079.00,7864.00,-785.00,76565.00,10.62,9.25,10.27,-1.02
1956:Q3,12872.00,0.00,2744.00,1591.00,0.00,1648.00,449.00,157.00,872.00,170.00,374.00,-6.00,323.00,0.00,891.00,4700.00,607.00,18329.00,5958.00,3105.00,9395.00,0.00,-128.00,12190.00,1933.00,2237.00,8021.00,6139.00,4025.00,868.00,1375.00,0.00,-128.00,4890.00,2847.00,849.00,697.00,49.00,448.00,405.00,14526.00,1375.00,84.00,-224.00,12843.00,9150.00,3694.00,78677.00,18.46,16.32,11.63,4.69
1956:Q4,11080.00,0.00,1314.00,2714.00,0.00,355.00,-407.00,-156.00,592.00,326.00,655.00,255.00,114.00,0.00,820.00,5106.00,-253.00,18428.00,5843.00,3109.00,9824.00,0.00,-348.00,12438.00,1978.00,2255.00,8205.00,5990.00,3864.00,854.00,1620.00,0.00,-348.00,3917.00,2571.00,260.00,1602.00,129.00,-645.00,401.00,13554.00,1620.00,52.00,-658.00,11224.00,10623.00,601.00,81518.00,16.63,13.77,13.03,0.74
1957:Q1,11778.00,0.00,-936.00,3232.00,0.00,2007.00,653.00,-26.00,637.00,743.00,164.00,-102.00,231.00,0.00,744.00,5379.00,1059.00,19016.00,5744.00,3183.00,10003.00,0.00,86.00,12164.00,1940.00,2348.00,7876.00,6852.00,3804.00,835.00,2127.00,0.00,86.00,2437.00,2106.00,235.00,-1338.00,-28.00,1462.00,413.00,16606.00,2127.00,35.00,373.00,14817.00,8246.00,6571.00,80289.00,20.68,18.45,10.27,8.18
1957:Q2,8778.00,0.00,-1979.00,3523.00,0.00,548.00,-135.00,221.00,275.00,187.00,582.00,106.00,224.00,0.00,667.00,5728.00,-621.00,18865.00,5621.00,3158.00,9902.00,0.00,185.00,12368.00,1978.00,2363.00,8028.00,6497.00,3643.00,795.00,1875.00,0.00,185.00,5832.00,2188.00,699.00,1981.00,311.00,653.00,478.00,9921.00,1875.00,94.00,705.00,8658.00,8432.00,226.00,81062.00,12.24,10.68,10.40,0.28
1957:Q3,13285.00,0.00,2829.00,1887.00,0.00,1878.00,907.00,-54.00,714.00,311.00,503.00,-468.00,193.00,0.00,649.00,5841.00,-27.00,18849.00,5583.00,3283.00,9833.00,0.00,150.00,12605.00,2014.00,2378.00,8213.00,6243.00,3570.00,904.00,1620.00,0.00,150.00,3975.00,2358.00,842.00,748.00,10.00,17.00,470.00,16023.00,1620.00,-6.00,-249.00,14160.00,9829.00,4332.00,83620.00,19.16,16.93,11.75,5.18
1957:Q4,9927.00,0.00,-107.00,3295.00,0.00,369.00,-143.00,363.00,325.00,-176.00,760.00,-461.00,187.00,0.00,678.00,5691.00,-485.00,18328.00,5554.00,3334.00,9737.00,0.00,-297.00,12720.00,2047.00,2397.00,8276.00,5608.00,3507.00,938.00,1461.00,0.00,-297.00,2975.00,1977.00,383.00,1246.00,-167.00,-464.00,427.00,12988.00,1461.00,-17.00,-798.00,10746.00,10420.00,326.00,84631.00,15.35,12.70,12.31,0.38
1958:Q1,11786.00,0.00,244.00,3538.00,0.00,525.00,-558.00,-255.00,531.00,807.00,124.00,-490.00,325.00,0.00,721.00,5394.00,1405.00,18198.00,5312.00,3275.00,9142.00,0.00,469.00,13182.00,2029.00,2467.00,8686.00,5017.00,3284.00,808.00,456.00,0.00,469.00,862.00,1601.00,694.00,-2442.00,390.00,619.00,438.00,16378.00,456.00,-29.00,317.00,16268.00,8980.00,7288.00,83079.00,19.71,19.58,10.81,8.77
1958:Q2,6311.00,0.00,-2975.00,4130.00,0.00,-1894.00,237.00,-384.00,-1065.00,-682.00,955.00,-406.00,467.00,0.00,775.00,5304.00,-45.00,17880.00,5335.00,3264.00,8966.00,0.00,316.00,13423.00,2057.00,2487.00,8879.00,4458.00,3278.00,777.00,87.00,0.00,316.00,5094.00,2167.00,1058.00,929.00,561.00,379.00,423.00,6099.00,87.00,47.00,758.00,6723.00,8622.00,-1899.00,83434.00,7.31,8.06,10.33,-2.28
1958:Q3,14838.00,0.00,5960.00,2873.00,0.00,-1631.00,-2541.00,-26.00,477.00,459.00,734.00,-160.00,339.00,0.00,794.00,5404.00,525.00,18684.00,5711.00,3300.00,9142.00,0.00,531.00,13456.00,2083.00,2508.00,8864.00,5228.00,3627.00,792.00,278.00,0.00,531.00,4942.00,2893.00,1046.00,236.00,169.00,598.00,413.00,15537.00,278.00,85.00,-230.00,14944.00,10158.00,4786.00,86220.00,18.02,17.33,11.78,5.55
1958:Q4,12160.00,0.00,1057.00,3558.00,0.00,1014.00,-7.00,35.00,822.00,164.00,1054.00,-866.00,277.00,0.00,783.00,5653.00,-370.00,19696.00,6291.00,3479.00,9443.00,0.00,483.00,13522.00,2107.00,2529.00,8886.00,6174.00,4184.00,950.00,557.00,0.00,483.00,6057.00,3142.00,648.00,1550.00,311.00,406.00,421.00,12698.00,557.00,-74.00,-808.00,11407.00,11140.00,267.00,88195.00,14.40,12.93,12.63,0.30
1959:Q1,12266.00,0.00,-472.00,2175.00,0.00,2673.00,1401.00,84.00,845.00,343.00,336.00,-389.00,428.00,0.00,796.00,5817.00,902.00,20592.00,6991.00,3463.00,10155.00,0.00,-16.00,13188.00,2145.00,2534.00,8509.00,7405.00,4846.00,929.00,1646.00,0.00,-16.00,4666.00,2788.00,1283.00,-499.00,151.00,943.00,423.00,15427.00,1646.00,-35.00,364.00,14181.00,9320.00,4861.00,88268.00,17.48,16.07,10.56,5.51
1959:Q2,10163.00,0.00,-1179.00,3759.00,0.00,587.00,-519.00,606.00,608.00,-108.00,628.00,-613.00,301.00,0.00,802.00,6197.00,-319.00,21086.00,7218.00,3642.00,10577.00,0.00,-351.00,13425.00,2165.00,2554.00,8706.00,7661.00,5053.00,1088.00,1871.00,0.00,-351.00,9453.00,3439.00,1646.00,2887.00,243.00,1238.00,433.00,8805.00,1871.00,45.00,832.00,7721.00,8366.00,-645.00,88866.00,9.91,8.69,9.41,-0.73
1959:Q3,14920.00,0.00,3297.00,2003.00,0.00,2499.00,986.00,488.00,990.00,35.00,359.00,-1118.00,355.00,0.00,861.00,6344.00,320.00,21091.00,7073.00,3750.00,10780.00,0.00,-512.00,13556.00,2183.00,2573.00,8800.00,7535.00,4890.00,1177.00,1980.00,0.00,-512.00,8179.00,3716.00,1388.00,2040.00,-1.00,1036.00,471.00,14746.00,1980.00,187.00,-262.00,12318.00,9012.00,3305.00,90875.00,16.23,13.55,9.92,3.64
1959:Q4,9385.00,0.00,-834.00,2591.00,0.00,2768.00,1140.00,256.00,1304.00,68.00,-421.00,-1101.00,335.00,0.00,962.00,6293.00,-1208.00,20431.00,6884.00,3647.00,10260.00,0.00,-360.00,13655.00,2199.00,2591.00,8865.00,6776.00,4685.00,1056.00,1395.00,0.00,-360.00,6037.00,3092.00,676.00,3295.00,222.00,-1248.00,479.00,10602.00,1395.00,-133.00,-894.00,8446.00,10450.00,-2004.00,92898.00,11.41,9.09,11.25,-2.16
1960:Q1,13051.00,0.00,-2047.00,1997.00,0.00,5177.00,3882.00,-637.00,610.00,1322.00,-383.00,-675.00,311.00,0.00,939.00,6031.00,1701.00,22030.00,7134.00,3662.00,10606.00,-160.00,787.00,14027.00,2267.00,2553.00,9208.00,8003.00,4868.00,1109.00,1399.00,-160.00,787.00,3653.00,2481.00,1278.00,-1456.00,-116.00,1466.00,503.00,17904.00,1399.00,-75.00,579.00,17159.00,9640.00,7519.00,93010.00,19.25,18.45,10.36,8.08
1960:Q2,8558.00,0.00,-1906.00,3634.00,0.00,567.00,-1283.00,279.00,1100.00,471.00,753.00,-990.00,333.00,0.00,877.00,5873.00,-583.00,21212.00,6568.00,3621.00,10834.00,-163.00,353.00,14141.00,2283.00,2568.00,9291.00,7071.00,4285.00,1053.00,1543.00,-163.00,353.00,8283.00,2786.00,1350.00,2865.00,311.00,971.00,562.00,7908.00,1543.00,366.00,1061.00,7060.00,7133.00,-73.00,92028.00,8.59,7.67,7.75,-0.08
1960:Q3,13221.00,0.00,3497.00,3125.00,0.00,-688.00,-581.00,-615.00,431.00,77.00,969.00,-975.00,268.00,0.00,767.00,5836.00,422.00,20867.00,6362.00,3520.00,10716.00,-168.00,438.00,14265.00,2299.00,2582.00,9384.00,6602.00,4063.00,938.00,1332.00,-168.00,438.00,6007.00,3216.00,1266.00,968.00,278.00,279.00,536.00,14352.00,1332.00,-84.00,-356.00,12748.00,10092.00,2657.00,95019.00,15.10,13.42,10.62,2.80
1960:Q4,11001.00,0.00,1761.00,3180.00,0.00,-640.00,-1408.00,-261.00,504.00,525.00,1618.00,-1133.00,137.00,0.00,645.00,5925.00,-492.00,19760.00,6360.00,3543.00,10427.00,-174.00,-396.00,14361.00,2316.00,2595.00,9450.00,5399.00,4044.00,948.00,978.00,-174.00,-396.00,5268.00,2796.00,887.00,1658.00,222.00,-295.00,642.00,11774.00,978.00,-153.00,-1250.00,9699.00,10961.00,-1262.00,96409.00,12.21,10.06,11.37,-1.31
1961:Q1,9719.00,0.00,-2096.00,5240.00,0.00,-984.00,-99.00,-674.00,-238.00,27.00,-413.00,-368.00,418.00,0.00,688.00,5849.00,1385.00,19522.00,6358.00,3551.00,9839.00,-183.00,-43.00,14418.00,2357.00,2586.00,9475.00,5104.00,4001.00,966.00,364.00,-183.00,-43.00,3637.00,2267.00,1604.00,-1909.00,571.00,1104.00,638.00,11823.00,364.00,-127.00,779.00,12366.00,11301.00,1064.00,96900.00,12.20,12.76,11.66,1.10
1961:Q2,11846.00,0.00,-1609.00,5395.00,0.00,137.00,-1411.00,-135.00,841.00,842.00,1687.00,-743.00,288.00,0.00,793.00,5984.00,-86.00,20157.00,6395.00,3647.00,10090.00,-189.00,215.00,14463.00,2377.00,2600.00,9486.00,5694.00,4018.00,1047.00,604.00,-189.00,215.00,7645.00,2958.00,1604.00,1258.00,667.00,1158.00,598.00,10493.00,604.00,323.00,1062.00,10628.00,8356.00,2272.00,95194.00,11.02,11.16,8.78,2.39
1961:Q3,13112.00,0.00,2997.00,2637.00,0.00,751.00,1616.00,20.00,-430.00,-455.00,107.00,-1180.00,411.00,0.00,923.00,5999.00,467.00,21175.00,6736.00,3692.00,10384.00,-193.00,558.00,14566.00,2399.00,2616.00,9551.00,6609.00,4337.00,1075.00,833.00,-193.00,558.00,6143.00,3576.00,1767.00,485.00,140.00,175.00,643.00,14221.00,833.00,-112.00,-431.00,13070.00,11864.00,1206.00,99450.00,14.30,13.14,11.93,1.21
1961:Q4,12863.00,0.00,562.00,5112.00,0.00,1132.00,-356.00,348.00,1326.00,-186.00,1018.00,-2043.00,554.00,0.00,1043.00,6022.00,-537.00,22033.00,6949.00,3801.00,10874.00,-197.00,606.00,14683.00,2422.00,2635.00,9626.00,7350.00,4527.00,1166.00,1248.00,-197.00,606.00,7177.00,3848.00,1297.00,2353.00,421.00,-742.00,631.00,13667.00,1248.00,-137.00,-1358.00,11198.00,12850.00,-1652.00,102289.00,13.36,10.95,12.56,-1.61
