1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2008:Q4,3232618.00,2869937.00,3679034.00,961585.00,461647.00,2320950.00,-65148.00,0.00,-809097.00,978167.00,12278.00,-30040.00,458861.00,-401278.00,661577.00,-5116.00,1643995.00,-32583.00,206083.00,487483.00,176945.00,806066.00,-1053996.00,-1102972.00,22904.00,26072.00,628078.00,-406679.00,-289583.00,93776.00,477344.00,-66387.00,-262476.00,200871.00,-683058.00,1787265.00,0.00,0.00,-764.00,2286129.00,2218.00,2217552.00,992.00,48527.00,16840.00,-1062829.00,58757.00,-1016750.00,-45041.00,-59796.00,-392336.00,-327215.00,2772.00,-17685.00,-298880.00,222308.00,1375765.00,362681.00
2009:Q1,2802152.00,3416277.00,3407347.00,960099.00,410666.00,2182203.00,-145621.00,0.00,8930.00,1042014.00,3490.00,-13380.00,-231304.00,230241.00,111852.00,-14556.00,599028.00,-34536.00,730412.00,-891617.00,179844.00,614925.00,-185599.00,-244076.00,7912.00,50565.00,746074.00,-119482.00,-232550.00,58664.00,398548.00,-34898.00,-116930.00,260104.00,-417290.00,1033084.00,0.00,0.00,-4.00,2072583.00,-138777.00,1663263.00,-3192.00,132381.00,418908.00,-675148.00,-284943.00,-428924.00,118901.00,-80182.00,-138832.00,-284803.00,-232.00,-41057.00,-140194.00,5644.00,235127.00,-614125.00
2009:Q2,2630921.00,1855753.00,3264455.00,953210.00,383930.00,2115236.00,-187921.00,0.00,-1408702.00,1006813.00,14266.00,2308.00,565031.00,-80166.00,-230828.00,1748.00,-714062.00,-6349.00,43298.00,-1025273.00,87507.00,186754.00,222219.00,135828.00,49216.00,37175.00,85060.00,500083.00,-117750.00,-3600.00,532408.00,68524.00,-112690.00,236138.00,38122.00,2415514.00,0.00,0.00,-4.00,2210628.00,-132785.00,1900054.00,-1096.00,187207.00,257248.00,-434978.00,-219415.00,-69940.00,4078.00,-149702.00,136336.00,-103499.00,2060.00,-13740.00,-90754.00,57756.00,651710.00,775168.00
2009:Q3,2594047.00,2253762.00,3264057.00,992171.00,399690.00,2078128.00,-205932.00,0.00,-1010295.00,918221.00,195310.00,1788.00,-64169.00,350104.00,-716344.00,10048.00,257089.00,-19039.00,657247.00,-92051.00,152761.00,-441830.00,332088.00,197380.00,67564.00,67144.00,-242409.00,567134.00,-90360.00,-6240.00,470128.00,49311.00,-112811.00,265598.00,-348044.00,1928517.00,190392.00,12000.00,-1000.00,1696948.00,2027.00,1426878.00,3712.00,175735.00,88596.00,-640619.00,-404759.00,-23865.00,-140394.00,-71600.00,66904.00,44484.00,140.00,11255.00,-104195.00,165704.00,486503.00,340285.00
2009:Q4,2742038.00,3591629.00,3377826.00,977792.00,402769.00,2048070.00,-50805.00,0.00,213803.00,1642764.00,-5380.00,7908.00,-144052.00,645641.00,-483949.00,-6820.00,486453.00,-97176.00,568143.00,-182196.00,209300.00,-11617.00,226354.00,11788.00,20012.00,194554.00,-645458.00,536664.00,111514.00,33564.00,543424.00,37431.00,-87928.00,317016.00,70383.00,1428961.00,0.00,0.00,-400.00,1294513.00,-22733.00,1032521.00,1172.00,201985.00,81568.00,-477829.00,-321719.00,16317.00,-95534.00,-76894.00,-269056.00,178606.00,2424.00,5483.00,-97460.00,189996.00,602685.00,-849591.00
2010:Q1,2726680.00,2636735.00,3435099.00,976375.00,388710.00,2057954.00,12060.00,0.00,-798364.00,1483520.00,2722.00,9324.00,165713.00,242325.00,-585169.00,-528.00,-100897.00,104962.00,213359.00,102435.00,97932.00,-619585.00,87314.00,7292.00,17724.00,62298.00,-330762.00,297903.00,196609.00,-3880.00,607724.00,11388.00,181507.00,374500.00,327727.00,2281884.00,0.00,0.00,0.00,2146154.00,50254.00,1727307.00,344.00,144581.00,223668.00,-761209.00,-92600.00,-131864.00,-452028.00,-84717.00,-166716.00,260148.00,-380.00,13101.00,181615.00,114872.00,494300.00,89945.00
2010:Q2,2846907.00,2874400.00,3582723.00,999366.00,408181.00,2125061.00,50115.00,0.00,-708323.00,2070580.00,496.00,13660.00,324647.00,61140.00,-313646.00,-6292.00,167768.00,-5237.00,1012801.00,-444505.00,2794.00,-398084.00,115961.00,10280.00,18696.00,86985.00,57814.00,117989.00,150066.00,-992.00,607144.00,20160.00,166979.00,238691.00,348995.00,2778902.00,0.00,0.00,-4.00,2019779.00,62710.00,1911464.00,1076.00,19792.00,24736.00,-373846.00,-41315.00,-59549.00,-205220.00,-67762.00,-190952.00,157964.00,708.00,-4114.00,161095.00,98919.00,909355.00,-27493.00
2010:Q3,2972768.00,2547898.00,3662620.00,1009131.00,368522.00,2163423.00,121544.00,0.00,-1114722.00,1690640.00,4120.00,-1328.00,195931.00,369737.00,-149031.00,14964.00,-781062.00,30577.00,109081.00,8472.00,15893.00,-945085.00,239217.00,57468.00,13968.00,167781.00,-146972.00,288606.00,124674.00,42788.00,658496.00,13835.00,156050.00,291144.00,369470.00,2805362.00,0.00,0.00,-1100.00,1981687.00,43766.00,1544591.00,484.00,66818.00,326028.00,-269812.00,-47769.00,58264.00,-277342.00,-2965.00,-338400.00,153512.00,660.00,-164.00,159250.00,266724.00,853004.00,424870.00
2010:Q4,2980768.00,3562128.00,3683027.00,1035136.00,382494.00,2202979.00,62398.00,20.00,-120899.00,2342127.00,-1022.00,32924.00,395436.00,213490.00,-246665.00,5132.00,448822.00,-29498.00,291.00,265162.00,159868.00,52998.00,200616.00,31096.00,16996.00,152524.00,-383967.00,208906.00,138778.00,-8656.00,634364.00,66921.00,164510.00,309029.00,163509.00,2463027.00,0.00,0.00,0.00,1675633.00,-58658.00,1397642.00,760.00,197001.00,138888.00,-51333.00,-33047.00,104269.00,-165462.00,42908.00,-306636.00,232517.00,2460.00,16877.00,163574.00,148956.00,580978.00,-581360.00
2011:Q1,3062474.00,2088739.00,3646068.00,1047794.00,382817.00,2189186.00,26273.00,-2.00,-1557329.00,741853.00,16260.00,38732.00,-431631.00,239365.00,31281.00,-7776.00,-882795.00,903.00,-1053449.00,612592.00,-33824.00,-409017.00,217759.00,30824.00,2244.00,184691.00,-3717.00,157275.00,124668.00,45328.00,474928.00,44410.00,216722.00,389751.00,71294.00,2299182.00,0.00,0.00,0.00,929101.00,25799.00,843914.00,1192.00,-71520.00,129716.00,100888.00,48692.00,157586.00,-207696.00,102307.00,-293800.00,107847.00,280.00,30603.00,230046.00,114152.00,1080065.00,973735.00
