1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q2,1526824.00,92373.00,190464.00,477080.00,286616.00,-98091.00,227536.00,325627.00,1432164.00,766452.00,268474.00,6259.00,294903.00,4188.00,91888.00,0.00,-3820.00,-3471.00,-416.00,67.00,6106.00,58398846.00,9320842.00
2005:Q3,1727782.00,2607.00,192790.00,486022.00,293233.00,-190183.00,157492.00,347675.00,1856875.00,771815.00,501987.00,88807.00,335939.00,6272.00,152056.00,0.00,-28795.00,-26869.00,-1689.00,-238.00,-102905.00,60126628.00,9471449.00
2005:Q4,1769780.00,202938.00,183643.00,481712.00,298070.00,19295.00,310438.00,291143.00,1352613.00,718683.00,203680.00,-12375.00,327653.00,3135.00,111837.00,0.00,-7613.00,-7276.00,-668.00,331.00,221842.00,61896408.00,9624378.00
2006:Q1,2068529.00,230971.00,191829.00,493742.00,301913.00,39143.00,351299.00,312156.00,1825007.00,410730.00,948784.00,138761.00,141080.00,7572.00,178081.00,0.00,-8947.00,-8515.00,-594.00,161.00,21498.00,63964938.00,9889811.00
2006:Q2,-129708.00,-21898.00,178303.00,484910.00,306607.00,-200201.00,157108.00,357309.00,-219808.00,-1103.00,-184143.00,-55332.00,106386.00,-3761.00,-81855.00,0.00,-11584.00,-10340.00,-803.00,-442.00,123582.00,63835230.00,9981059.00
2006:Q3,465668.00,-67041.00,167448.00,478101.00,310654.00,-234489.00,95333.00,329822.00,644932.00,-85993.00,350697.00,105110.00,123668.00,6637.00,144813.00,0.00,-9824.00,-9828.00,361.00,-356.00,-102400.00,64300897.00,10081153.00
2006:Q4,1890931.00,151003.00,158777.00,473397.00,314621.00,-7774.00,270305.00,278079.00,1254277.00,-70713.00,839205.00,168481.00,51229.00,12498.00,253577.00,0.00,-17961.00,-18219.00,399.00,-141.00,503612.00,66191828.00,10195524.00
2007:Q1,1048281.00,243032.00,150455.00,467968.00,317513.00,92577.00,281272.00,188695.00,687804.00,-154029.00,547420.00,69025.00,166152.00,2497.00,56739.00,0.00,-13224.00,-13698.00,348.00,126.00,130669.00,67240109.00,10357980.00
2007:Q2,475098.00,-165242.00,143718.00,464497.00,320779.00,-308960.00,-5616.00,303344.00,504056.00,-570751.00,616414.00,198628.00,39234.00,10357.00,210173.00,0.00,-11470.00,-11624.00,95.00,59.00,147754.00,67715207.00,10460499.00
2007:Q3,-42079.00,399871.00,132592.00,456766.00,324175.00,267280.00,521117.00,253837.00,-360219.00,-581802.00,27393.00,86933.00,12352.00,5958.00,88946.00,0.00,-22522.00,-20844.00,-1635.00,-43.00,-59209.00,67673128.00,10547308.00
2007:Q4,-1173814.00,348818.00,118719.00,445495.00,326776.00,230100.00,450051.00,219951.00,-1498617.00,-682624.00,-437658.00,-129128.00,-109449.00,-6803.00,-132955.00,0.00,-11812.00,-9452.00,-1896.00,-464.00,-12204.00,66499314.00,10662159.00
2008:Q1,-2417487.00,424878.00,98316.00,425813.00,327497.00,326563.00,482518.00,155955.00,-2871585.00,-978817.00,-876488.00,-318796.00,-314817.00,-19452.00,-363216.00,0.00,-506.00,1733.00,-2511.00,271.00,29726.00,64081826.00,10831198.00
2008:Q2,-1535446.00,282811.00,87301.00,417394.00,330093.00,195510.00,154918.00,-40592.00,-2018300.00,-1103666.00,-440547.00,-39302.00,-373352.00,-3615.00,-57819.00,0.00,-21021.00,-18880.00,-2157.00,16.00,221065.00,62546381.00,11175407.00
2008:Q3,-2135800.00,487252.00,70798.00,401679.00,330881.00,416454.00,591975.00,175521.00,-2945994.00,-801087.00,-1100701.00,-475426.00,-114418.00,-23899.00,-430463.00,0.00,3938.00,3377.00,756.00,-195.00,319003.00,60410580.00,11029709.00
2008:Q4,-4219977.00,462525.00,36724.00,368706.00,331982.00,425801.00,175037.00,-250764.00,-4531595.00,-1038751.00,-1747549.00,-660523.00,-373275.00,-37027.00,-674470.00,0.00,-16929.00,-18220.00,2565.00,-1274.00,-133978.00,56190603.00,10941369.00
2009:Q1,-1400935.00,432290.00,27936.00,358664.00,330728.00,404354.00,348559.00,-55795.00,-2329265.00,-653769.00,-907832.00,-175935.00,-365098.00,-9797.00,-216834.00,0.00,-22738.00,-22372.00,643.00,-1009.00,518778.00,54789669.00,10858944.00
2009:Q2,930093.00,-40464.00,20409.00,349973.00,329564.00,-60873.00,-33071.00,27802.00,1109186.00,-307361.00,1085296.00,373405.00,-442694.00,19276.00,381264.00,0.00,-6960.00,-5275.00,-785.00,-901.00,-131669.00,55719762.00,10985194.00
2009:Q3,1406747.00,59743.00,32857.00,362291.00,329434.00,26886.00,95787.00,68901.00,1633205.00,-158340.00,1230813.00,416755.00,-314490.00,22550.00,435917.00,0.00,-32790.00,-30320.00,-1705.00,-766.00,-253411.00,57126509.00,10933020.00
2009:Q4,826208.00,255422.00,28573.00,358344.00,329771.00,226849.00,278211.00,51362.00,569745.00,71418.00,234473.00,110043.00,13097.00,6748.00,134268.00,-302.00,15077.00,17216.00,-2823.00,683.00,-14036.00,57952716.00,10992954.00
2010:Q1,1054300.00,327883.00,26930.00,355455.00,328525.00,300953.00,176767.00,-124186.00,673604.00,-41974.00,437686.00,133293.00,-7244.00,6542.00,145756.00,-455.00,-19843.00,-15828.00,-3526.00,-490.00,72656.00,59007016.00,11041455.00
2010:Q2,-979155.00,209355.00,36587.00,364804.00,328217.00,172768.00,169156.00,-3612.00,-1120799.00,41281.00,-755538.00,-283647.00,222400.00,-14894.00,-330093.00,-307.00,-25933.00,-25676.00,-393.00,136.00,-41778.00,58027861.00,11197645.00
2010:Q3,1639247.00,154634.00,31680.00,359993.00,328313.00,122954.00,122407.00,-547.00,1550215.00,-288170.00,1025127.00,350706.00,97713.00,15887.00,349097.00,-144.00,-27121.00,-26934.00,613.00,-800.00,-38481.00,59667109.00,11286659.00
