1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,264455.00,27055.00,237400.00,211452.00,25948.00,291.00,18.00,7241.00,27249.00,940.00,59771.00,69513.00,47934.00,29961.00,16118.00,1855.00,0.00,21579.00,30245.00,0.00,4443.00,4970.00,0.00,-564.00,-1074.00,-42.00,275.00,277.00,856.00,-78.00,934.00,0.00,1545.00,266.00,0.00,2728.00,13708.00,1709.00,584.00,8666.00,0.00,8504.00,6444.00,1403.00,231.00,123.00,303.00,83.00,79.00,-9742.00
1952:Q1,68620.00,11421.00,57199.00,54046.00,3153.00,77.00,287.00,1563.00,6878.00,259.00,11125.00,20305.00,11629.00,7242.00,3947.00,440.00,0.00,8676.00,9416.00,0.00,-896.00,1292.00,0.00,2469.00,819.00,44.00,1759.00,-153.00,-116.00,-145.00,29.00,0.00,293.00,144.00,0.00,668.00,4006.00,1376.00,180.00,740.00,0.00,697.00,1357.00,-753.00,0.00,43.00,50.00,24.00,19.00,-9180.00
1952:Q2,69612.00,6575.00,63037.00,55108.00,7929.00,186.00,100.00,1466.00,7050.00,270.00,16260.00,15079.00,11790.00,7296.00,4049.00,445.00,0.00,3290.00,7476.00,0.00,-1750.00,2275.00,0.00,2093.00,-341.00,-123.00,2336.00,221.00,208.00,-53.00,261.00,0.00,194.00,128.00,0.00,708.00,3728.00,-285.00,177.00,4186.00,0.00,4142.00,1731.00,2281.00,-17.00,71.00,76.00,26.00,18.00,1181.00
1952:Q3,71380.00,7308.00,64071.00,55787.00,8285.00,84.00,-69.00,1062.00,7111.00,276.00,16335.00,20091.00,11422.00,6934.00,4057.00,432.00,0.00,8668.00,11697.00,0.00,2816.00,1529.00,0.00,1687.00,1141.00,0.00,771.00,-225.00,195.00,-18.00,213.00,0.00,142.00,125.00,0.00,739.00,3796.00,490.00,178.00,3029.00,0.00,2984.00,1841.00,1087.00,-67.00,47.00,76.00,26.00,19.00,-3755.00
1952:Q4,73043.00,6700.00,66343.00,57869.00,8474.00,41.00,-296.00,1912.00,7283.00,251.00,17755.00,19431.00,12631.00,7935.00,4238.00,458.00,0.00,6800.00,11238.00,0.00,1988.00,2378.00,0.00,562.00,344.00,0.00,351.00,-133.00,200.00,37.00,163.00,0.00,161.00,108.00,0.00,773.00,3909.00,957.00,202.00,4438.00,0.00,4395.00,1765.00,2557.00,-49.00,57.00,65.00,23.00,20.00,-1676.00
1953:Q1,74174.00,11843.00,62331.00,58822.00,3509.00,51.00,348.00,2524.00,7172.00,306.00,12602.00,19896.00,13184.00,8415.00,4298.00,471.00,0.00,6712.00,9026.00,0.00,754.00,1894.00,0.00,387.00,-433.00,53.00,918.00,-151.00,353.00,23.00,330.00,0.00,208.00,137.00,0.00,774.00,3962.00,376.00,181.00,2314.00,0.00,2271.00,1587.00,379.00,14.00,214.00,77.00,21.00,22.00,-7293.00
1953:Q2,75143.00,6543.00,68600.00,59317.00,9283.00,137.00,115.00,2324.00,7351.00,263.00,18717.00,16887.00,13178.00,8375.00,4319.00,483.00,0.00,3710.00,8203.00,0.00,-3229.00,2632.00,0.00,3574.00,2356.00,83.00,868.00,267.00,169.00,-98.00,267.00,0.00,347.00,83.00,0.00,760.00,4107.00,-407.00,167.00,4493.00,0.00,4451.00,2220.00,1771.00,140.00,246.00,74.00,19.00,23.00,1830.00
1953:Q3,75125.00,7954.00,67171.00,59531.00,7640.00,82.00,-63.00,2117.00,7471.00,278.00,17095.00,20546.00,12961.00,8270.00,4197.00,495.00,0.00,7584.00,10113.00,0.00,2639.00,1578.00,0.00,324.00,-184.00,74.00,799.00,-365.00,158.00,24.00,134.00,0.00,36.00,77.00,0.00,738.00,4176.00,237.00,150.00,2529.00,0.00,2486.00,1979.00,682.00,-224.00,-14.00,63.00,19.00,24.00,-3451.00
1953:Q4,75126.00,6902.00,68224.00,59413.00,8811.00,58.00,-377.00,1856.00,7536.00,301.00,18337.00,20082.00,12701.00,8056.00,4148.00,497.00,0.00,7381.00,10774.00,0.00,1148.00,2131.00,0.00,-575.00,-1090.00,-55.00,331.00,239.00,310.00,45.00,265.00,0.00,-18.00,86.00,0.00,710.00,4128.00,2707.00,147.00,3393.00,0.00,3350.00,1731.00,1260.00,131.00,146.00,82.00,20.00,23.00,-1745.00
1954:Q1,75123.00,11073.00,64050.00,59915.00,4135.00,5.00,400.00,1440.00,7872.00,299.00,12753.00,18375.00,12700.00,7958.00,4179.00,564.00,0.00,5674.00,5546.00,0.00,-1569.00,2002.00,0.00,389.00,158.00,-14.00,513.00,-268.00,285.00,78.00,207.00,0.00,12.00,100.00,0.00,692.00,3974.00,-454.00,115.00,-128.00,0.00,-170.00,1413.00,-1870.00,105.00,90.00,92.00,21.00,21.00,-5622.00
1954:Q2,75042.00,5424.00,69618.00,60605.00,9013.00,47.00,183.00,1454.00,8056.00,286.00,18101.00,14524.00,13159.00,8135.00,4463.00,562.00,0.00,1364.00,5735.00,0.00,-984.00,2941.00,0.00,-446.00,-641.00,0.00,292.00,-97.00,372.00,47.00,325.00,0.00,172.00,53.00,0.00,679.00,3936.00,-1067.00,79.00,4371.00,0.00,4330.00,2818.00,1262.00,-73.00,225.00,98.00,22.00,19.00,3577.00
1954:Q3,75541.00,7166.00,68374.00,61284.00,7091.00,-123.00,-82.00,1404.00,8029.00,286.00,16197.00,19956.00,13388.00,8036.00,4788.00,565.00,0.00,6568.00,9399.00,0.00,4227.00,1611.00,0.00,-923.00,-1354.00,12.00,568.00,-149.00,376.00,86.00,290.00,0.00,-2.00,114.00,0.00,669.00,3963.00,-722.00,86.00,2831.00,0.00,2788.00,2102.00,236.00,71.00,304.00,75.00,22.00,21.00,-3759.00
1954:Q4,76888.00,6496.00,70392.00,62447.00,7945.00,-81.00,-475.00,1842.00,8060.00,293.00,17948.00,18255.00,14131.00,8479.00,5089.00,563.00,0.00,4124.00,9453.00,0.00,404.00,2742.00,0.00,-22.00,-114.00,-5.00,718.00,-621.00,417.00,101.00,316.00,0.00,-186.00,154.00,0.00,662.00,4029.00,1158.00,95.00,5329.00,0.00,5282.00,3020.00,1721.00,94.00,432.00,15.00,21.00,26.00,-307.00
