1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q2,5165.00,71.00,42.00,0.00,3505.00,830.00,121.00,-1300.00,-8.00,12.00,-2.00,518.00,630.00,460.00,104.00,0.00,-6.00,0.00,20.00,169.00,7618.00,405.00,-354.00,170.00,41.00,144.00,108.00,836.00,268.00,27.00,-7.00,0.00,37.00,1645.00,3082.00,830.00,0.00,0.00,0.00,-3.00,0.00,387.00,0.00,2.00,0.00,0.00,-2453.00
1967:Q3,6866.00,69.00,299.00,0.00,4233.00,912.00,0.00,2198.00,64.00,14.00,-4.00,537.00,498.00,-595.00,-587.00,0.00,-8.00,0.00,-801.00,37.00,8275.00,386.00,419.00,162.00,-30.00,40.00,151.00,473.00,-262.00,24.00,-4.00,0.00,28.00,1363.00,4296.00,912.00,0.00,0.00,0.00,126.00,0.00,116.00,0.00,75.00,0.00,0.00,-1409.00
1967:Q4,6513.00,71.00,2730.00,0.00,3739.00,796.00,154.00,-2501.00,103.00,12.00,-4.00,524.00,504.00,182.00,-1124.00,0.00,-9.00,0.00,1151.00,185.00,10187.00,409.00,2065.00,164.00,-16.00,185.00,80.00,877.00,-118.00,20.00,-8.00,0.00,70.00,1598.00,4195.00,796.00,0.00,0.00,0.00,-27.00,0.00,-86.00,0.00,-17.00,0.00,0.00,-3674.00
1968:Q1,10049.00,84.00,-1919.00,0.00,4809.00,1152.00,6.00,3818.00,5.00,6.00,-7.00,572.00,209.00,-61.00,490.00,0.00,-18.00,0.00,995.00,-92.00,7858.00,459.00,1059.00,176.00,19.00,-90.00,-142.00,-592.00,171.00,32.00,-6.00,0.00,114.00,1426.00,4406.00,1152.00,0.00,0.00,0.00,-7.00,0.00,-184.00,-1.00,-133.00,0.00,0.00,2191.00
1968:Q2,5853.00,90.00,491.00,0.00,3431.00,1032.00,104.00,-719.00,-201.00,7.00,-8.00,581.00,419.00,263.00,267.00,0.00,-21.00,0.00,-30.00,147.00,8279.00,470.00,-67.00,203.00,-7.00,156.00,-401.00,859.00,294.00,1.00,-8.00,0.00,141.00,1894.00,3255.00,1032.00,0.00,0.00,0.00,-9.00,0.00,286.00,1.00,179.00,0.00,0.00,-2426.00
1968:Q3,11071.00,92.00,634.00,0.00,4815.00,1183.00,-55.00,2706.00,1.00,6.00,-7.00,621.00,307.00,-441.00,754.00,0.00,-17.00,0.00,457.00,16.00,8243.00,486.00,-748.00,195.00,-64.00,-147.00,56.00,1215.00,-911.00,27.00,-3.00,0.00,157.00,2000.00,4652.00,1183.00,0.00,0.00,0.00,-37.00,0.00,164.00,-1.00,20.00,0.00,0.00,2828.00
1968:Q4,6994.00,89.00,725.00,0.00,4663.00,991.00,312.00,-850.00,-251.00,5.00,-6.00,692.00,494.00,5.00,-671.00,0.00,-9.00,0.00,811.00,-6.00,13374.00,510.00,3573.00,264.00,-33.00,-154.00,591.00,-962.00,995.00,84.00,-10.00,0.00,167.00,2276.00,4682.00,991.00,0.00,0.00,0.00,66.00,0.00,322.00,1.00,12.00,0.00,0.00,-6380.00
1969:Q1,15554.00,88.00,702.00,0.00,4692.00,1390.00,-344.00,6526.00,-1336.00,-21.00,-8.00,842.00,212.00,27.00,373.00,0.00,-10.00,1550.00,1079.00,-208.00,11078.00,608.00,1344.00,246.00,-43.00,-208.00,-81.00,-2112.00,248.00,182.00,-8.00,0.00,209.00,2880.00,4585.00,1390.00,0.00,0.00,0.00,13.00,0.00,507.00,0.00,-72.00,1390.00,0.00,4476.00
1969:Q2,9543.00,88.00,736.00,0.00,3529.00,1161.00,305.00,-2342.00,-111.00,-31.00,-5.00,833.00,532.00,104.00,1559.00,0.00,-25.00,1515.00,1542.00,153.00,13955.00,544.00,294.00,287.00,-22.00,153.00,-188.00,1944.00,-253.00,300.00,-8.00,0.00,212.00,3511.00,3805.00,1161.00,0.00,0.00,0.00,108.00,0.00,908.00,0.00,-44.00,1243.00,0.00,-4412.00
1969:Q3,19532.00,90.00,754.00,0.00,4991.00,1007.00,-192.00,7773.00,-150.00,6.00,-4.00,693.00,275.00,-161.00,199.00,0.00,-22.00,1630.00,2535.00,109.00,8535.00,391.00,-54.00,276.00,-13.00,109.00,421.00,-2451.00,-52.00,272.00,-4.00,0.00,163.00,3206.00,4914.00,1007.00,0.00,0.00,0.00,87.00,0.00,-411.00,0.00,-100.00,774.00,0.00,10998.00
1969:Q4,3502.00,120.00,538.00,0.00,5304.00,1498.00,574.00,-7788.00,1483.00,6.00,-1.00,977.00,442.00,393.00,-1572.00,0.00,-27.00,-259.00,1773.00,41.00,15707.00,703.00,3385.00,272.00,-32.00,41.00,34.00,468.00,-720.00,96.00,-11.00,0.00,236.00,2960.00,5571.00,1498.00,0.00,0.00,0.00,148.00,0.00,-267.00,0.00,-16.00,1342.00,0.00,-12205.00
1970:Q1,21560.00,104.00,-5950.00,7623.00,5626.00,1363.00,-122.00,6404.00,-2257.00,17.00,3.00,847.00,189.00,12.00,1965.00,0.00,-9.00,1334.00,4366.00,46.00,14844.00,644.00,583.00,284.00,-1.00,46.00,-227.00,-91.00,648.00,113.00,-9.00,0.00,198.00,3214.00,5733.00,1363.00,0.00,0.00,0.00,109.00,0.00,742.00,0.00,-66.00,1561.00,0.00,6716.00
1970:Q2,7382.00,107.00,-56.00,140.00,4580.00,1187.00,160.00,-4372.00,318.00,25.00,5.00,851.00,562.00,476.00,-126.00,0.00,-8.00,2064.00,1382.00,87.00,13102.00,693.00,768.00,295.00,2.00,87.00,-135.00,728.00,-628.00,65.00,-11.00,0.00,194.00,3330.00,4458.00,1187.00,0.00,0.00,0.00,179.00,0.00,128.00,-1.00,-217.00,1980.00,0.00,-5720.00
1970:Q3,6230.00,109.00,-391.00,342.00,6675.00,1388.00,-37.00,3569.00,-441.00,25.00,6.00,856.00,289.00,111.00,-368.00,0.00,1.00,634.00,-6542.00,4.00,9223.00,702.00,-479.00,280.00,-29.00,4.00,138.00,-1573.00,-539.00,38.00,-5.00,0.00,192.00,2206.00,6425.00,1388.00,0.00,0.00,0.00,-338.00,0.00,-20.00,1.00,256.00,576.00,0.00,-2993.00
1970:Q4,10165.00,110.00,-101.00,476.00,6603.00,1452.00,492.00,-1317.00,546.00,19.00,6.00,864.00,403.00,1181.00,-2169.00,0.00,-8.00,2853.00,-1357.00,112.00,19255.00,673.00,3912.00,284.00,-12.00,112.00,-320.00,1595.00,-847.00,40.00,-14.00,0.00,192.00,1742.00,6329.00,1452.00,0.00,0.00,0.00,817.00,0.00,283.00,0.00,118.00,2899.00,0.00,-9090.00
1971:Q1,17521.00,88.00,153.00,754.00,6973.00,1501.00,-491.00,6146.00,-975.00,12.00,-13.00,861.00,310.00,1035.00,3555.00,0.00,-20.00,-497.00,-1825.00,-45.00,19354.00,659.00,1341.00,1310.00,-11.00,-45.00,64.00,3912.00,595.00,-176.00,-17.00,0.00,212.00,2401.00,6656.00,1501.00,0.00,0.00,0.00,-2.00,0.00,747.00,61.00,191.00,-44.00,0.00,-1832.00
1971:Q2,5771.00,76.00,-287.00,404.00,5607.00,1710.00,-39.00,-1722.00,-1011.00,27.00,-17.00,836.00,575.00,-1361.00,902.00,0.00,-19.00,1285.00,-1165.00,-30.00,12648.00,625.00,-114.00,1321.00,49.00,-30.00,56.00,53.00,-273.00,-163.00,-18.00,0.00,224.00,2293.00,5225.00,1710.00,0.00,0.00,0.00,227.00,0.00,439.00,-44.00,-51.00,1119.00,0.00,-6876.00
1971:Q3,21727.00,74.00,145.00,685.00,6817.00,1981.00,-197.00,7283.00,548.00,54.00,-17.00,880.00,391.00,-269.00,1628.00,0.00,-28.00,2014.00,-354.00,93.00,16929.00,624.00,1655.00,1322.00,70.00,93.00,-54.00,-879.00,264.00,233.00,-10.00,0.00,223.00,1946.00,7051.00,1981.00,0.00,0.00,0.00,-23.00,0.00,44.00,87.00,6.00,2296.00,0.00,4799.00
1971:Q4,8918.00,80.00,-366.00,1052.00,7189.00,2266.00,538.00,-3638.00,332.00,-4.00,-16.00,993.00,558.00,46.00,-1273.00,0.00,-22.00,691.00,446.00,47.00,22822.00,650.00,7250.00,1376.00,-17.00,47.00,70.00,1042.00,41.00,177.00,-17.00,0.00,209.00,1422.00,6826.00,2266.00,0.00,0.00,0.00,-49.00,0.00,473.00,63.00,20.00,973.00,0.00,-13903.00
1972:Q1,23212.00,120.00,-19.00,920.00,7361.00,2291.00,-275.00,6487.00,2443.00,40.00,-18.00,1104.00,497.00,486.00,1887.00,66.00,155.00,378.00,-647.00,-64.00,19286.00,691.00,2389.00,1373.00,25.00,-64.00,-133.00,816.00,542.00,-175.00,-21.00,0.00,233.00,1832.00,7470.00,2291.00,0.00,0.00,0.00,115.00,0.00,248.00,468.00,116.00,1070.00,0.00,3926.00
