1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q3,9173941.00,1053129.00,8120812.00,7745798.00,375014.00,-4325.00,3740.00,251381.00,955927.00,33668.00,1540589.00,1496451.00,1514860.00,941630.00,475010.00,106623.00,-8403.00,-18409.00,736262.00,6248.00,93977.00,478239.00,31364.00,-147954.00,-38990.00,-223308.00,78675.00,35669.00,-15680.00,-22972.00,7292.00,0.00,-155165.00,-27190.00,4776.00,59448.00,437152.00,-69045.00,40092.00,754671.00,13256.00,720959.00,751280.00,94802.00,-52290.00,-82600.00,9768.00,17568.00,2888.00,44138.00
2002:Q4,9243890.00,1046685.00,8197205.00,7816164.00,381041.00,-9534.00,3740.00,221560.00,973252.00,15368.00,1547211.00,1191018.00,1513234.00,922674.00,491926.00,107088.00,-8454.00,-322216.00,669297.00,624.00,76791.00,85872.00,-49393.00,118724.00,-226542.00,-158960.00,107808.00,396417.00,-9524.00,-16620.00,7096.00,0.00,-79520.00,84656.00,4776.00,-5992.00,495372.00,-70465.00,17376.00,991513.00,17941.00,956107.00,845240.00,86762.00,19741.00,-5408.00,9772.00,17564.00,-100.00,356193.00
2003:Q1,9300427.00,1022350.00,8278077.00,7895212.00,382865.00,-6152.00,3820.00,210450.00,983433.00,14440.00,1552336.00,1332989.00,1525575.00,914014.00,511210.00,108777.00,-8426.00,-192586.00,754766.00,6764.00,-132689.00,510140.00,121853.00,-518768.00,-67803.00,-399829.00,-11989.00,-39148.00,53400.00,49360.00,4040.00,0.00,-223528.00,31213.00,4344.00,70608.00,713620.00,51393.00,66416.00,947353.00,17698.00,920379.00,716988.00,117060.00,37957.00,42474.00,5900.00,6508.00,2768.00,219347.00
2003:Q2,9424344.00,1019162.00,8405182.00,7994466.00,410716.00,-874.00,3860.00,235995.00,994295.00,11940.00,1624332.00,1366782.00,1568457.00,945761.00,520033.00,111105.00,-8442.00,-201675.00,1180486.00,9948.00,58385.00,294498.00,-79579.00,-315113.00,203475.00,-258319.00,80205.00,-340474.00,401904.00,398144.00,3760.00,0.00,-158669.00,367904.00,4396.00,71732.00,416752.00,52525.00,55804.00,1382161.00,11446.00,1362771.00,916716.00,128920.00,-45491.00,356666.00,5960.00,6584.00,1360.00,257550.00
2003:Q3,9550283.00,955174.00,8595109.00,8158204.00,436905.00,-2851.00,3948.00,259577.00,1008861.00,11644.00,1686900.00,1583771.00,1637037.00,978056.00,554131.00,113321.00,-8471.00,-53266.00,927719.00,-11876.00,-66728.00,224155.00,-318609.00,257941.00,-105077.00,671037.00,3714.00,-311733.00,-51864.00,-55272.00,3408.00,0.00,49643.00,212940.00,4444.00,78452.00,405304.00,58872.00,85046.00,980986.00,18612.00,955657.00,948737.00,95964.00,-9033.00,-86042.00,6032.00,6656.00,60.00,103130.00
2003:Q4,9689371.00,1024606.00,8664765.00,8256966.00,407799.00,2133.00,4048.00,252750.00,1027023.00,14472.00,1671185.00,1882322.00,1669924.00,981561.00,582123.00,114754.00,-8514.00,212398.00,1086605.00,6780.00,15322.00,177791.00,-175640.00,371086.00,34429.00,477542.00,38724.00,-179609.00,-69880.00,-73976.00,4096.00,0.00,-56343.00,239015.00,4440.00,39072.00,463528.00,53166.00,18266.00,874206.00,7467.00,860503.00,905959.00,81756.00,48596.00,-181836.00,6028.00,6652.00,-416.00,-211137.00
2004:Q1,9807415.00,1012953.00,8794462.00,8398575.00,395887.00,-5142.00,4204.00,256348.00,1045352.00,13504.00,1674737.00,2127343.00,1709470.00,994732.00,605762.00,117910.00,-8934.00,417873.00,1384226.00,9452.00,-125424.00,602416.00,124340.00,-31850.00,-83227.00,-86713.00,119156.00,18934.00,160932.00,152408.00,8524.00,0.00,-180003.00,181525.00,9540.00,-1392.00,546736.00,36573.00,51380.00,966353.00,13132.00,935733.00,732178.00,131741.00,-5112.00,72182.00,4744.00,17744.00,-256.00,-452606.00
2004:Q2,9971430.00,1027905.00,8943525.00,8513359.00,430166.00,-871.00,4332.00,252215.00,1067109.00,13764.00,1730523.00,1730065.00,1753962.00,1003509.00,638273.00,121069.00,-8889.00,-23897.00,1180478.00,10740.00,-174102.00,550441.00,-4208.00,-57366.00,-19049.00,-185847.00,126048.00,21483.00,108136.00,99452.00,8684.00,0.00,51716.00,-58937.00,9540.00,43312.00,549876.00,103928.00,47402.00,1204374.00,22380.00,1161162.00,1014782.00,75377.00,3062.00,63194.00,4748.00,17744.00,3088.00,458.00
2004:Q3,10110453.00,1067541.00,9042912.00,8649714.00,393198.00,198.00,4436.00,251290.00,1089469.00,-35108.00,1764827.00,1851369.00,1786017.00,1015294.00,656174.00,123253.00,-8704.00,65352.00,1012722.00,3900.00,17981.00,322045.00,-233474.00,251245.00,-155922.00,318693.00,196895.00,-108421.00,-36960.00,-45128.00,8168.00,0.00,-360782.00,151038.00,9644.00,36776.00,693304.00,73768.00,84236.00,947369.00,5708.00,922397.00,907972.00,130933.00,-96476.00,-24828.00,4796.00,17936.00,1328.00,-86543.00
2004:Q4,10322284.00,1094049.00,9228235.00,8809773.00,418462.00,291.00,4572.00,259436.00,1106380.00,13296.00,1766701.00,1980498.00,1824008.00,1031081.00,675190.00,126119.00,-8382.00,156490.00,1645904.00,11600.00,48850.00,340541.00,-105995.00,619644.00,201582.00,442255.00,134831.00,-159023.00,271508.00,261104.00,10404.00,0.00,-502018.00,234026.00,9644.00,40944.00,582784.00,67533.00,26842.00,1489413.00,16304.00,1453305.00,1082612.00,130693.00,18434.00,216770.00,4796.00,17940.00,1864.00,-213797.00
2005:Q1,10359054.00,1172493.00,9186561.00,8912377.00,274184.00,-1940.00,4564.00,255214.00,1124934.00,14508.00,1633320.00,1362392.00,1853311.00,1036639.00,702978.00,123055.00,-9361.00,-490919.00,446739.00,22552.00,-101980.00,424758.00,5281.00,-300744.00,-386614.00,-60453.00,109618.00,36706.00,-36552.00,-47732.00,11180.00,0.00,-265845.00,72464.00,9744.00,11276.00,567328.00,-12371.00,50827.00,937658.00,12404.00,910198.00,824912.00,113566.00,-42088.00,6076.00,7732.00,13904.00,1152.00,270928.00
2005:Q2,10518563.00,1197721.00,9320842.00,9092446.00,228396.00,1507.00,4632.00,270822.00,1146464.00,13836.00,1628721.00,2020895.00,1908321.00,1064717.00,727972.00,124673.00,-9041.00,112574.00,1407881.00,-11412.00,-96599.00,650967.00,64846.00,271241.00,-14626.00,258136.00,83287.00,-55557.00,51804.00,42644.00,9160.00,0.00,-299594.00,186701.00,9852.00,868.00,589412.00,-38242.00,28037.00,1295307.00,9104.00,1269247.00,1108654.00,112290.00,48383.00,-7900.00,7820.00,14056.00,2900.00,-392174.00
2005:Q3,10698054.00,1226605.00,9471449.00,9260353.00,211096.00,-2553.00,4752.00,261511.00,1172931.00,-116553.00,1754786.00,1274332.00,1944089.00,1069213.00,755891.00,127912.00,-8927.00,-669757.00,587704.00,8140.00,-137885.00,666496.00,62042.00,-348016.00,-179223.00,-91292.00,151127.00,-228628.00,-18692.00,-23712.00,5020.00,0.00,-477643.00,294518.00,9968.00,32744.00,493576.00,-96435.00,98892.00,1257461.00,22760.00,1223385.00,1145922.00,96954.00,-3599.00,-23792.00,7900.00,14212.00,-2896.00,480454.00
2005:Q4,10880467.00,1256089.00,9624378.00,9365612.00,258766.00,-218.00,4696.00,221905.00,1192278.00,628.00,1667407.00,1837030.00,1926849.00,1038411.00,768745.00,128709.00,-9016.00,-89819.00,1060446.00,-10948.00,-118816.00,184163.00,43091.00,631278.00,52424.00,315397.00,107979.00,155478.00,-8184.00,-7324.00,-860.00,0.00,-460946.00,214633.00,9960.00,5040.00,581028.00,-64281.00,54428.00,1150265.00,13516.00,1119933.00,1135072.00,78934.00,-1481.00,-100496.00,7904.00,14216.00,2600.00,-169623.00
2006:Q1,11210476.00,1320665.00,9889811.00,9513635.00,376176.00,-3137.00,4628.00,254240.00,1207653.00,20104.00,1810200.00,1758719.00,1974968.00,1077563.00,774299.00,132542.00,-9436.00,-216249.00,1197189.00,16128.00,42331.00,717477.00,178370.00,-36722.00,170340.00,-59065.00,-36653.00,-111344.00,95580.00,112996.00,-11604.00,-5812.00,-719125.00,260318.00,8028.00,85468.00,484860.00,17101.00,47375.00,1413438.00,8328.00,1388058.00,1174060.00,78986.00,46144.00,71536.00,17332.00,16252.00,800.00,51481.00
2006:Q2,11330228.00,1349169.00,9981059.00,9648601.00,332458.00,-581.00,4552.00,236256.00,1226429.00,15148.00,1774862.00,1563522.00,1939641.00,1071662.00,741710.00,136094.00,-9825.00,-376119.00,1109829.00,19148.00,-22672.00,507455.00,242650.00,110924.00,58843.00,-255209.00,140021.00,167269.00,148680.00,163336.00,-20104.00,5448.00,-477739.00,-70818.00,8120.00,6848.00,595944.00,399.00,40890.00,1485949.00,33660.00,1435169.00,1228207.00,114821.00,89852.00,-15240.00,17528.00,16436.00,684.00,211340.00
2006:Q3,11440074.00,1358921.00,10081153.00,9781984.00,299169.00,-2165.00,4544.00,235640.00,1242614.00,15572.00,1755142.00,933829.00,1912404.00,1081900.00,701965.00,138844.00,-10305.00,-978575.00,152844.00,-3668.00,-18711.00,501412.00,43364.00,-686583.00,-342008.00,87717.00,81525.00,-513816.00,26172.00,34996.00,-27160.00,18336.00,-455810.00,111150.00,8208.00,49688.00,542816.00,-2834.00,37640.00,1131419.00,252.00,1114363.00,939274.00,124000.00,-17095.00,50468.00,17716.00,16616.00,188.00,821313.00
2006:Q4,11595005.00,1399481.00,10195524.00,9877748.00,317776.00,-1220.00,4612.00,232356.00,1258482.00,15452.00,1787330.00,1851230.00,1893588.00,1089539.00,672949.00,141973.00,-10873.00,-42358.00,1036300.00,-7212.00,-161804.00,215700.00,407176.00,49419.00,-275695.00,75502.00,48187.00,201425.00,-13560.00,-1040.00,-18500.00,5980.00,-329460.00,342442.00,8208.00,59316.00,478996.00,-36659.00,23739.00,1078658.00,23528.00,1037914.00,648623.00,162621.00,58079.00,150872.00,17720.00,16616.00,600.00,-63900.00
2007:Q1,11820595.00,1462615.00,10357980.00,10018467.00,339513.00,-1103.00,4628.00,235872.00,1270050.00,2752.00,1836952.00,1862701.00,1871870.00,1099198.00,634610.00,148592.00,-10530.00,-9169.00,906815.00,14352.00,65265.00,719489.00,168416.00,-449712.00,-344248.00,249501.00,73545.00,-428510.00,170564.00,174840.00,-16124.00,11848.00,-558681.00,303641.00,9832.00,6864.00,450628.00,-42947.00,49104.00,915984.00,10264.00,885932.00,823198.00,126322.00,-26436.00,-49956.00,12804.00,17592.00,2196.00,-25748.00
2007:Q2,11948502.00,1488003.00,10460499.00,10144737.00,315762.00,-950.00,4772.00,236397.00,1283116.00,4792.00,1824761.00,1038477.00,1857987.00,1110056.00,607051.00,152010.00,-11130.00,-819510.00,441721.00,25580.00,-155424.00,414856.00,318456.00,-203790.00,50676.00,53720.00,87030.00,-395215.00,247072.00,265864.00,-18636.00,-156.00,-969319.00,180798.00,9944.00,26708.00,553544.00,-44068.00,37363.00,1261231.00,29308.00,1214015.00,837361.00,138798.00,124.00,224788.00,12944.00,17788.00,120.00,786285.00
2007:Q3,12047423.00,1500115.00,10547308.00,10258756.00,288552.00,-2123.00,4728.00,230549.00,1296698.00,4176.00,1804772.00,2859610.00,1827064.00,1114971.00,567662.00,155903.00,-11472.00,1032546.00,1870467.00,19656.00,-250861.00,462869.00,269950.00,1389015.00,-30819.00,638461.00,48148.00,733225.00,6924.00,4656.00,-13616.00,15884.00,-709158.00,197741.00,10056.00,-12936.00,458148.00,-45644.00,74706.00,837920.00,6196.00,811872.00,760546.00,182340.00,462.00,-144564.00,13088.00,17984.00,1868.00,-1054838.00
2007:Q4,12184202.00,1522043.00,10662159.00,10366771.00,295388.00,-341.00,4788.00,221738.00,1307104.00,15536.00,1803565.00,2702066.00,1781978.00,1114843.00,519728.00,158965.00,-11558.00,920088.00,1768264.00,11516.00,40908.00,332882.00,197558.00,1228074.00,159503.00,343190.00,-106811.00,832191.00,445920.00,454204.00,-11492.00,3208.00,-1372834.00,348913.00,10052.00,19248.00,537136.00,-54083.00,22975.00,848176.00,43892.00,786312.00,512630.00,155007.00,-10717.00,116304.00,13088.00,17984.00,-12.00,-898501.00
2008:Q1,12366983.00,1535785.00,10831198.00,10433051.00,398147.00,-3884.00,4884.00,195143.00,1309988.00,14236.00,1880274.00,2618650.00,1703251.00,1091546.00,467144.00,155644.00,-11083.00,915399.00,1693012.00,-14628.00,119633.00,656244.00,629324.00,-271631.00,-17749.00,-10792.00,-78813.00,-164276.00,520960.00,515504.00,-9108.00,14564.00,-184507.00,7909.00,7476.00,25116.00,465612.00,-344164.00,75667.00,777613.00,12276.00,735917.00,357590.00,158798.00,47605.00,163200.00,8724.00,24092.00,5328.00,-738376.00
