date,FA156902505.A,FA156300003.A,FA156902605.A,FA156025005.A,FA156020001.A,FA156401001.A,FA156240101.A,FA156402101.A,FA156140005.A,FA156402101.A,FA156025105.A,FA156020101.A,FA156401101.A,FA156150105.A,FA156130101.A,FA156120105.A,FA156121101.A,FA156122101.A,FA156130001.A,FA156140005.A,FA156220001.A,FA156404105.A,FA156600001.A,FA156403101.A,FA156403001.A,FA156012095.A,FA156901001.A,FA156006005.A,FA156006315.A,FA156006005.A,FA155440005.A,FA155050905.A,FA155019005.A,FA155012005.A,FA165013005.A,FA156300003.A,FA155420003.A,FA155000905.A,FA155000905.A,FA154090005.A,FA154000005.A,FA153020005.A,FA153030005.A,FA153091003.A,FA313131003.A,FA154022005.A,FA153061105.A,FA153061705.A,FA153062005.A,FA153063005.A,FA154023005.A,FA154041005.A,FA153065005.A,FA153081005.A,FA153064105.A,FA153064205.A,FA153034005.A,FA152090205.A,FA153094305.A,FA153052005.A,FA153076005.A,FA153040005.A,FA153050005.A,FA543195005.A,FA313195105.A,FA163070005.A,FA154190005.A,FA163162003.A,FA154123005.A,FA154141005.A,FA153166000.A,FA153168005.A,FA153169005.A,FA153165005.A,FA543077073.A,FA163170005.A,FA155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010085.A,FR155035005.A,FR155111005.A,FR165015205.A,FR165013765.A,FR158080095.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052045.A,FR158200095.A,FC152090005.A,FL152000005.A,FL152010005.A,LM155035005.A,FL155111005.A,FL165015205.A,FL165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,FL153091003.A,FL153030005.A,FL313131003.A,FL154022005.A,FL153061105.A,FL153061705.A,FL153062005.A,FL153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,FL152090205.A,FL153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL543195005.A,FL313195105.A,FL163070005.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170005.A,FL152090005.A
1989,592436.00,118237.00,474199.00,211746.00,184718.00,27028.00,62521.00,199933.00,4345198.00,199933.00,3142567.00,2583051.00,559516.00,1321181.00,794802.00,526379.00,157797.00,368582.00,318482.00,4345198.00,567734.00,521070.00,385231.00,23171.00,27146.00,3909328.00,3592816.00,316511.00,305724.00,316511.00,10787.00,129012.00,251054.00,209149.00,41906.00,118237.00,-3806.00,176713.00,176713.00,490067.00,87970.00,1694.00,85511.00,765.00,0.00,107684.00,45588.00,24186.00,29983.00,7927.00,18190.00,10193.00,7997.00,-53920.00,-123252.00,26946.00,78574.00,-36188.00,0.00,324187.00,11818.00,29335.00,277736.00,5298.00,0.00,5956.00,292691.00,3151.00,272193.00,40099.00,46979.00,-9545.00,2665.00,232094.00,829.00,16518.00,197375.00,187355.00,96343.00,-3258.00,73608.00,-20662.00,479451.00,449124.00,29016.00,898.00,413.00,791368.00,514857.00,43040.00,156617.00,0.00,76854.00,1270818.00,1763898.00,24834722.00,9464624.00,7444347.00,1925665.00,68558.00,26054.00,15370098.00,3097594.00,462190.00,11874.00,2623530.00,0.00,1297514.00,399863.00,78611.00,619514.00,199526.00,183580.00,55265.00,128315.00,5989902.00,2177525.00,461721.00,350131.00,3000525.00,0.00,4740863.00,155955.00,365250.00,4141760.00,77898.00,0.00,60646.00,24834722.00,3421964.00,82715.00,3260516.00,934847.00,809285.00,8705.00,116857.00,2325669.00,16371.00,62362.00,21412758.00
1990,642455.00,125126.00,517329.00,233655.00,203054.00,30601.00,66509.00,217165.00,4598799.00,217165.00,3342670.00,2741199.00,601471.00,1376579.00,823059.00,553520.00,168824.00,384696.00,337614.00,4598799.00,594668.00,574674.00,410108.00,22193.00,29816.00,4161074.00,3825627.00,335448.00,319693.00,335448.00,15755.00,110454.00,239875.00,194687.00,45188.00,125126.00,-4295.00,209239.00,209239.00,661528.00,40076.00,-11539.00,50205.00,1410.00,0.00,215747.00,96359.00,35623.00,35880.00,47885.00,20506.00,9586.00,10920.00,31409.00,-56786.00,28865.00,38923.00,20407.00,0.00,347920.00,14384.00,27023.00,300946.00,5567.00,0.00,5871.00,241031.00,2979.00,226882.00,19608.00,15106.00,887.00,3615.00,207274.00,88.00,11082.00,420497.00,285303.00,77949.00,0.00,-3905.00,-211259.00,96799.00,59698.00,35489.00,1327.00,285.00,-142166.00,-136379.00,-24646.00,35825.00,0.00,-16966.00,-45367.00,559628.00,25664546.00,9746913.00,7604464.00,2039103.00,74319.00,29027.00,15917633.00,3137656.00,450651.00,13427.00,2673578.00,0.00,1535570.00,509197.00,121823.00,655388.00,249162.00,204085.00,64851.00,139234.00,5892985.00,1981360.00,465940.00,389054.00,3056631.00,0.00,5080819.00,170339.00,391738.00,4435277.00,83465.00,0.00,66517.00,25664546.00,3692159.00,85694.00,3516562.00,954455.00,824391.00,9592.00,120472.00,2562107.00,16459.00,73444.00,21972386.00
1991,683950.00,130594.00,553356.00,252425.00,218326.00,34099.00,71474.00,229456.00,4713064.00,229456.00,3451998.00,2814478.00,637520.00,1377089.00,806037.00,571052.00,180170.00,390882.00,345479.00,4713064.00,588901.00,650507.00,430182.00,17636.00,36085.00,4326039.00,3960154.00,365885.00,351433.00,365885.00,14452.00,95822.00,230675.00,183356.00,47320.00,130594.00,-4260.00,255611.00,255611.00,572768.00,-26818.00,54379.00,-82225.00,1028.00,0.00,59889.00,11496.00,-5337.00,35045.00,18685.00,32506.00,30610.00,1896.00,161540.00,25510.00,90729.00,17980.00,27321.00,0.00,341507.00,4836.00,25172.00,305614.00,5885.00,0.00,4144.00,208418.00,3817.00,196266.00,13009.00,-8810.00,-1852.00,23671.00,183257.00,-722.00,9057.00,364351.00,122114.00,39363.00,-1176.00,-24812.00,-108739.00,76204.00,37143.00,38907.00,-126.00,280.00,921046.00,815567.00,76350.00,-68009.00,0.00,97138.00,997249.00,1470797.00,27347360.00,9957796.00,7729317.00,2117373.00,78767.00,32339.00,17389564.00,3110853.00,505030.00,14565.00,2591258.00,0.00,1563743.00,523066.00,104808.00,687041.00,248828.00,236591.00,95461.00,141130.00,6878090.00,2822437.00,633019.00,407034.00,3015600.00,0.00,5529625.00,175175.00,418577.00,4846523.00,89350.00,0.00,70661.00,27347360.00,3904177.00,89511.00,3716428.00,967464.00,815581.00,7740.00,144143.00,2748964.00,15737.00,82501.00,23443183.00
1992,728684.00,136268.00,592416.00,273018.00,234772.00,38246.00,73853.00,245544.00,5000453.00,245544.00,3671132.00,2965541.00,705592.00,1428246.00,793893.00,634353.00,189051.00,445301.00,344469.00,5000453.00,612802.00,731750.00,454951.00,16287.00,39054.00,4641683.00,4215655.00,426028.00,420348.00,426028.00,5680.00,124761.00,265292.00,215864.00,49428.00,136268.00,-4264.00,295587.00,295587.00,596967.00,-2246.00,111475.00,-114894.00,1173.00,0.00,69532.00,97261.00,17904.00,-41387.00,-4246.00,-16707.00,-9913.00,-6794.00,155779.00,28018.00,140708.00,-42633.00,29686.00,0.00,388118.00,9791.00,28612.00,341235.00,8480.00,0.00,2491.00,207587.00,2380.00,200455.00,20787.00,9188.00,6989.00,4610.00,179669.00,25.00,4727.00,389380.00,153860.00,56405.00,-9790.00,13452.00,-93793.00,144852.00,124762.00,19573.00,280.00,238.00,308380.00,299825.00,27303.00,-43646.00,0.00,24898.00,453231.00,1027440.00,28582386.00,10274255.00,7961945.00,2193351.00,82840.00,36119.00,18308131.00,2996321.00,616505.00,15600.00,2364216.00,0.00,1669828.00,633394.00,123316.00,642789.00,270329.00,219884.00,85548.00,134336.00,7275823.00,3112850.00,801030.00,364401.00,2997542.00,0.00,6073124.00,184966.00,447710.00,5342618.00,97830.00,0.00,73152.00,28582386.00,4111764.00,91891.00,3916883.00,988251.00,824769.00,14729.00,148753.00,2928633.00,15762.00,87228.00,24470622.00
1993,781051.00,145728.00,635323.00,291410.00,250280.00,41130.00,73751.00,270162.00,5218996.00,270162.00,3820671.00,3079341.00,741331.00,1469255.00,784758.00,684496.00,204734.00,479762.00,341092.00,5218996.00,648755.00,778935.00,477425.00,14054.00,47169.00,4838635.00,4470998.00,367638.00,351083.00,367638.00,16555.00,140999.00,291019.00,242941.00,48078.00,145728.00,-4292.00,210085.00,210085.00,537327.00,-72650.00,51076.00,-122646.00,-1080.00,0.00,31398.00,38317.00,-70508.00,-47486.00,111074.00,18499.00,26763.00,-8264.00,135093.00,-95305.00,187808.00,-3073.00,45663.00,0.00,420744.00,5699.00,35879.00,371564.00,7602.00,0.00,4244.00,270857.00,1061.00,261304.00,94189.00,61400.00,8844.00,23945.00,167116.00,506.00,7986.00,266470.00,161135.00,73766.00,-1622.00,32606.00,-56386.00,165151.00,130288.00,35040.00,-283.00,106.00,708865.00,461344.00,93407.00,94860.00,0.00,59254.00,874016.00,1386234.00,30241845.00,10651510.00,8225897.00,2302157.00,85115.00,38341.00,19590335.00,2924964.00,667581.00,15757.00,2241626.00,0.00,1737155.00,668515.00,53234.00,596799.00,418607.00,238383.00,112311.00,126072.00,8059591.00,3478889.00,1082245.00,361328.00,3137129.00,0.00,6552847.00,190665.00,484813.00,5771937.00,105432.00,0.00,77396.00,30241845.00,4384988.00,92952.00,4180554.00,1082439.00,886169.00,23573.00,172697.00,3098115.00,16268.00,95214.00,25856857.00
1994,832440.00,155284.00,677156.00,307628.00,264345.00,43283.00,77172.00,292356.00,5496322.00,292356.00,4010130.00,3236589.00,773541.00,1543052.00,795148.00,747904.00,235217.00,512687.00,349216.00,5496322.00,693072.00,815708.00,508180.00,13255.00,51594.00,5072439.00,4741020.00,331419.00,315953.00,331419.00,15466.00,166146.00,325974.00,276952.00,49022.00,155284.00,-4543.00,149806.00,149806.00,602672.00,-52781.00,-31147.00,-24728.00,3094.00,0.00,363144.00,183745.00,126652.00,-29152.00,81899.00,-5027.00,3434.00,-8461.00,-75158.00,-123756.00,-7354.00,11937.00,44015.00,0.00,367911.00,6603.00,35885.00,317372.00,8051.00,0.00,4583.00,328306.00,3186.00,320168.00,154451.00,134999.00,9394.00,10058.00,165717.00,529.00,4423.00,274366.00,346456.00,93661.00,-4778.00,133013.00,-124560.00,185142.00,156304.00,28319.00,-223.00,742.00,85154.00,-4624.00,-76408.00,168635.00,0.00,-2449.00,270296.00,932704.00,31502173.00,11089861.00,8537120.00,2424137.00,87566.00,41038.00,20412312.00,2872290.00,636434.00,18847.00,2217009.00,0.00,2236574.00,890451.00,212720.00,584451.00,548952.00,232997.00,115745.00,117252.00,8064335.00,3350509.00,998483.00,373265.00,3342078.00,0.00,6924137.00,197268.00,520348.00,6093038.00,113483.00,0.00,81979.00,31502173.00,4712612.00,96138.00,4500040.00,1236208.00,1021168.00,32285.00,182755.00,3263832.00,16797.00,99637.00,26789561.00
1995,885734.00,164822.00,720912.00,324187.00,278543.00,45644.00,77533.00,319193.00,5789416.00,319193.00,4202649.00,3418022.00,784627.00,1657477.00,857006.00,800472.00,257987.00,542485.00,389903.00,5789416.00,748406.00,864727.00,532800.00,18728.00,54565.00,5337099.00,4984177.00,352923.00,334015.00,352923.00,18907.00,148610.00,318235.00,266594.00,51641.00,164822.00,-4803.00,185405.00,185405.00,605342.00,82126.00,-49873.00,127434.00,4565.00,0.00,-22014.00,-10092.00,25988.00,-82951.00,45041.00,21745.00,29778.00,-8033.00,125296.00,-41752.00,49353.00,98825.00,18870.00,0.00,394277.00,9557.00,40183.00,336518.00,8019.00,0.00,3912.00,334286.00,221.00,323237.00,169753.00,146990.00,18511.00,4252.00,153484.00,718.00,10110.00,271056.00,151214.00,94535.00,-1219.00,-27753.00,-85651.00,165715.00,155187.00,10593.00,-527.00,462.00,1777337.00,1189502.00,162382.00,156644.00,0.00,268809.00,1943052.00,2428281.00,34264742.00,11497298.00,8834680.00,2529265.00,90118.00,43235.00,22767444.00,2954498.00,586561.00,23356.00,2344581.00,0.00,2165245.00,844973.00,227307.00,490640.00,602325.00,254742.00,145523.00,109219.00,9697694.00,4498259.00,1210218.00,472090.00,3517127.00,0.00,7609374.00,206825.00,566188.00,6714859.00,121502.00,0.00,85891.00,34264742.00,5046900.00,96359.00,4823279.00,1405963.00,1168160.00,50796.00,187007.00,3417316.00,17515.00,109747.00,29217842.00
1996,931560.00,172679.00,758881.00,339663.00,292390.00,47273.00,80007.00,339211.00,6133138.00,339211.00,4422109.00,3616470.00,805640.00,1786196.00,875309.00,910887.00,302175.00,608712.00,414378.00,6133138.00,837083.00,906325.00,555078.00,22878.00,56898.00,5613282.00,5268069.00,345213.00,322103.00,345213.00,23110.00,176703.00,354027.00,299200.00,54827.00,172679.00,-4645.00,145400.00,145400.00,615278.00,111712.00,-41713.00,141060.00,12365.00,0.00,36895.00,-16869.00,105818.00,-44028.00,-8027.00,37575.00,45666.00,-8091.00,43238.00,-145469.00,162898.00,28796.00,-2987.00,0.00,378880.00,2753.00,40137.00,328188.00,7802.00,0.00,6979.00,349857.00,6081.00,333743.00,125315.00,105718.00,-10113.00,29710.00,208428.00,791.00,9242.00,265422.00,311499.00,110225.00,0.00,81252.00,-120022.00,201359.00,215137.00,-11560.00,-1992.00,-227.00,861010.00,408263.00,137240.00,122004.00,0.00,193503.00,1062369.00,1695971.00,36323072.00,11985981.00,9221345.00,2627930.00,91444.00,45262.00,24337091.00,3065791.00,544831.00,35469.00,2485491.00,0.00,2282024.00,899121.00,348671.00,455236.00,578996.00,292317.00,191189.00,101128.00,10341407.00,4756067.00,1450356.00,498840.00,3636144.00,0.00,8262327.00,209578.00,610646.00,7312799.00,129304.00,0.00,93226.00,36323072.00,5409259.00,102440.00,5169783.00,1531293.00,1273878.00,40683.00,216732.00,3638491.00,18306.00,118730.00,30913813.00
1997,984339.00,182134.00,802205.00,358223.00,308723.00,49501.00,82895.00,361087.00,6545521.00,361087.00,4714693.00,3876844.00,837849.00,1911203.00,921566.00,989637.00,337927.00,651710.00,441461.00,6545521.00,931820.00,935418.00,587241.00,19446.00,68414.00,5912910.00,5560721.00,352190.00,325216.00,352190.00,26974.00,193585.00,380550.00,312475.00,68075.00,182134.00,-4831.00,131631.00,131631.00,568627.00,107972.00,-40965.00,142404.00,6533.00,0.00,-79107.00,-135672.00,63333.00,14532.00,-21300.00,22292.00,29966.00,-7674.00,78275.00,-170504.00,198123.00,69793.00,-19137.00,0.00,431721.00,2000.00,46343.00,372713.00,10665.00,0.00,7474.00,353934.00,7131.00,336953.00,117538.00,70287.00,9835.00,37416.00,219415.00,335.00,9515.00,214693.00,148378.00,127581.00,0.00,-62265.00,-83062.00,380434.00,420986.00,-37526.00,-3059.00,33.00,2556341.00,1600755.00,187527.00,401313.00,0.00,366746.00,2936775.00,3410369.00,40087375.00,12688382.00,9826911.00,2717985.00,94610.00,48876.00,27398993.00,3162309.00,503866.00,37179.00,2621264.00,0.00,2160938.00,801718.00,397986.00,444226.00,517008.00,314609.00,221155.00,93454.00,12609277.00,6191067.00,1831257.00,568633.00,4018320.00,0.00,9051161.00,211578.00,664963.00,8034651.00,139969.00,0.00,100700.00,40087375.00,5763193.00,109571.00,5506736.00,1648831.00,1344165.00,50518.00,254148.00,3857906.00,18641.00,128245.00,34324182.00
1998,1049472.00,194532.00,854940.00,384958.00,330048.00,54910.00,84431.00,385551.00,7052807.00,385551.00,5077827.00,4181616.00,896211.00,2052739.00,988193.00,1064547.00,355442.00,709105.00,463310.00,7052807.00,1032420.00,957915.00,624651.00,25995.00,71296.00,6308350.00,5903029.00,405321.00,372928.00,405321.00,32393.00,234868.00,435294.00,355020.00,80274.00,194532.00,-5893.00,138060.00,138060.00,714954.00,111593.00,24848.00,86199.00,546.00,0.00,38275.00,-58039.00,85563.00,-2219.00,12969.00,67457.00,72565.00,-5108.00,-19668.00,-231108.00,149549.00,98961.00,-37071.00,0.00,507431.00,-1046.00,44382.00,453808.00,10287.00,0.00,9867.00,440241.00,11758.00,422223.00,110733.00,97107.00,-7576.00,21202.00,311491.00,-1414.00,7674.00,274713.00,376369.00,167608.00,0.00,72108.00,-136653.00,676795.00,732356.00,-51842.00,-3784.00,66.00,2372247.00,1566111.00,232233.00,276720.00,0.00,297183.00,3049042.00,3798339.00,44325956.00,13777896.00,10787649.00,2833751.00,103614.00,52882.00,30548060.00,3270429.00,528714.00,37725.00,2703990.00,0.00,2179723.00,747465.00,469053.00,438843.00,524362.00,382066.00,293720.00,88346.00,14664672.00,7526071.00,2213039.00,667594.00,4257969.00,0.00,9940602.00,210532.00,718262.00,8861552.00,150256.00,0.00,110567.00,44325956.00,6203435.00,121329.00,5928960.00,1759563.00,1441272.00,42942.00,275349.00,4169397.00,17227.00,135919.00,38122521.00
1999,1122065.00,210937.00,911128.00,407552.00,347309.00,60243.00,87325.00,416252.00,7435362.00,416252.00,5410309.00,4458005.00,952304.00,2095315.00,984380.00,1110935.00,346399.00,764535.00,486514.00,7435362.00,1112116.00,992202.00,661285.00,33973.00,77822.00,6610313.00,6307024.00,303290.00,267022.00,303290.00,36268.00,256443.00,473962.00,388206.00,85756.00,210937.00,-6583.00,10580.00,10580.00,539710.00,76846.00,-19724.00,93636.00,2934.00,0.00,-33524.00,-10394.00,75290.00,16285.00,-114705.00,64359.00,57716.00,6643.00,35673.00,-94983.00,97236.00,101380.00,-67960.00,0.00,393438.00,67.00,49013.00,332997.00,11361.00,0.00,2918.00,557651.00,10413.00,539326.00,156816.00,112351.00,-25905.00,70370.00,382510.00,2136.00,5776.00,-17941.00,492434.00,213404.00,-1269.00,308820.00,28521.00,721883.00,780590.00,-56066.00,-3280.00,638.00,3283786.00,2188048.00,340862.00,302502.00,0.00,452374.00,4005669.00,4765125.00,49648779.00,14967264.00,11804387.00,2991089.00,114287.00,57501.00,34681515.00,3354002.00,508967.00,40659.00,2804376.00,0.00,2397303.00,825419.00,579484.00,501151.00,491249.00,446425.00,351436.00,94989.00,17530926.00,9619135.00,2651137.00,768974.00,4491679.00,0.00,10839375.00,210599.00,783859.00,9682923.00,161994.00,0.00,113485.00,49648779.00,6761134.00,131742.00,6468262.00,1918677.00,1553622.00,19336.00,345719.00,4549585.00,19435.00,141695.00,42887646.00
2000,1202740.00,230063.00,972677.00,434884.00,371417.00,63467.00,90314.00,447480.00,8038869.00,447480.00,5856580.00,4825865.00,1030716.00,2275520.00,1071323.00,1204197.00,383329.00,820868.00,540710.00,8038869.00,1236556.00,1044876.00,705840.00,42434.00,83724.00,7100059.00,6792389.00,307669.00,272029.00,307669.00,35640.00,266228.00,503105.00,408163.00,94942.00,230063.00,-6814.00,5802.00,5802.00,367820.00,190961.00,-103568.00,286917.00,7612.00,0.00,-52542.00,-206404.00,29933.00,17939.00,105990.00,112021.00,111202.00,819.00,-335296.00,-554840.00,77383.00,161646.00,-19485.00,0.00,442576.00,-747.00,42858.00,393585.00,6880.00,0.00,10100.00,587497.00,5759.00,575486.00,180704.00,176545.00,-4394.00,8553.00,394782.00,125.00,6127.00,-219677.00,-324428.00,246685.00,0.00,-345634.00,225478.00,1435470.00,1473610.00,-36006.00,-2631.00,496.00,-751501.00,-819656.00,-262321.00,486735.00,0.00,-156259.00,683969.00,631570.00,50877719.00,16915383.00,13524230.00,3201768.00,127346.00,62039.00,33962336.00,3522072.00,405349.00,48271.00,3068452.00,0.00,2257560.00,589317.00,617851.00,488397.00,561995.00,558446.00,462638.00,95808.00,16332335.00,7974639.00,2466199.00,932567.00,4958930.00,0.00,11168339.00,209852.00,819098.00,9970515.00,168874.00,0.00,123585.00,50877719.00,7358504.00,137501.00,7053621.00,2110481.00,1741267.00,14942.00,354272.00,4943140.00,19560.00,147822.00,43519216.00
2001,1279381.00,250179.00,1029202.00,453423.00,386739.00,66684.00,95325.00,480454.00,8308003.00,480454.00,6046546.00,4954436.00,1092110.00,2347757.00,1073341.00,1274416.00,369155.00,905262.00,566754.00,8308003.00,1239323.00,1145830.00,733196.00,46769.00,89801.00,7438282.00,7103108.00,335174.00,304833.00,335174.00,30341.00,276875.00,534871.00,435737.00,99135.00,250179.00,-7818.00,27958.00,27958.00,564047.00,356002.00,74619.00,280978.00,405.00,0.00,-152145.00,-94929.00,-133408.00,51343.00,24848.00,47787.00,42115.00,5672.00,-198336.00,-440820.00,98308.00,164111.00,-19934.00,0.00,509856.00,12511.00,74093.00,416714.00,6538.00,0.00,884.00,627283.00,13827.00,614900.00,96544.00,150559.00,-16146.00,-37870.00,518356.00,-443.00,-1001.00,-63236.00,212300.00,230676.00,-1989.00,74807.00,91193.00,1013092.00,1085791.00,-68109.00,-2895.00,-1695.00,-1091681.00,-660569.00,-226075.00,203215.00,0.00,-408252.00,-78590.00,438543.00,51943547.00,18432970.00,14864696.00,3364335.00,140185.00,63754.00,33510577.00,3878074.00,479968.00,48676.00,3349430.00,0.00,2058517.00,439975.00,417671.00,543112.00,657759.00,606233.00,504753.00,101480.00,15448326.00,6873677.00,2336419.00,1096678.00,5141552.00,0.00,11394958.00,222363.00,880004.00,10117179.00,175412.00,0.00,124469.00,51943547.00,7985787.00,151328.00,7668521.00,2207025.00,1891827.00,-1204.00,316402.00,5461496.00,19117.00,146821.00,43957759.00
2002,1357192.00,266619.00,1090573.00,489062.00,412097.00,76965.00,102963.00,498549.00,8410259.00,498549.00,6141911.00,4996411.00,1145500.00,2329010.00,993022.00,1335988.00,398629.00,937360.00,559211.00,8410259.00,1054665.00,1250485.00,751497.00,34195.00,99465.00,7789312.00,7384051.00,405261.00,376204.00,405261.00,29057.00,305178.00,580124.00,473891.00,106233.00,266619.00,-8327.00,71026.00,71026.00,639748.00,292306.00,-15751.00,306796.00,1261.00,0.00,37256.00,-130751.00,-142847.00,95301.00,215553.00,-53424.00,-60139.00,6715.00,-177532.00,-151867.00,77224.00,-31523.00,-71366.00,0.00,536405.00,21556.00,59529.00,445106.00,10214.00,0.00,4736.00,779758.00,12569.00,748880.00,33178.00,105180.00,-24003.00,-47999.00,715702.00,886.00,17423.00,-140010.00,-31794.00,238767.00,0.00,-59525.00,211036.00,1059086.00,1137665.00,-75640.00,-1901.00,-1039.00,-1900645.00,-1503901.00,-417040.00,390760.00,0.00,-370463.00,-841559.00,-497150.00,52226156.00,20035510.00,16285100.00,3527462.00,155868.00,67080.00,32190646.00,4166899.00,464217.00,49937.00,3652745.00,0.00,1996370.00,270518.00,251062.00,609085.00,865705.00,552809.00,444614.00,108195.00,13744259.00,5221556.00,1996603.00,1065155.00,5460946.00,0.00,11601103.00,243919.00,920915.00,10235274.00,185626.00,15369.00,129205.00,52226156.00,8765546.00,163897.00,8417402.00,2240204.00,1997008.00,-25207.00,268403.00,6177198.00,20003.00,164244.00,43460609.00
2003,1427047.00,290784.00,1136263.00,517718.00,432480.00,85238.00,108796.00,509749.00,8717553.00,509749.00,6364463.00,5137847.00,1226616.00,2389827.00,989524.00,1400303.00,432253.00,968050.00,546485.00,8717553.00,1005323.00,1321063.00,779256.00,26260.00,105195.00,8175102.00,7765530.00,409573.00,396449.00,409573.00,13124.00,354616.00,653864.00,541874.00,111989.00,290784.00,-8463.00,41833.00,41833.00,987400.00,273123.00,-31427.00,301646.00,2904.00,0.00,-51214.00,16256.00,122608.00,27664.00,-217741.00,83390.00,79564.00,3826.00,56545.00,-97224.00,212768.00,-112994.00,53995.00,0.00,621150.00,22865.00,64966.00,499801.00,13907.00,19611.00,4406.00,1046177.00,13806.00,1024828.00,146748.00,105925.00,8007.00,32816.00,878080.00,943.00,6600.00,-58776.00,394687.00,239693.00,0.00,255603.00,100609.00,1303442.00,1392637.00,-87985.00,-1719.00,509.00,3243295.00,1687597.00,468555.00,518624.00,0.00,568519.00,4546737.00,5337872.00,58640965.00,21933150.00,18010638.00,3679170.00,171754.00,71588.00,36707815.00,4523654.00,457884.00,52841.00,4012929.00,0.00,2142649.00,419251.00,388697.00,626175.00,708526.00,636199.00,524178.00,112021.00,16475580.00,6811929.00,2677925.00,952161.00,6033565.00,0.00,12796123.00,266784.00,1013152.00,11281674.00,199533.00,34980.00,133611.00,58640965.00,9842484.00,177703.00,9472318.00,2407352.00,2102932.00,3200.00,301220.00,7064966.00,21619.00,170844.00,48798482.00
2004,1510889.00,323375.00,1187514.00,545600.00,452197.00,93403.00,114679.00,527235.00,9244756.00,527235.00,6739534.00,5421933.00,1317601.00,2537478.00,942948.00,1594530.00,562072.00,1032457.00,559491.00,9244756.00,1050612.00,1404558.00,829178.00,16771.00,116849.00,8669446.00,8260017.00,409429.00,408065.00,409429.00,1364.00,433836.00,765938.00,643850.00,122088.00,323375.00,-8727.00,-25770.00,-25770.00,1305839.00,404610.00,-58174.00,453861.00,8923.00,0.00,195418.00,-14154.00,122097.00,144233.00,-56757.00,125904.00,116959.00,8945.00,-105236.00,-247772.00,126913.00,-54834.00,70457.00,0.00,675550.00,23627.00,29910.00,593175.00,11446.00,17392.00,9592.00,1151878.00,14381.00,1118150.00,178993.00,117186.00,-20023.00,81830.00,939157.00,1506.00,17841.00,153961.00,1457959.00,254822.00,-12040.00,1035445.00,-179731.00,2455597.00,2493211.00,-34500.00,-2014.00,-1100.00,2663933.00,988686.00,282730.00,1135651.00,0.00,256866.00,5119530.00,6985554.00,66803658.00,25065121.00,20900695.00,3899492.00,189433.00,75501.00,41738537.00,4941335.00,399710.00,61764.00,4479861.00,0.00,3095254.00,472782.00,440576.00,1522624.00,659272.00,762103.00,641137.00,120966.00,18770819.00,7552843.00,3087568.00,897327.00,7233082.00,0.00,14025823.00,290411.00,1060352.00,12411709.00,210979.00,52372.00,143203.00,66803658.00,11019622.00,202496.00,10605316.00,2586345.00,2220119.00,-16823.00,383049.00,8018971.00,23125.00,188685.00,55784036.00
2005,1599539.00,362085.00,1237454.00,563363.00,466233.00,97130.00,120706.00,553385.00,9733116.00,553385.00,7086801.00,5691959.00,1394842.00,2722230.00,1089442.00,1632788.00,578311.00,1054477.00,629299.00,9733116.00,1213227.00,1491020.00,873345.00,25713.00,126055.00,9037221.00,8794110.00,243111.00,265007.00,243111.00,-21895.00,493813.00,864984.00,738897.00,126087.00,362085.00,-9086.00,-228806.00,-228806.00,875699.00,369859.00,-113820.00,481596.00,2083.00,0.00,63441.00,-132010.00,105447.00,113003.00,-22999.00,-2906.00,-9031.00,6125.00,-192939.00,-376007.00,192079.00,43815.00,-52826.00,0.00,628364.00,25572.00,12482.00,557836.00,9458.00,23016.00,9881.00,1160173.00,14446.00,1130691.00,69212.00,100436.00,304.00,-31528.00,1061479.00,939.00,14097.00,-284474.00,379106.00,252363.00,-50369.00,232779.00,55668.00,2921901.00,2968666.00,-44058.00,-2583.00,-123.00,2546359.00,1060418.00,-1049.00,1180613.00,0.00,306378.00,5468260.00,6112373.00,74075125.00,28684482.00,24291116.00,4107797.00,206077.00,79492.00,45390643.00,5311478.00,285890.00,63847.00,4961741.00,0.00,3376778.00,419282.00,559126.00,1636866.00,761504.00,759197.00,632106.00,127091.00,20793402.00,8237253.00,3278598.00,941142.00,8336409.00,0.00,14996704.00,315983.00,1082599.00,13305434.00,217300.00,75388.00,153084.00,74075125.00,12178716.00,216942.00,11736007.00,2655557.00,2320555.00,-16519.00,351521.00,9080450.00,22985.00,202782.00,61896408.00
