date,FA504090005.Q,FA503034003.Q,FA502051003.Q,FA504022005.Q,FA503069105.Q,FA503063005.Q,FA503069805.Q,FA503064105.Q,FA503094505.Q,FA753194503.Q,FA663194505.Q,FA504190005.Q,FA504122005.Q,FA503169105.Q,FA503163005.Q,FA504123005.Q,FA713068505.Q,FA503169205.Q,FA503164105.Q,FA503192003.Q,FA503190005.Q,FA663097005.Q,FA503194305.Q,FA503193005.Q
1961:Q4,-3392.00,0.00,0.00,-3392.00,-3392.00,0.00,0.00,0.00,0.00,0.00,0.00,-3392.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3392.00,0.00,0.00,-3392.00
1962:Q1,4680.00,0.00,0.00,4680.00,4680.00,0.00,0.00,0.00,0.00,0.00,0.00,4680.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4680.00,0.00,0.00,4680.00
1962:Q2,292.00,0.00,0.00,292.00,292.00,0.00,0.00,0.00,0.00,0.00,0.00,292.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,292.00,0.00,0.00,292.00
1962:Q3,148.00,0.00,0.00,148.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.00,0.00,0.00,148.00
1962:Q4,-1440.00,0.00,0.00,-1440.00,-1440.00,0.00,0.00,0.00,0.00,0.00,0.00,-1440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1440.00,0.00,0.00,-1440.00
1963:Q1,4224.00,0.00,0.00,4224.00,4224.00,0.00,0.00,0.00,0.00,0.00,0.00,4224.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4224.00,0.00,0.00,4224.00
1963:Q2,2076.00,0.00,0.00,2076.00,2076.00,0.00,0.00,0.00,0.00,0.00,0.00,2076.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2076.00,0.00,0.00,2076.00
1963:Q3,480.00,0.00,0.00,480.00,480.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,0.00,0.00,480.00
1963:Q4,-1900.00,0.00,0.00,-1900.00,-1900.00,0.00,0.00,0.00,0.00,0.00,0.00,-1900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1900.00,0.00,0.00,-1900.00
1964:Q1,2312.00,0.00,0.00,2312.00,2312.00,0.00,0.00,0.00,0.00,0.00,0.00,2312.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2312.00,0.00,0.00,2312.00
1964:Q2,3064.00,0.00,0.00,3064.00,3064.00,0.00,0.00,0.00,0.00,0.00,0.00,3064.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3064.00,0.00,0.00,3064.00
1964:Q3,-2960.00,0.00,0.00,-2960.00,-2960.00,0.00,0.00,0.00,0.00,0.00,0.00,-2960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2960.00,0.00,0.00,-2960.00
1964:Q4,1392.00,0.00,0.00,1392.00,1392.00,0.00,0.00,0.00,0.00,0.00,0.00,1392.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1392.00,0.00,0.00,1392.00
1965:Q1,4928.00,0.00,0.00,4928.00,4928.00,0.00,0.00,0.00,0.00,0.00,0.00,4928.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4928.00,0.00,0.00,4928.00
1965:Q2,1640.00,0.00,0.00,1640.00,1640.00,0.00,0.00,0.00,0.00,0.00,0.00,1640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1640.00,0.00,0.00,1640.00
1965:Q3,-2204.00,0.00,0.00,-2204.00,-2204.00,0.00,0.00,0.00,0.00,0.00,0.00,-2204.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2204.00,0.00,0.00,-2204.00
1965:Q4,-20.00,0.00,0.00,-20.00,-20.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,0.00,-20.00
1966:Q1,2624.00,0.00,0.00,2624.00,2624.00,0.00,0.00,0.00,0.00,0.00,0.00,2624.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2624.00,0.00,0.00,2624.00
1966:Q2,92.00,0.00,0.00,92.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,0.00,92.00
1966:Q3,2736.00,0.00,0.00,2736.00,2736.00,0.00,0.00,0.00,0.00,0.00,0.00,2736.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2736.00,0.00,0.00,2736.00
1966:Q4,4632.00,0.00,0.00,4632.00,4632.00,0.00,0.00,0.00,0.00,0.00,0.00,4632.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4632.00,0.00,0.00,4632.00
1967:Q1,5632.00,0.00,0.00,5632.00,5632.00,0.00,0.00,0.00,0.00,0.00,0.00,5632.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5632.00,0.00,0.00,5632.00
1967:Q2,120.00,0.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,120.00
1967:Q3,-4216.00,0.00,0.00,-4216.00,-4216.00,0.00,0.00,0.00,0.00,0.00,0.00,-4216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4216.00,0.00,0.00,-4216.00
1967:Q4,6048.00,0.00,0.00,6048.00,6048.00,0.00,0.00,0.00,0.00,0.00,0.00,6048.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6048.00,0.00,0.00,6048.00
1968:Q1,3280.00,0.00,0.00,3280.00,3280.00,0.00,0.00,0.00,0.00,0.00,0.00,3280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3280.00,0.00,0.00,3280.00
1968:Q2,164.00,0.00,0.00,164.00,164.00,0.00,0.00,0.00,0.00,0.00,0.00,164.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.00,0.00,0.00,164.00
1968:Q3,720.00,0.00,0.00,720.00,720.00,0.00,0.00,0.00,0.00,0.00,0.00,720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,720.00,0.00,0.00,720.00
1968:Q4,4768.00,0.00,0.00,4768.00,4768.00,0.00,0.00,0.00,0.00,0.00,0.00,4768.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4768.00,0.00,0.00,4768.00
1969:Q1,3472.00,0.00,0.00,3472.00,3472.00,0.00,0.00,0.00,0.00,0.00,0.00,3472.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3472.00,0.00,0.00,3472.00
1969:Q2,6564.00,0.00,0.00,6564.00,6564.00,0.00,0.00,0.00,0.00,0.00,0.00,6564.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6564.00,0.00,0.00,6564.00
1969:Q3,9092.00,0.00,0.00,9092.00,9092.00,0.00,0.00,0.00,0.00,0.00,0.00,9092.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9092.00,0.00,0.00,9092.00
1969:Q4,8588.00,0.00,0.00,8588.00,8588.00,0.00,0.00,0.00,0.00,0.00,0.00,8588.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8588.00,0.00,0.00,8588.00
1970:Q1,16144.00,0.00,0.00,16144.00,16144.00,0.00,0.00,0.00,0.00,0.00,0.00,16144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16144.00,0.00,0.00,16144.00
1970:Q2,5176.00,0.00,0.00,5176.00,5176.00,0.00,0.00,0.00,0.00,0.00,0.00,5176.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5176.00,0.00,0.00,5176.00
1970:Q3,-25284.00,0.00,0.00,-25284.00,-25284.00,0.00,0.00,0.00,0.00,0.00,0.00,-25284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25284.00,0.00,0.00,-25284.00
1970:Q4,-4640.00,0.00,0.00,-4640.00,-4640.00,0.00,0.00,0.00,0.00,0.00,0.00,-4640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4640.00,0.00,0.00,-4640.00
1971:Q1,-8660.00,0.00,0.00,-8660.00,-8660.00,0.00,0.00,0.00,0.00,0.00,0.00,-8660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8660.00,0.00,0.00,-8660.00
1971:Q2,-4772.00,0.00,0.00,-4772.00,-4772.00,0.00,0.00,0.00,0.00,0.00,0.00,-4772.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4772.00,0.00,0.00,-4772.00
1971:Q3,-708.00,0.00,0.00,-708.00,-708.00,0.00,0.00,0.00,0.00,0.00,0.00,-708.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-708.00,0.00,0.00,-708.00
1971:Q4,2548.00,0.00,0.00,2548.00,2548.00,0.00,0.00,0.00,0.00,0.00,0.00,2548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2548.00,0.00,0.00,2548.00
1972:Q1,2260.00,0.00,0.00,2260.00,2260.00,0.00,0.00,0.00,0.00,0.00,0.00,2260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2260.00,0.00,0.00,2260.00
1972:Q2,-9028.00,0.00,0.00,-9028.00,-9028.00,0.00,0.00,0.00,0.00,0.00,0.00,-9028.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9028.00,0.00,0.00,-9028.00
1972:Q3,-10160.00,0.00,0.00,-10160.00,-10160.00,0.00,0.00,0.00,0.00,0.00,0.00,-10160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10160.00,0.00,0.00,-10160.00
1972:Q4,-1328.00,0.00,0.00,-1328.00,-1328.00,0.00,0.00,0.00,0.00,0.00,0.00,-1328.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1328.00,0.00,0.00,-1328.00
1973:Q1,-2928.00,0.00,0.00,-2928.00,-2928.00,0.00,0.00,0.00,0.00,0.00,0.00,-2928.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2928.00,0.00,0.00,-2928.00
1973:Q2,3584.00,0.00,0.00,3584.00,3584.00,0.00,0.00,0.00,0.00,0.00,0.00,3584.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3584.00,0.00,0.00,3584.00
1973:Q3,3816.00,0.00,0.00,3816.00,3816.00,0.00,0.00,0.00,0.00,0.00,0.00,3816.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3816.00,0.00,0.00,3816.00
1973:Q4,16632.00,0.00,0.00,16632.00,16632.00,0.00,0.00,0.00,0.00,0.00,0.00,16632.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16632.00,0.00,0.00,16632.00
1974:Q1,6048.00,0.00,0.00,6048.00,6048.00,0.00,0.00,0.00,0.00,0.00,0.00,6048.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6048.00,0.00,0.00,6048.00
1974:Q2,8360.00,0.00,0.00,8360.00,8360.00,0.00,0.00,0.00,0.00,0.00,0.00,8360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8360.00,0.00,0.00,8360.00
1974:Q3,17132.00,0.00,0.00,17132.00,17132.00,0.00,0.00,0.00,0.00,0.00,0.00,17132.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17132.00,0.00,0.00,17132.00
1974:Q4,-8992.00,0.00,0.00,-8992.00,-8992.00,0.00,0.00,0.00,0.00,0.00,0.00,-8992.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8992.00,0.00,0.00,-8992.00
1975:Q1,-11596.00,0.00,0.00,-11596.00,-11596.00,0.00,0.00,0.00,0.00,0.00,0.00,-11596.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11596.00,0.00,0.00,-11596.00
1975:Q2,-20508.00,0.00,0.00,-20508.00,-20508.00,0.00,0.00,0.00,0.00,0.00,0.00,-20508.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20508.00,0.00,0.00,-20508.00
1975:Q3,-18572.00,0.00,0.00,-18572.00,-18572.00,0.00,0.00,0.00,0.00,0.00,0.00,-18572.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18572.00,0.00,0.00,-18572.00
1975:Q4,-8312.00,0.00,0.00,-8312.00,-8312.00,0.00,0.00,0.00,0.00,0.00,0.00,-8312.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8312.00,0.00,0.00,-8312.00
1976:Q1,5864.00,620.00,0.00,5244.00,5244.00,0.00,0.00,0.00,0.00,0.00,0.00,5864.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5864.00,1240.00,0.00,4624.00
1976:Q2,-2416.00,-264.00,0.00,-2152.00,-2152.00,0.00,0.00,0.00,0.00,0.00,0.00,-2416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2416.00,-528.00,0.00,-1888.00
1976:Q3,-8420.00,40.00,0.00,-8460.00,-8460.00,0.00,0.00,0.00,0.00,0.00,0.00,-8420.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8420.00,80.00,0.00,-8500.00
1976:Q4,-6240.00,824.00,0.00,-7064.00,-7064.00,0.00,0.00,0.00,0.00,0.00,0.00,-6240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6240.00,1648.00,0.00,-7888.00
1977:Q1,32392.00,644.00,0.00,31748.00,31748.00,0.00,0.00,0.00,0.00,0.00,0.00,32392.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32392.00,1284.00,0.00,31108.00
1977:Q2,11944.00,-784.00,0.00,12728.00,12728.00,0.00,0.00,0.00,0.00,0.00,0.00,11944.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11944.00,-1564.00,0.00,13508.00
1977:Q3,3704.00,-192.00,0.00,3896.00,3896.00,0.00,0.00,0.00,0.00,0.00,0.00,3704.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3704.00,-388.00,0.00,4092.00
1977:Q4,12280.00,96.00,0.00,12184.00,12184.00,0.00,0.00,0.00,0.00,0.00,0.00,12280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12280.00,192.00,0.00,12088.00
