1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,17240.00,5129.00,1341.00,9367.00,6444.00,1341.00,1002.00,580.00,1403.00,17240.00,17131.00,8504.00,5073.00,3293.00,0.00,261.00,-255.00,101.00,0.00,0.00,0.00,0.00,-77.00,0.00,-279.00,0.00,0.00,364.00,17240.00,2870.00,856.00,627.00,109.00,1209.00,69.00,14370.00,2.00,9914.00,195.00,28.00,56.00,14.00,3389.00,18.00,30.00,0.00,362.00,11.00,0.00,422.00,0.00,-71.00,0.00,0.00,0.00
1952:Q1,10454.00,1216.00,-1996.00,8848.00,6584.00,712.00,900.00,652.00,2386.00,10454.00,12250.00,10342.00,52.00,2036.00,0.00,-180.00,-2516.00,-1288.00,0.00,0.00,0.00,0.00,472.00,0.00,-1700.00,0.00,0.00,720.00,10454.00,3298.00,320.00,-2646.00,3368.00,2144.00,112.00,7156.00,52.00,4764.00,516.00,12.00,248.00,8.00,2448.00,24.00,32.00,0.00,-1540.00,8.00,0.00,580.00,0.00,4.00,0.00,0.00,0.00
1952:Q2,21322.00,4108.00,1896.00,8936.00,6384.00,868.00,856.00,828.00,6382.00,21322.00,16450.00,13062.00,-325.00,3421.00,0.00,292.00,4184.00,256.00,0.00,0.00,0.00,0.00,584.00,0.00,3344.00,0.00,0.00,688.00,21322.00,3550.00,480.00,802.00,744.00,1424.00,100.00,17772.00,8.00,12284.00,292.00,4.00,216.00,4.00,1976.00,28.00,36.00,0.00,160.00,8.00,0.00,2628.00,0.00,128.00,0.00,0.00,0.00
1952:Q3,15982.00,-348.00,2776.00,9012.00,6672.00,952.00,936.00,452.00,4542.00,15982.00,17226.00,11594.00,2585.00,2503.00,0.00,544.00,-1884.00,248.00,0.00,0.00,0.00,0.00,524.00,0.00,-2656.00,0.00,0.00,640.00,15982.00,3730.00,324.00,1282.00,260.00,1760.00,104.00,12252.00,116.00,7520.00,8.00,4.00,220.00,4.00,1996.00,32.00,36.00,0.00,284.00,12.00,0.00,1976.00,0.00,44.00,0.00,0.00,0.00
1952:Q4,25794.00,6040.00,3064.00,9312.00,7136.00,824.00,944.00,408.00,7378.00,25794.00,20090.00,13874.00,3530.00,2054.00,0.00,632.00,6008.00,596.00,0.00,0.00,0.00,0.00,2900.00,0.00,2512.00,0.00,0.00,-304.00,25794.00,3326.00,824.00,-78.00,1284.00,1200.00,96.00,22468.00,-60.00,15828.00,-272.00,0.00,264.00,4.00,1820.00,32.00,40.00,0.00,1320.00,12.00,0.00,3332.00,0.00,148.00,0.00,0.00,0.00
1953:Q1,17057.00,36.00,-500.00,9624.00,7508.00,424.00,1052.00,640.00,7897.00,17057.00,20817.00,17729.00,3402.00,586.00,0.00,-900.00,-3424.00,-1012.00,0.00,0.00,0.00,0.00,-748.00,0.00,-1664.00,0.00,0.00,-336.00,17057.00,4085.00,2184.00,2125.00,-884.00,576.00,84.00,12972.00,-48.00,8556.00,60.00,4.00,416.00,8.00,2140.00,40.00,44.00,0.00,-1708.00,8.00,0.00,2800.00,0.00,652.00,0.00,0.00,0.00
1953:Q2,16157.00,632.00,1044.00,10952.00,8356.00,716.00,1116.00,764.00,3529.00,16157.00,15137.00,13417.00,-218.00,2234.00,0.00,-296.00,1176.00,428.00,0.00,0.00,0.00,0.00,360.00,0.00,388.00,0.00,0.00,-156.00,16157.00,777.00,352.00,-747.00,444.00,644.00,84.00,15380.00,-36.00,9492.00,96.00,8.00,284.00,16.00,2240.00,44.00,44.00,0.00,352.00,4.00,0.00,2080.00,0.00,756.00,0.00,0.00,0.00
1953:Q3,16461.00,1976.00,2116.00,9272.00,7188.00,672.00,1092.00,320.00,3097.00,16461.00,14277.00,9833.00,2065.00,2367.00,0.00,12.00,1792.00,332.00,0.00,0.00,0.00,0.00,380.00,0.00,1080.00,0.00,0.00,392.00,16461.00,2249.00,144.00,741.00,-32.00,1316.00,80.00,14212.00,-40.00,9040.00,360.00,4.00,288.00,20.00,2108.00,44.00,48.00,0.00,372.00,8.00,0.00,2220.00,0.00,-260.00,0.00,0.00,0.00
1953:Q4,5637.00,-6304.00,644.00,9452.00,7016.00,748.00,1408.00,280.00,1845.00,5637.00,3285.00,9253.00,-4183.00,-1513.00,0.00,-272.00,1680.00,604.00,0.00,0.00,0.00,0.00,-676.00,0.00,1752.00,0.00,0.00,672.00,5637.00,1025.00,1280.00,-1079.00,984.00,-244.00,84.00,4612.00,56.00,884.00,-240.00,0.00,256.00,20.00,2600.00,44.00,52.00,0.00,852.00,8.00,0.00,-228.00,0.00,308.00,0.00,0.00,0.00
1954:Q1,5965.00,-996.00,-1328.00,9028.00,6836.00,212.00,1264.00,716.00,-739.00,5965.00,10677.00,8461.00,920.00,1712.00,0.00,-416.00,-4224.00,-1288.00,0.00,0.00,0.00,0.00,-1228.00,0.00,-1708.00,0.00,0.00,-488.00,5965.00,1613.00,1904.00,1521.00,-1236.00,-664.00,88.00,4352.00,-4.00,2944.00,208.00,0.00,260.00,16.00,2212.00,44.00,56.00,0.00,-1420.00,4.00,0.00,-56.00,0.00,88.00,0.00,0.00,0.00
