1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q2,7391.00,6154.00,4940.00,-4.00,4943.00,1215.00,144365.00,36.00,0.00,124.00,-110.00,1968.00,378.00,2351.00,10.00,935.00,38460.00,6680.00,9642.00,4283.00,7297.00,10558.00,80511.00,17231.00,11219.00,35002.00,17059.00,3173.00,239.00,367.00,0.00,487.00,15436.00,143150.00,5351.00,27044.00,24928.00,1339.00,939.00,16638.00,4824.00,9757.00,2057.00,9088.00,3155.00,5788.00,145.00,898.00,-438.00,20.00,2763.00,29306.00,317.00,85.00,196.00,24676.00,1237.00
1978:Q3,7694.00,10629.00,5298.00,-4.00,5302.00,5332.00,123004.00,21.00,50.00,118.00,156.00,-499.00,677.00,3102.00,202.00,-636.00,30733.00,-130.00,7914.00,6686.00,6841.00,9422.00,62209.00,7876.00,4556.00,36745.00,13032.00,3832.00,-477.00,377.00,0.00,513.00,22626.00,117672.00,8376.00,6224.00,29865.00,1448.00,2854.00,8347.00,-1264.00,9133.00,478.00,5582.00,17.00,5407.00,158.00,828.00,-507.00,20.00,2798.00,30993.00,305.00,158.00,185.00,20196.00,-2935.00
1978:Q4,7821.00,13136.00,5649.00,-9.00,5658.00,7487.00,155438.00,2282.00,0.00,148.00,169.00,10326.00,1408.00,2177.00,427.00,8852.00,24477.00,9723.00,-4188.00,5011.00,6695.00,7236.00,81729.00,24143.00,10158.00,36583.00,10845.00,3518.00,-290.00,382.00,0.00,537.00,19296.00,147951.00,2794.00,13620.00,28585.00,2401.00,-2736.00,22412.00,9532.00,10650.00,2230.00,11891.00,1975.00,9763.00,153.00,1759.00,-235.00,30.00,2707.00,30479.00,112.00,-59.00,174.00,34017.00,-5315.00
1979:Q1,7572.00,6206.00,5975.00,-3.00,5978.00,231.00,97861.00,1187.00,0.00,327.00,692.00,-5022.00,-1470.00,3244.00,29.00,6026.00,28446.00,8359.00,3002.00,4827.00,4573.00,7685.00,39227.00,2249.00,5011.00,27541.00,4426.00,2722.00,622.00,451.00,0.00,564.00,20816.00,97630.00,11789.00,-31253.00,28580.00,7212.00,22791.00,17626.00,5886.00,10988.00,752.00,-9548.00,-2058.00,-7547.00,57.00,637.00,-184.00,50.00,2651.00,28566.00,113.00,182.00,497.00,17921.00,1366.00
1979:Q2,7747.00,11674.00,6221.00,-2.00,6223.00,5454.00,158735.00,-209.00,500.00,367.00,1136.00,-198.00,967.00,2932.00,354.00,11935.00,32937.00,12458.00,4096.00,6273.00,3407.00,6703.00,86133.00,21421.00,14442.00,37359.00,12911.00,3365.00,92.00,498.00,0.00,590.00,17336.00,153281.00,4617.00,28042.00,8946.00,7895.00,16754.00,19923.00,9632.00,10084.00,207.00,11810.00,6146.00,5677.00,-13.00,838.00,68.00,30.00,2632.00,29585.00,83.00,344.00,597.00,21117.00,-3927.00
1979:Q3,7575.00,14012.00,6715.00,-2.00,6717.00,7296.00,144921.00,-1511.00,0.00,300.00,1558.00,-2653.00,302.00,4253.00,473.00,6717.00,43401.00,9473.00,9384.00,6832.00,7311.00,10401.00,82091.00,20133.00,8743.00,39644.00,13571.00,5555.00,264.00,508.00,0.00,621.00,3042.00,137625.00,1330.00,14826.00,32300.00,8279.00,3978.00,15676.00,5102.00,11220.00,-646.00,7346.00,1899.00,5485.00,-38.00,637.00,-361.00,30.00,2595.00,32428.00,42.00,266.00,597.00,17656.00,-6436.00
1979:Q4,7316.00,10768.00,7095.00,-2.00,7097.00,3673.00,130689.00,256.00,0.00,266.00,1253.00,9993.00,2070.00,3338.00,629.00,5692.00,21000.00,5218.00,496.00,7427.00,5229.00,2630.00,59388.00,7403.00,9367.00,31440.00,11178.00,6177.00,62.00,478.00,0.00,651.00,19437.00,127016.00,907.00,25223.00,19900.00,11020.00,-12254.00,24495.00,6217.00,15015.00,3263.00,9774.00,394.00,9395.00,-15.00,1134.00,-356.00,40.00,2540.00,39184.00,-91.00,226.00,597.00,4677.00,-3453.00
1980:Q1,6735.00,14019.00,7635.00,-3.00,7638.00,6384.00,109268.00,1040.00,1168.00,261.00,1207.00,-2714.00,-637.00,3611.00,255.00,-9814.00,44778.00,10300.00,14132.00,3685.00,2810.00,13851.00,37978.00,2665.00,11846.00,24563.00,-1096.00,3034.00,847.00,490.00,0.00,683.00,27081.00,102884.00,4390.00,-30591.00,27421.00,16078.00,3918.00,19149.00,3470.00,13949.00,1730.00,-4416.00,-1313.00,-3094.00,-9.00,408.00,-796.00,60.00,2491.00,45036.00,45.00,76.00,706.00,18909.00,-7284.00
1980:Q2,6416.00,17136.00,7661.00,-3.00,7664.00,9476.00,138084.00,-248.00,50.00,171.00,740.00,255.00,1110.00,3606.00,457.00,17946.00,53901.00,8818.00,13663.00,11317.00,6823.00,13280.00,12295.00,-4455.00,4032.00,17405.00,-4687.00,5651.00,624.00,500.00,0.00,716.00,40309.00,128608.00,-27139.00,17657.00,18505.00,16535.00,20134.00,15125.00,3053.00,8643.00,3429.00,2512.00,563.00,1961.00,-12.00,32.00,1094.00,100.00,2446.00,49455.00,149.00,344.00,704.00,10955.00,-10720.00
1980:Q3,6455.00,14518.00,8007.00,-3.00,8010.00,6511.00,127755.00,265.00,250.00,130.00,1601.00,-4395.00,-691.00,4315.00,1042.00,1204.00,42328.00,-2236.00,21068.00,8643.00,8376.00,6477.00,48445.00,14531.00,3242.00,27026.00,3646.00,5076.00,546.00,499.00,0.00,751.00,26389.00,121244.00,-10958.00,14750.00,34411.00,2074.00,3222.00,10551.00,1369.00,7543.00,1639.00,5355.00,-627.00,5993.00,-11.00,211.00,973.00,100.00,2400.00,52461.00,117.00,-176.00,804.00,4949.00,-8063.00
1980:Q4,6831.00,13170.00,8394.00,-1.00,8395.00,4776.00,180781.00,2135.00,-750.00,179.00,-1888.00,3913.00,1015.00,3646.00,547.00,17308.00,26076.00,1945.00,768.00,9973.00,5579.00,7811.00,82299.00,32587.00,15839.00,28678.00,5195.00,8172.00,302.00,495.00,0.00,788.00,36544.00,176005.00,-1702.00,15359.00,62614.00,-3486.00,3668.00,19277.00,5033.00,13450.00,794.00,14535.00,3242.00,11302.00,-9.00,898.00,731.00,100.00,2352.00,49635.00,-76.00,328.00,550.00,11222.00,-6339.00
1981:Q1,6287.00,8020.00,8753.00,1.00,8752.00,-733.00,124530.00,1199.00,300.00,172.00,3985.00,-6170.00,-3392.00,10875.00,1208.00,-3952.00,56258.00,13451.00,27638.00,9624.00,377.00,5168.00,14166.00,-6019.00,5236.00,17373.00,-2424.00,6374.00,-200.00,614.00,0.00,827.00,42266.00,125263.00,-12536.00,-14735.00,19794.00,37808.00,23491.00,14001.00,7445.00,6758.00,-202.00,-9284.00,-2576.00,-6708.00,0.00,946.00,767.00,100.00,2325.00,46611.00,-178.00,193.00,-1.00,15961.00,-1733.00
