1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q1,149964.00,141228.00,6004.00,772.00,1960.00,149964.00,121116.00,-220.00,-2264.00,2044.00,516.00,9956.00,11500.00,12436.00,636.00,-10392.00,0.00,24.00,8796.00,7096.00
1982:Q2,153164.00,139256.00,12508.00,-316.00,1716.00,153164.00,105320.00,-13080.00,-15312.00,2232.00,696.00,2808.00,40304.00,13796.00,2552.00,14796.00,0.00,24.00,9136.00,17116.00
1982:Q3,167320.00,146428.00,10732.00,-400.00,10560.00,167320.00,93428.00,32184.00,29692.00,2492.00,112.00,6396.00,30816.00,12452.00,1892.00,21984.00,0.00,24.00,-5536.00,4384.00
1982:Q4,219268.00,186108.00,13452.00,496.00,19212.00,219268.00,212736.00,25124.00,22292.00,2832.00,564.00,-3848.00,-28204.00,13076.00,3636.00,-39436.00,0.00,28.00,-5508.00,12896.00
1983:Q1,201580.00,232472.00,-41092.00,1396.00,8804.00,201580.00,224544.00,2292.00,-944.00,3236.00,-708.00,-9388.00,-10336.00,16300.00,5432.00,-42004.00,0.00,28.00,9908.00,-4824.00
1983:Q2,180400.00,154276.00,15372.00,2248.00,8504.00,180400.00,150616.00,21680.00,17968.00,3712.00,-804.00,-6192.00,12156.00,22232.00,1628.00,-16912.00,0.00,28.00,5180.00,2944.00
1983:Q3,201292.00,185764.00,-624.00,2232.00,13920.00,201292.00,207052.00,-1092.00,-4928.00,3836.00,140.00,-2244.00,-1260.00,692.00,-1808.00,-6196.00,0.00,32.00,6020.00,-1304.00
1983:Q4,200732.00,192156.00,-12036.00,1348.00,19264.00,200732.00,167976.00,17124.00,13508.00,3616.00,-432.00,-7216.00,16016.00,6604.00,5920.00,-2136.00,0.00,32.00,5596.00,7264.00
1984:Q1,210996.00,204328.00,-8456.00,532.00,14592.00,210996.00,246920.00,-6724.00,-10056.00,3332.00,560.00,-19716.00,-9064.00,-2820.00,5276.00,-13556.00,0.00,-368.00,2404.00,-980.00
1984:Q2,286344.00,263192.00,12816.00,-228.00,10564.00,286344.00,249636.00,-3608.00,-6600.00,2992.00,100.00,4888.00,19756.00,-592.00,3956.00,15072.00,0.00,4.00,1316.00,15572.00
1984:Q3,191664.00,188900.00,-6168.00,-364.00,9296.00,191664.00,193136.00,-15480.00,-18712.00,3232.00,392.00,9532.00,1204.00,19420.00,6536.00,-18772.00,0.00,136.00,-6116.00,2880.00
1984:Q4,251876.00,221332.00,19268.00,108.00,11168.00,251876.00,188700.00,36012.00,31968.00,4044.00,1076.00,6212.00,18540.00,12600.00,-3068.00,16604.00,0.00,-192.00,-7404.00,1336.00
1985:Q1,209536.00,188300.00,5172.00,464.00,15600.00,209536.00,160932.00,20784.00,15704.00,5080.00,-276.00,5280.00,20560.00,20680.00,8500.00,-9108.00,0.00,84.00,404.00,2256.00
1985:Q2,150336.00,143060.00,-12192.00,684.00,18784.00,150336.00,146536.00,-18624.00,-24968.00,6344.00,-108.00,1080.00,22268.00,25600.00,2116.00,-6192.00,0.00,372.00,372.00,-816.00
1985:Q3,147864.00,101336.00,17812.00,800.00,27916.00,147864.00,125328.00,13652.00,7520.00,6132.00,332.00,11808.00,-8524.00,-3084.00,-1860.00,-4460.00,0.00,852.00,28.00,5268.00
1985:Q4,121936.00,111556.00,-7144.00,808.00,16716.00,121936.00,117668.00,6896.00,2452.00,4444.00,212.00,9936.00,-18940.00,-8892.00,-3288.00,-7004.00,0.00,-32.00,276.00,6164.00
1986:Q1,141448.00,130076.00,-10320.00,956.00,20736.00,141448.00,132400.00,24944.00,21824.00,3120.00,1492.00,-5224.00,5652.00,5772.00,2980.00,1276.00,0.00,500.00,-4876.00,-17816.00
1986:Q2,111368.00,76140.00,4504.00,1212.00,29512.00,111368.00,77156.00,24832.00,22680.00,2152.00,100.00,204.00,6208.00,3700.00,444.00,-912.00,0.00,16.00,2960.00,2868.00
1986:Q3,191228.00,110120.00,48572.00,1104.00,31432.00,191228.00,117904.00,48388.00,47164.00,1224.00,-760.00,10364.00,13280.00,10932.00,-10352.00,9560.00,0.00,1472.00,1668.00,2052.00
1986:Q4,161364.00,66644.00,68548.00,632.00,25540.00,161364.00,163172.00,-26416.00,-26752.00,336.00,-92.00,4060.00,17584.00,20872.00,-6816.00,1100.00,0.00,1280.00,1148.00,3056.00
1987:Q1,23348.00,9808.00,-8096.00,112.00,21524.00,23348.00,46164.00,-18824.00,-17648.00,-1176.00,-448.00,10708.00,-14296.00,-12928.00,-9952.00,-1196.00,0.00,368.00,9412.00,44.00
1987:Q2,165064.00,100740.00,47896.00,-444.00,16872.00,165064.00,149852.00,-628.00,2696.00,-3324.00,1008.00,8448.00,9124.00,532.00,-6600.00,19504.00,0.00,-180.00,-4132.00,-2740.00
1987:Q3,155024.00,108500.00,41932.00,-476.00,5068.00,155024.00,150500.00,-8224.00,-5236.00,-2988.00,-212.00,2452.00,9240.00,-10708.00,-2936.00,11056.00,0.00,1036.00,10792.00,1268.00
1987:Q4,261896.00,229380.00,29508.00,12.00,2996.00,261896.00,240856.00,21656.00,21840.00,-184.00,524.00,6792.00,-12848.00,-20164.00,788.00,29252.00,0.00,1116.00,-23840.00,4916.00
1988:Q1,175300.00,202344.00,-39880.00,296.00,12540.00,175300.00,164744.00,-6812.00,-15884.00,9072.00,-316.00,968.00,17172.00,1568.00,2180.00,10672.00,0.00,564.00,2188.00,-456.00
1988:Q2,161588.00,134140.00,9888.00,520.00,17040.00,161588.00,160296.00,-20984.00,-29168.00,8184.00,288.00,-7648.00,22796.00,25084.00,416.00,-9688.00,0.00,1152.00,5832.00,6840.00
1988:Q3,208452.00,167192.00,31184.00,684.00,9392.00,208452.00,165876.00,21760.00,17076.00,4684.00,-900.00,2404.00,19540.00,-468.00,2492.00,11612.00,0.00,-244.00,6148.00,-228.00
1988:Q4,191284.00,118276.00,64656.00,784.00,7568.00,191284.00,177400.00,17624.00,13296.00,4328.00,-60.00,-3620.00,-7380.00,17172.00,2512.00,-14796.00,0.00,512.00,-12780.00,7320.00
1989:Q1,90777.00,56730.00,36052.00,740.00,-2745.00,90777.00,47538.00,-28492.00,-31576.00,3084.00,-288.00,-3865.00,70116.00,30300.00,4028.00,11352.00,0.00,2764.00,21672.00,5768.00
1989:Q2,120577.00,139233.00,-15596.00,552.00,-3611.00,120577.00,42361.00,24036.00,25368.00,-1332.00,-188.00,-983.00,46856.00,28332.00,1180.00,28392.00,0.00,1016.00,-12064.00,8496.00
1989:Q3,117154.00,94563.00,4400.00,1000.00,17192.00,117154.00,121302.00,-31408.00,-30072.00,-1336.00,-520.00,-8240.00,32580.00,28364.00,1728.00,5688.00,0.00,544.00,-3744.00,3440.00
1989:Q4,186252.00,100955.00,64952.00,2084.00,18261.00,186252.00,130844.00,34788.00,29628.00,5160.00,424.00,1968.00,10956.00,22860.00,840.00,-8004.00,0.00,832.00,-5572.00,7272.00
1990:Q1,-67687.00,-16331.00,-67132.00,3592.00,12184.00,-67687.00,-780.00,-38132.00,-43052.00,4920.00,592.00,-9631.00,-25756.00,6384.00,-2324.00,-27240.00,0.00,-80.00,-2496.00,6020.00
1990:Q2,-11579.00,-21322.00,-7468.00,5516.00,11695.00,-11579.00,19530.00,6624.00,4312.00,2312.00,-296.00,1898.00,-35516.00,-10892.00,-2104.00,-22716.00,0.00,1036.00,-840.00,-3820.00
1990:Q3,-7752.00,-25852.00,-1320.00,5128.00,14293.00,-7752.00,70253.00,10936.00,5776.00,5160.00,496.00,-8501.00,-77188.00,-8672.00,-604.00,-23748.00,0.00,744.00,-44908.00,-3748.00
1990:Q4,97838.00,3441.00,80976.00,2428.00,10992.00,97838.00,111816.00,7060.00,8780.00,-1720.00,-224.00,4073.00,-23700.00,-3552.00,-404.00,-11460.00,0.00,908.00,-9192.00,-1188.00
1991:Q1,-4170.00,-59017.00,49072.00,-244.00,6019.00,-4170.00,-25969.00,9864.00,13600.00,-3736.00,-412.00,-34457.00,41692.00,-10344.00,27828.00,27688.00,0.00,1000.00,-4480.00,5112.00
1991:Q2,-135131.00,-136278.00,-16968.00,-2908.00,21023.00,-135131.00,-180324.00,18480.00,13320.00,5160.00,976.00,4465.00,17620.00,8636.00,-9712.00,13020.00,0.00,4440.00,1236.00,3652.00
1991:Q3,-47112.00,-147657.00,81524.00,-3332.00,22353.00,-47112.00,-66560.00,14496.00,10996.00,3500.00,-68.00,-2789.00,19008.00,18372.00,-9312.00,10192.00,0.00,2896.00,-3140.00,-11200.00
1991:Q4,-84039.00,-156565.00,50352.00,-1528.00,23702.00,-84039.00,-56047.00,-21936.00,-25848.00,3912.00,96.00,-11531.00,3880.00,5320.00,-4296.00,2424.00,0.00,2824.00,-2392.00,1500.00
1992:Q1,-212820.00,-202235.00,-31944.00,-4.00,21363.00,-212820.00,-152592.00,-1024.00,-13656.00,12632.00,1400.00,-9199.00,-28430.00,-20196.00,-1688.00,-11682.00,0.00,-344.00,5480.00,-22976.00
1992:Q2,-30109.00,-155152.00,112548.00,1196.00,11300.00,-30109.00,-16351.00,2200.00,-3668.00,5868.00,1200.00,-8405.00,-21957.00,-18204.00,-192.00,1559.00,0.00,-1480.00,-3640.00,13204.00
1992:Q3,-211630.00,-149169.00,-78084.00,1388.00,14235.00,-211630.00,-178008.00,13056.00,5448.00,7608.00,-104.00,1401.00,-15983.00,-12520.00,-1792.00,-1563.00,0.00,1728.00,-1836.00,-31992.00
1992:Q4,-57877.00,-137656.00,57772.00,576.00,21431.00,-57877.00,-112626.00,7276.00,5516.00,1760.00,-5204.00,-8389.00,-14414.00,-17524.00,-3872.00,9590.00,0.00,1140.00,-3748.00,75480.00
1993:Q1,-261925.00,-208836.00,-55084.00,-100.00,2095.00,-261925.00,-237465.00,31336.00,24516.00,6820.00,248.00,-1350.00,5202.00,4372.00,2596.00,-2070.00,0.00,2076.00,-1772.00,-59896.00
1993:Q2,-21203.00,-78506.00,46668.00,-652.00,11287.00,-21203.00,-69963.00,15304.00,13168.00,2136.00,-404.00,-4976.00,2440.00,-1168.00,4040.00,-3072.00,0.00,1300.00,1340.00,36396.00
1993:Q3,-76243.00,-62723.00,-26840.00,-716.00,14036.00,-76243.00,-9398.00,-17780.00,-17128.00,-652.00,-36.00,544.00,-58005.00,-17396.00,-188.00,-50425.00,0.00,7136.00,2868.00,8432.00
1993:Q4,17111.00,-57455.00,58660.00,-300.00,16205.00,17111.00,-173758.00,48744.00,43408.00,5336.00,-60.00,-334.00,34742.00,776.00,-9296.00,43994.00,0.00,2056.00,-2788.00,107776.00
1994:Q1,-92488.00,-76620.00,-26008.00,1068.00,9072.00,-92488.00,-70783.00,-14168.00,-18688.00,4520.00,-352.00,1637.00,-19722.00,6884.00,-1444.00,-24134.00,0.00,504.00,-1532.00,10900.00
1994:Q2,4781.00,-18933.00,16336.00,1712.00,5666.00,4781.00,-97646.00,15148.00,11908.00,3240.00,-136.00,4453.00,22714.00,1704.00,-1396.00,20942.00,0.00,1232.00,232.00,60248.00
1994:Q3,73414.00,932.00,62224.00,1312.00,8947.00,73414.00,119490.00,4832.00,964.00,3868.00,132.00,16381.00,-13777.00,-4680.00,-11536.00,1243.00,0.00,1032.00,164.00,-53644.00
1994:Q4,32889.00,8374.00,22632.00,2112.00,-229.00,32889.00,-49973.00,26020.00,23364.00,2656.00,-136.00,3644.00,23901.00,21944.00,-612.00,1253.00,0.00,1904.00,-588.00,29432.00
1995:Q1,113696.00,96777.00,21568.00,1768.00,-6417.00,113696.00,115831.00,-50160.00,-56656.00,6496.00,1752.00,10364.00,46713.00,10956.00,212.00,32269.00,0.00,3060.00,216.00,-10804.00
1995:Q2,256601.00,220544.00,17076.00,1792.00,17189.00,256601.00,159573.00,41416.00,38488.00,2928.00,-288.00,3780.00,31881.00,4260.00,232.00,26369.00,0.00,1236.00,-216.00,20240.00
1995:Q3,228412.00,183831.00,14428.00,1888.00,28264.00,228412.00,201392.00,10356.00,5640.00,4716.00,-4.00,1258.00,51529.00,9560.00,6460.00,35129.00,0.00,436.00,-56.00,-36120.00
1995:Q4,97411.00,119948.00,-40980.00,4260.00,14183.00,97411.00,32940.00,28796.00,25804.00,2992.00,-452.00,11158.00,9269.00,7632.00,1020.00,-8839.00,0.00,9780.00,-324.00,15700.00
1996:Q1,248186.00,229167.00,-3172.00,1760.00,20431.00,248186.00,237613.00,-13232.00,-15356.00,2124.00,380.00,10928.00,8370.00,8456.00,2020.00,-3138.00,0.00,1060.00,-28.00,4128.00
1996:Q2,198827.00,168648.00,20004.00,2484.00,7690.00,198827.00,116002.00,35792.00,31932.00,3860.00,13204.00,12248.00,38549.00,12604.00,-4392.00,29497.00,0.00,956.00,-116.00,-16968.00
1996:Q3,288106.00,190572.00,85824.00,-1784.00,13494.00,288106.00,169973.00,40576.00,36608.00,3968.00,-4092.00,13787.00,52266.00,9544.00,-6388.00,45422.00,0.00,2816.00,872.00,15596.00
1996:Q4,170337.00,73132.00,81156.00,-1192.00,17240.00,170337.00,40652.00,70976.00,66744.00,4232.00,-3748.00,5433.00,60492.00,4108.00,76.00,52536.00,0.00,5744.00,-1972.00,-3468.00
1997:Q1,184812.00,132791.00,52996.00,-2152.00,1177.00,184812.00,91545.00,26156.00,12968.00,13188.00,200.00,-3418.00,64845.00,8836.00,10912.00,41909.00,0.00,92.00,3096.00,5484.00
1997:Q2,306524.00,219818.00,69132.00,-1944.00,19517.00,306524.00,145617.00,65708.00,53636.00,12072.00,3376.00,13257.00,76657.00,12040.00,-10876.00,71341.00,0.00,4672.00,-520.00,1908.00
1997:Q3,293779.00,218635.00,57692.00,2352.00,15100.00,293779.00,264851.00,-8216.00,-18116.00,9900.00,-2052.00,9006.00,28647.00,-1092.00,2084.00,31819.00,0.00,-4376.00,212.00,1544.00
1997:Q4,220545.00,183124.00,6776.00,1736.00,28909.00,220545.00,67603.00,98008.00,90328.00,7680.00,2552.00,4367.00,4371.00,24112.00,-1612.00,-29181.00,0.00,14508.00,-3456.00,43644.00
1998:Q1,265586.00,229144.00,42752.00,2184.00,-8494.00,265586.00,43879.00,201360.00,162616.00,38744.00,-1640.00,24412.00,-23065.00,30284.00,-3068.00,-47525.00,-9700.00,5164.00,1780.00,20640.00
1998:Q2,134272.00,129214.00,-35072.00,1988.00,38142.00,134272.00,24699.00,28628.00,-8116.00,36744.00,980.00,8526.00,85794.00,33468.00,-128.00,43722.00,5084.00,2472.00,1176.00,-14356.00
1998:Q3,143501.00,134668.00,-25360.00,2452.00,31741.00,143501.00,19556.00,37132.00,-5608.00,42740.00,1280.00,9907.00,70987.00,28304.00,384.00,62851.00,-13120.00,-7152.00,-280.00,4640.00
1998:Q4,324608.00,382469.00,-106260.00,1136.00,47263.00,324608.00,256662.00,8708.00,-36036.00,44744.00,4656.00,16411.00,36680.00,26744.00,1064.00,-6500.00,10972.00,4848.00,-448.00,1492.00
1999:Q1,-57581.00,-25397.00,-25036.00,-4860.00,-2288.00,-57581.00,-111481.00,63240.00,12188.00,51052.00,-3424.00,12180.00,13479.00,-35936.00,744.00,35963.00,5348.00,7808.00,-448.00,-31576.00
1999:Q2,225880.00,187433.00,-224.00,2216.00,36454.00,225880.00,63309.00,113496.00,61448.00,52048.00,828.00,15097.00,27793.00,-33692.00,-2072.00,34437.00,18388.00,3000.00,7732.00,5356.00
1999:Q3,230098.00,183410.00,24068.00,2760.00,19861.00,230098.00,213427.00,69884.00,14832.00,55052.00,2068.00,14016.00,-73493.00,-46244.00,1876.00,699.00,-19972.00,-1152.00,-8700.00,4196.00
1999:Q4,460448.00,243382.00,203196.00,6408.00,7461.00,460448.00,209289.00,142740.00,88688.00,54052.00,3212.00,14630.00,55909.00,-40820.00,-1712.00,59649.00,17188.00,21216.00,388.00,34668.00
2000:Q1,274764.00,210177.00,82388.00,796.00,-18597.00,274764.00,273119.00,62200.00,-9872.00,72072.00,356.00,9444.00,-62243.00,-11356.00,2832.00,-55903.00,504.00,2264.00,-584.00,-8112.00
2000:Q2,397951.00,372987.00,3364.00,4968.00,16632.00,397951.00,298216.00,135624.00,61552.00,74072.00,1004.00,8624.00,-50288.00,-34648.00,1876.00,-21840.00,1640.00,1720.00,964.00,4772.00
2000:Q3,382726.00,325928.00,23280.00,4544.00,28973.00,382726.00,182748.00,126128.00,62056.00,64072.00,2092.00,14447.00,42458.00,-28912.00,7476.00,36522.00,21968.00,6376.00,-972.00,14852.00
2000:Q4,474995.00,425623.00,9360.00,968.00,39044.00,474995.00,393586.00,90196.00,28128.00,62068.00,364.00,9925.00,-43331.00,-16216.00,-12528.00,2217.00,-22128.00,5064.00,260.00,24256.00
2001:Q1,401208.00,245500.00,116060.00,-1208.00,40856.00,401208.00,442853.00,-61404.00,-71544.00,10140.00,8180.00,6007.00,66449.00,-48104.00,-524.00,130265.00,-18788.00,3204.00,396.00,-60876.00
2001:Q2,347592.00,266273.00,13616.00,8824.00,58879.00,347592.00,349617.00,-6356.00,-15492.00,9136.00,5912.00,20389.00,-33918.00,-28336.00,1876.00,-10854.00,6460.00,-5924.00,2860.00,11948.00
2001:Q3,259992.00,269598.00,-88948.00,4928.00,74414.00,259992.00,251453.00,10056.00,4920.00,5136.00,7248.00,12698.00,-14327.00,-33484.00,-524.00,13481.00,2748.00,5268.00,-1816.00,-7136.00
2001:Q4,406340.00,227761.00,98360.00,23896.00,56323.00,406340.00,79989.00,121364.00,117224.00,4140.00,-4576.00,9090.00,246241.00,-35868.00,-128.00,214713.00,42148.00,26224.00,-848.00,-45768.00
2002:Q1,540697.00,330414.00,149568.00,4484.00,56231.00,540697.00,537760.00,-2788.00,-17240.00,14452.00,11247.00,616.00,-3654.00,-5424.00,3076.00,17902.00,-17068.00,-3732.00,1592.00,-2484.00
2002:Q2,204519.00,203508.00,-21392.00,6648.00,15755.00,204519.00,125313.00,25472.00,11016.00,14456.00,-11051.00,21077.00,6144.00,-6936.00,276.00,-10108.00,17852.00,4028.00,1032.00,37564.00
2002:Q3,368681.00,503614.00,-186172.00,-416.00,51655.00,368681.00,478239.00,-48136.00,-62588.00,14452.00,31356.00,6721.00,-96603.00,-5688.00,-1480.00,-102411.00,4120.00,8244.00,612.00,-2896.00
2002:Q4,272571.00,380588.00,-133240.00,-26216.00,51439.00,272571.00,85872.00,123992.00,109536.00,14456.00,36708.00,6982.00,-12667.00,2432.00,-2212.00,4021.00,-25156.00,7556.00,692.00,31684.00
2003:Q1,520825.00,452563.00,31588.00,-1372.00,38046.00,520825.00,510140.00,95444.00,50772.00,44672.00,-40223.00,36048.00,-103864.00,-16392.00,-2232.00,-82024.00,-8784.00,7616.00,-2048.00,23280.00
2003:Q2,474422.00,451963.00,-32272.00,184.00,54548.00,474422.00,294498.00,129896.00,85228.00,44668.00,36929.00,20356.00,-36929.00,13840.00,-940.00,-82325.00,16644.00,14332.00,1520.00,29672.00
2003:Q3,159664.00,97140.00,8808.00,4964.00,48752.00,159664.00,224155.00,91676.00,47004.00,44672.00,-74050.00,7138.00,-51862.00,-9300.00,-164.00,-23202.00,-34592.00,16568.00,-1172.00,-37392.00
2003:Q4,318157.00,263207.00,32824.00,6376.00,15751.00,318157.00,177791.00,147572.00,102904.00,44668.00,-23404.00,17706.00,-9816.00,22560.00,-80.00,-53280.00,-7324.00,26928.00,1380.00,8308.00
2004:Q1,638118.00,440380.00,199892.00,480.00,-2635.00,638118.00,602416.00,-344.00,27664.00,-28008.00,-5420.00,41894.00,-7460.00,-8700.00,-76.00,-12964.00,18708.00,-4668.00,240.00,7032.00
2004:Q2,616831.00,517251.00,55092.00,3536.00,40952.00,616831.00,550441.00,-5444.00,2848.00,-8292.00,651.00,-3254.00,36937.00,-34224.00,-224.00,64349.00,16424.00,-9552.00,164.00,37500.00
2004:Q3,446373.00,377390.00,30960.00,7000.00,31023.00,446373.00,322045.00,126932.00,135228.00,-8296.00,1269.00,2535.00,-21936.00,7544.00,10516.00,-22964.00,-22860.00,4000.00,1828.00,15528.00
2004:Q4,418826.00,376214.00,22944.00,1492.00,18175.00,418826.00,340541.00,-23320.00,-15028.00,-8292.00,3476.00,-10059.00,77047.00,16780.00,7232.00,37591.00,13888.00,2828.00,-1272.00,31140.00
2005:Q1,530450.00,459240.00,73992.00,11816.00,-14598.00,530450.00,424758.00,31696.00,8200.00,23496.00,-2734.00,-3669.00,25906.00,-6288.00,8252.00,37910.00,-6712.00,-7480.00,224.00,54492.00
2005:Q2,640233.00,523006.00,87484.00,11900.00,17843.00,640233.00,650967.00,-13728.00,-37228.00,23500.00,-2446.00,13417.00,-17778.00,14604.00,8416.00,-65922.00,20392.00,4156.00,576.00,9800.00
2005:Q3,855560.00,672266.00,126100.00,10232.00,46962.00,855560.00,666496.00,97084.00,73588.00,23496.00,1770.00,8759.00,58539.00,14184.00,11044.00,76763.00,3596.00,-46308.00,-740.00,22912.00
2005:Q4,413270.00,377972.00,21572.00,5368.00,8358.00,413270.00,184163.00,178552.00,155056.00,23496.00,-442.00,-4724.00,60625.00,1596.00,9124.00,7481.00,30936.00,13280.00,-1792.00,-4904.00
2006:Q1,692189.00,471444.00,227340.00,7696.00,-14291.00,692189.00,717477.00,40172.00,19884.00,20288.00,-1592.00,9011.00,-61936.00,-2868.00,10444.00,-62796.00,-3544.00,-3128.00,-44.00,-10944.00
2006:Q2,714801.00,646864.00,54448.00,1484.00,12005.00,714801.00,507455.00,-19284.00,-39572.00,20288.00,1257.00,30118.00,128535.00,2180.00,10524.00,97491.00,27612.00,-10932.00,1660.00,66720.00
2006:Q3,659994.00,324997.00,249476.00,-284.00,85804.00,659994.00,501412.00,63904.00,43616.00,20288.00,12521.00,22188.00,36000.00,2536.00,6312.00,58712.00,-22524.00,-6508.00,-2528.00,23968.00
2006:Q4,477533.00,340795.00,87400.00,1016.00,48322.00,477533.00,215700.00,182888.00,162600.00,20288.00,-11303.00,7935.00,26133.00,2564.00,6524.00,22213.00,-7424.00,1360.00,896.00,56180.00
2007:Q1,675173.00,300863.00,370660.00,504.00,3145.00,675173.00,719489.00,-51368.00,-66284.00,14916.00,-1794.00,14993.00,-32571.00,3628.00,6656.00,-64387.00,18860.00,4416.00,-1744.00,26424.00
2007:Q2,535198.00,308914.00,171204.00,6460.00,48620.00,535198.00,414856.00,-20792.00,-35712.00,14920.00,1241.00,36089.00,31536.00,3628.00,6812.00,24516.00,-7056.00,2908.00,728.00,72268.00
2007:Q3,763409.00,337050.00,364892.00,9756.00,51711.00,763409.00,462869.00,-74872.00,-89788.00,14916.00,-1495.00,42730.00,342657.00,3628.00,-436.00,295605.00,42316.00,4084.00,-2540.00,-8480.00
2007:Q4,461233.00,252725.00,197508.00,-7924.00,18924.00,461233.00,332882.00,-15928.00,-30844.00,14916.00,6773.00,38868.00,42214.00,3628.00,-488.00,48210.00,-3040.00,-6772.00,676.00,56424.00
2008:Q1,797830.00,562863.00,207568.00,-2108.00,29506.00,797830.00,656244.00,-212872.00,-211640.00,-1232.00,2903.00,3249.00,288042.00,-4784.00,-348.00,306630.00,-21400.00,9240.00,-1296.00,60264.00
2008:Q2,160366.00,20734.00,70908.00,5184.00,63540.00,160366.00,-65399.00,116820.00,118056.00,-1236.00,-6343.00,24464.00,110059.00,-4784.00,-532.00,68663.00,47468.00,-600.00,-156.00,-19236.00
2008:Q3,379659.00,533771.00,-183956.00,10700.00,19145.00,379659.00,582310.00,-129352.00,-128116.00,-1236.00,3041.00,3384.00,-140084.00,-4784.00,3192.00,-37264.00,-98644.00,-2784.00,200.00,60360.00
2008:Q4,31717.00,549380.00,-574320.00,-5116.00,61773.00,31717.00,-140080.00,-297324.00,-296088.00,-1236.00,-4657.00,40783.00,240602.00,-4784.00,2248.00,85182.00,160000.00,-2760.00,716.00,192392.00
2009:Q1,264095.00,365290.00,-160632.00,-11500.00,70937.00,264095.00,139787.00,43396.00,48168.00,-4772.00,-50.00,47109.00,240410.00,3068.00,788.00,249342.00,-20480.00,7524.00,168.00,-206556.00
2009:Q2,221590.00,-52421.00,209852.00,-5288.00,69447.00,221590.00,-19060.00,-63560.00,-58788.00,-4772.00,1089.00,1366.00,361448.00,3068.00,-752.00,345220.00,12892.00,5176.00,-4156.00,-59692.00
2009:Q3,236611.00,-68145.00,242284.00,-1244.00,63717.00,236611.00,-149412.00,488008.00,492780.00,-4772.00,-3.00,11510.00,-72393.00,3064.00,760.00,2707.00,-145420.00,-4980.00,71476.00,-41100.00
2009:Q4,652339.00,301904.00,318048.00,-5188.00,37575.00,652339.00,442882.00,220720.00,225492.00,-4772.00,312.00,-18273.00,-7489.00,3068.00,844.00,91175.00,-18008.00,-1308.00,-83260.00,14188.00
2010:Q1,-58465.00,187986.00,-237560.00,-1964.00,-6927.00,-58465.00,215789.00,9924.00,6992.00,2932.00,79.00,16533.00,-282941.00,-392.00,816.00,-255373.00,-17984.00,-13320.00,3312.00,-17848.00
2010:Q2,-215123.00,65894.00,-292272.00,-36640.00,47895.00,-215123.00,62487.00,21540.00,18608.00,2932.00,277.00,-23164.00,-295339.00,-388.00,1016.00,-288831.00,9776.00,3164.00,-20076.00,19076.00
2010:Q3,524326.00,174824.00,294572.00,1008.00,53923.00,524326.00,255263.00,124284.00,121352.00,2932.00,-1178.00,-8631.00,174469.00,-392.00,9880.00,174121.00,-6504.00,-7348.00,4712.00,-19880.00
2010:Q4,211773.00,122704.00,72396.00,-3796.00,20470.00,211773.00,125474.00,95620.00,92688.00,2932.00,1030.00,-8634.00,-39773.00,-388.00,10316.00,-69305.00,15936.00,-3276.00,6944.00,38056.00
2011:Q1,379630.00,258000.00,131316.00,636.00,-10322.00,379630.00,232431.00,13564.00,7572.00,5992.00,-1817.00,-4813.00,54897.00,1760.00,10544.00,16145.00,-9348.00,29524.00,6272.00,85368.00
2011:Q2,968352.00,813189.00,114764.00,-1624.00,42023.00,968352.00,768490.00,69820.00,63832.00,5988.00,1037.00,14880.00,44074.00,1764.00,11200.00,-9286.00,-2468.00,32848.00,10016.00,70052.00
2011:Q3,-133070.00,428991.00,-614384.00,-120.00,52444.00,-133070.00,-14860.00,17976.00,11984.00,5992.00,-95.00,12469.00,-170980.00,1764.00,-6048.00,-146320.00,-45696.00,24088.00,1232.00,22420.00
2011:Q4,401516.00,595392.00,-231232.00,-1808.00,39164.00,401516.00,493927.00,-24468.00,-30456.00,5988.00,-201.00,40648.00,-119767.00,1760.00,-6688.00,-88883.00,6876.00,-24904.00,-7928.00,11376.00
2012:Q1,307006.00,362250.00,-77480.00,-1552.00,23788.00,307006.00,368630.00,63588.00,53508.00,10080.00,344.00,19716.00,-102344.00,-3768.00,-6708.00,-68344.00,-9232.00,-4760.00,-9532.00,-42928.00
2012:Q2,438777.00,450194.00,-72112.00,6752.00,53943.00,438777.00,428651.00,-180.00,-10256.00,10076.00,912.00,20907.00,-47369.00,-3760.00,-6280.00,-29673.00,-5220.00,-32132.00,29696.00,35856.00
2012:Q3,416130.00,381402.00,-6916.00,-8292.00,49936.00,416130.00,174739.00,55096.00,45016.00,10080.00,-136.00,35007.00,82380.00,-3768.00,736.00,86604.00,-24192.00,26476.00,-3476.00,69044.00
2012:Q4,919667.00,735946.00,146704.00,2424.00,34593.00,919667.00,676979.00,54928.00,44852.00,10076.00,-412.00,11778.00,87366.00,-3764.00,700.00,141406.00,2240.00,-35436.00,-17780.00,89028.00
2013:Q1,62489.00,-20699.00,84780.00,2312.00,-3904.00,62489.00,16249.00,868.00,-10656.00,11524.00,-1676.00,11255.00,39314.00,4688.00,500.00,23286.00,-2692.00,27996.00,-14464.00,-3520.00
2013:Q2,406741.00,328765.00,17264.00,11728.00,48984.00,406741.00,210211.00,53980.00,42456.00,11524.00,936.00,32381.00,81585.00,4692.00,620.00,65913.00,4768.00,-2020.00,7612.00,27648.00
