1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,8768.00,8560.00,0.00,0.00,208.00,8768.00,9120.00,-100.00,-100.00,0.00,16.00,-516.00,100.00,84.00,0.00,0.00,0.00,16.00,0.00,148.00
1955:Q2,9336.00,8876.00,-20.00,0.00,480.00,9336.00,9324.00,-100.00,-100.00,0.00,-16.00,64.00,124.00,92.00,0.00,0.00,0.00,32.00,0.00,-60.00
1955:Q3,6156.00,5616.00,-20.00,0.00,560.00,6156.00,5844.00,-100.00,-100.00,0.00,-72.00,92.00,140.00,92.00,0.00,0.00,0.00,48.00,0.00,252.00
1955:Q4,9560.00,9180.00,-8.00,0.00,388.00,9560.00,10116.00,-100.00,-100.00,0.00,20.00,108.00,160.00,96.00,0.00,0.00,0.00,64.00,0.00,-744.00
1956:Q1,8912.00,8392.00,44.00,0.00,476.00,8912.00,9540.00,0.00,0.00,0.00,-24.00,184.00,100.00,96.00,0.00,0.00,0.00,4.00,0.00,-888.00
1956:Q2,11516.00,11004.00,76.00,0.00,436.00,11516.00,10924.00,0.00,0.00,0.00,-80.00,-212.00,104.00,104.00,0.00,0.00,0.00,0.00,0.00,780.00
1956:Q3,6360.00,5848.00,68.00,0.00,444.00,6360.00,6064.00,0.00,0.00,0.00,-4.00,40.00,104.00,108.00,0.00,0.00,0.00,-4.00,0.00,156.00
1956:Q4,10924.00,10372.00,36.00,0.00,516.00,10924.00,11260.00,0.00,0.00,0.00,0.00,164.00,116.00,112.00,0.00,0.00,0.00,4.00,0.00,-616.00
1957:Q1,14812.00,14400.00,-48.00,0.00,460.00,14812.00,14116.00,0.00,0.00,0.00,40.00,240.00,128.00,116.00,0.00,0.00,0.00,12.00,0.00,288.00
1957:Q2,12904.00,12536.00,-76.00,0.00,444.00,12904.00,12972.00,0.00,0.00,0.00,-56.00,384.00,128.00,120.00,0.00,0.00,0.00,8.00,0.00,-524.00
1957:Q3,7964.00,7576.00,-84.00,0.00,472.00,7964.00,6984.00,0.00,0.00,0.00,56.00,784.00,136.00,124.00,0.00,0.00,0.00,12.00,0.00,4.00
1957:Q4,13512.00,13068.00,-48.00,0.00,492.00,13512.00,13676.00,0.00,0.00,0.00,-156.00,124.00,132.00,128.00,0.00,0.00,0.00,4.00,0.00,-264.00
1958:Q1,23504.00,23068.00,-44.00,0.00,480.00,23504.00,15412.00,2200.00,2200.00,0.00,-124.00,2108.00,148.00,136.00,0.00,0.00,0.00,12.00,0.00,3760.00
1958:Q2,20552.00,20096.00,-8.00,0.00,464.00,20552.00,15472.00,2200.00,2200.00,0.00,16.00,2512.00,148.00,140.00,0.00,0.00,0.00,8.00,0.00,204.00
1958:Q3,10356.00,9856.00,-8.00,0.00,508.00,10356.00,11212.00,-400.00,-400.00,0.00,104.00,-752.00,152.00,144.00,0.00,0.00,0.00,8.00,0.00,40.00
1958:Q4,13036.00,12548.00,-12.00,0.00,500.00,13036.00,14300.00,-400.00,-400.00,0.00,108.00,-644.00,152.00,152.00,0.00,0.00,0.00,0.00,0.00,-480.00
1959:Q1,9808.00,9268.00,20.00,0.00,520.00,9808.00,10400.00,-400.00,-400.00,0.00,-28.00,-488.00,204.00,156.00,0.00,0.00,0.00,48.00,0.00,120.00
1959:Q2,11968.00,11396.00,28.00,0.00,544.00,11968.00,13544.00,-400.00,-400.00,0.00,44.00,12.00,208.00,160.00,0.00,0.00,0.00,48.00,0.00,-1440.00
1959:Q3,5964.00,5340.00,28.00,0.00,596.00,5964.00,8060.00,-400.00,-400.00,0.00,-44.00,-1032.00,224.00,168.00,0.00,0.00,0.00,56.00,0.00,-844.00
1959:Q4,8480.00,7864.00,28.00,0.00,588.00,8480.00,10108.00,-400.00,-400.00,0.00,-140.00,-132.00,236.00,176.00,0.00,0.00,0.00,60.00,0.00,-1192.00
1960:Q1,8704.00,8152.00,36.00,0.00,516.00,8704.00,9608.00,-928.00,-928.00,0.00,-20.00,248.00,196.00,180.00,0.00,0.00,0.00,16.00,0.00,-400.00
1960:Q2,14208.00,13640.00,36.00,0.00,532.00,14208.00,12820.00,-724.00,-724.00,0.00,40.00,1352.00,208.00,192.00,0.00,0.00,0.00,16.00,0.00,512.00
1960:Q3,17444.00,16872.00,44.00,0.00,528.00,17444.00,13220.00,1036.00,1036.00,0.00,-40.00,2132.00,220.00,196.00,0.00,0.00,0.00,24.00,0.00,876.00
1960:Q4,20800.00,20180.00,44.00,0.00,576.00,20800.00,12096.00,6616.00,6616.00,0.00,-72.00,1780.00,232.00,200.00,0.00,0.00,0.00,32.00,0.00,148.00
1961:Q1,23120.00,22472.00,44.00,0.00,604.00,23120.00,22264.00,1088.00,1088.00,0.00,152.00,940.00,260.00,212.00,0.00,0.00,0.00,48.00,0.00,-1584.00
1961:Q2,24052.00,23392.00,48.00,0.00,612.00,24052.00,19452.00,2364.00,2364.00,0.00,-48.00,1356.00,268.00,220.00,0.00,0.00,0.00,48.00,0.00,660.00
1961:Q3,17148.00,16416.00,52.00,0.00,680.00,17148.00,11760.00,2972.00,2972.00,0.00,48.00,992.00,276.00,228.00,0.00,0.00,0.00,48.00,0.00,1100.00
1961:Q4,18636.00,17876.00,28.00,0.00,732.00,18636.00,20060.00,-2024.00,-2024.00,0.00,-64.00,344.00,288.00,236.00,0.00,0.00,0.00,52.00,0.00,32.00
1962:Q1,33236.00,32440.00,16.00,0.00,780.00,33236.00,25592.00,5180.00,5180.00,0.00,24.00,2192.00,276.00,248.00,0.00,0.00,0.00,28.00,0.00,-28.00
1962:Q2,27956.00,27396.00,0.00,0.00,560.00,27956.00,25632.00,636.00,636.00,0.00,40.00,1016.00,284.00,252.00,0.00,0.00,0.00,32.00,0.00,348.00
1962:Q3,21624.00,20944.00,-4.00,0.00,684.00,21624.00,23252.00,-2604.00,-2604.00,0.00,-120.00,244.00,300.00,268.00,0.00,0.00,0.00,32.00,0.00,552.00
